event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
38626,98968213989895,1789740816197003290,/current_map_pose,PoseWithCovarianceStamped,1789740816192174118,,"{""covariance_6x6"":[0.025256744919082558,-0.0016419884973315284,0.0,0.0,0.0,0.0008227557835884429,-0.0016419884973315284,0.03776508687049666,0.0,0.0,0.0,0.001421912600764517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008227557835884429,0.001421912600764517,0.0,0.0,0.0,0.0025978985500180914],""covariance_xx_m2"":0.025256744919082558,""covariance_yawyaw_rad2"":0.0025978985500180914,""covariance_yy_m2"":0.03776508687049666,""x_m"":-1.5085214704226566,""y_m"":3.3661355286811454,""yaw_rad"":2.244551173343383}"
38634,98968219167091,1789740816202180796,/amcl_pose,PoseWithCovarianceStamped,1789740816192174118,,"{""covariance_6x6"":[0.002997108949053789,-0.001699880650096228,0.0,0.0,0.0,0.0006792198223289253,-0.001699880650096228,0.01225016660406384,0.0,0.0,0.0,0.0017680405545916576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006792198223289253,0.0017680405545916576,0.0,0.0,0.0,0.002630772261074475],""covariance_xx_m2"":0.002997108949053789,""covariance_yawyaw_rad2"":0.002630772261074475,""covariance_yy_m2"":0.01225016660406384,""x_m"":-1.5089869938566547,""y_m"":3.362017811708739,""yaw_rad"":2.2445511733433823}"
38646,98968238567493,1789740816221580938,/odom,Odometry,1789740816217536713,,"{""lateral_speed_mps"":-0.03694391411703711,""speed_mps"":1.59649099506329,""x_m"":-1.6215359991988012,""y_m"":-1.9274424916683588,""yaw_rad"":-2.439610678038883,""yaw_rate_radps"":1.09}"
38647,98968238916108,1789740816221929563,/ekf_odom,Odometry,1789740816217536713,,"{""lateral_speed_mps"":-0.03694391411703711,""speed_mps"":1.59649099506329,""x_m"":-1.6215359991988236,""y_m"":-1.9274424916683501,""yaw_rad"":-2.439610678038882,""yaw_rate_radps"":1.09}"
38648,98968239237553,1789740816222251058,/current_map_pose,PoseWithCovarianceStamped,1789740816217536713,,"{""covariance_6x6"":[0.025266085687266085,-0.001699880650096228,0.0,0.0,0.0,0.0006792198223289253,-0.001699880650096228,0.0378710155835035,0.0,0.0,0.0,0.0017680405545916576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006792198223289253,0.0017680405545916576,0.0,0.0,0.0,0.002630772261074475],""covariance_xx_m2"":0.025266085687266085,""covariance_yawyaw_rad2"":0.002630772261074475,""covariance_yy_m2"":0.0378710155835035,""x_m"":-1.5352373507196966,""y_m"":3.395282173979989,""yaw_rad"":2.2727783023458117}"
38654,98968243264365,1789740816226278111,/amcl_pose,PoseWithCovarianceStamped,1789740816217536713,,"{""covariance_6x6"":[0.0028864541831763427,-0.0013351093564934848,0.0,0.0,0.0,0.0006601715488585592,-0.0013351093564934848,0.01218980417230295,0.0,0.0,0.0,0.0015524875291179358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006601715488585592,0.0015524875291179358,0.0,0.0,0.0,0.002517525085188125],""covariance_xx_m2"":0.0028864541831763427,""covariance_yawyaw_rad2"":0.002517525085188125,""covariance_yy_m2"":0.01218980417230295,""x_m"":-1.5355604185363827,""y_m"":3.391368720446878,""yaw_rad"":2.272778302345811}"
38668,98968263685537,1789740816246699002,/odom,Odometry,1789740816242684553,,"{""lateral_speed_mps"":-0.04791067290880452,""speed_mps"":1.6963711804629218,""x_m"":-1.653456823436622,""y_m"":-1.9538340844884057,""yaw_rad"":-2.4103275454966626,""yaw_rate_radps"":1.209}"
38669,98968264058218,1789740816247071653,/ekf_odom,Odometry,1789740816242684553,,"{""lateral_speed_mps"":-0.04791067290880452,""speed_mps"":1.6963711804629218,""x_m"":-1.6534568234366442,""y_m"":-1.9538340844883968,""yaw_rad"":-2.4103275454966617,""yaw_rate_radps"":1.209}"
38673,98968265848575,1789740816248862240,/current_map_pose,PoseWithCovarianceStamped,1789740816242684553,,"{""covariance_6x6"":[0.02527584482418193,-0.0013351093564934848,0.0,0.0,0.0,0.0006601715488585592,-0.0013351093564934848,0.03797362041018189,0.0,0.0,0.0,0.0015524875291179358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006601715488585592,0.0015524875291179358,0.0,0.0,0.0,0.002517525085188125],""covariance_xx_m2"":0.02527584482418193,""covariance_yawyaw_rad2"":0.002517525085188125,""covariance_yy_m2"":0.03797362041018189,""x_m"":-1.5619520113564305,""y_m"":3.423289544684698,""yaw_rad"":2.302061434888032}"
38678,98968268999650,1789740816252028604,/amcl_pose,PoseWithCovarianceStamped,1789740816242684553,,"{""covariance_6x6"":[0.002659095904570791,-0.0014968164962543343,0.0,0.0,0.0,0.0005069313156123973,-0.0014968164962543343,0.012852024529881115,0.0,0.0,0.0,0.0016879813122596266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005069313156123973,0.0016879813122596266,0.0,0.0,0.0,0.002524629925732234],""covariance_xx_m2"":0.002659095904570791,""covariance_yawyaw_rad2"":0.002524629925732234,""covariance_yy_m2"":0.012852024529881115,""x_m"":-1.56139221013875,""y_m"":3.4202872248031038,""yaw_rad"":2.302061434888031}"
