event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
63797,89858571651153,1789731706554664728,/current_map_pose,PoseWithCovarianceStamped,1789731706548048807,,"{""covariance_6x6"":[0.06165812127579454,-0.000705603938476003,0.0,0.0,0.0,-0.0022587584622338086,-0.000705603938476003,0.041869844187831885,0.0,0.0,0.0,0.0008804931758480659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022587584622338086,0.0008804931758480659,0.0,0.0,0.0,0.014035279152663472],""covariance_xx_m2"":0.06165812127579454,""covariance_yawyaw_rad2"":0.014035279152663472,""covariance_yy_m2"":0.041869844187831885,""x_m"":-3.3747995137720928,""y_m"":4.68937274777696,""yaw_rad"":2.0997384258172205}"
63804,89858575171337,1789731706558185153,/amcl_pose,PoseWithCovarianceStamped,1789731706548048807,,"{""covariance_6x6"":[0.03482629895195441,-0.0018062056702112246,0.0,0.0,0.0,-0.002836086861921357,-0.0018062056702112246,0.03101606452080023,0.0,0.0,0.0,0.00012217224364685465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002836086861921357,0.00012217224364685465,0.0,0.0,0.0,0.013343953147611116],""covariance_xx_m2"":0.03482629895195441,""covariance_yawyaw_rad2"":0.013343953147611116,""covariance_yy_m2"":0.03101606452080023,""x_m"":-3.408190051209344,""y_m"":4.718862137176211,""yaw_rad"":2.0997384258172205}"
63817,89858596416557,1789731706579430543,/odom,Odometry,1789731706572625577,,"{""lateral_speed_mps"":0.003254826972410238,""speed_mps"":1.019198174844198,""x_m"":1.9151786762483445,""y_m"":8.86854280283345,""yaw_rad"":-2.597246070919293,""yaw_rate_radps"":0.6189}"
63818,89858596747900,1789731706579761455,/ekf_odom,Odometry,1789731706572625577,,"{""lateral_speed_mps"":0.003254826972410238,""speed_mps"":1.019198174844198,""x_m"":1.9151786762483876,""y_m"":8.868542802833474,""yaw_rad"":-2.5972460709192955,""yaw_rate_radps"":0.6189}"
63819,89858597025692,1789731706580039257,/current_map_pose,PoseWithCovarianceStamped,1789731706572625577,,"{""covariance_6x6"":[0.06159223283794456,-0.0018062056702112246,0.0,0.0,0.0,-0.002836086861921357,-0.0018062056702112246,0.0419045292523659,0.0,0.0,0.0,0.00012217224364685465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002836086861921357,0.00012217224364685465,0.0,0.0,0.0,0.013343953147611116],""covariance_xx_m2"":0.06159223283794456,""covariance_yawyaw_rad2"":0.013343953147611116,""covariance_yy_m2"":0.0419045292523659,""x_m"":-3.4211650828924505,""y_m"":4.740516561524984,""yaw_rad"":2.1151429094654}"
63825,89858599740383,1789731706582754118,/amcl_pose,PoseWithCovarianceStamped,1789731706572625577,,"{""covariance_6x6"":[0.0342694080146321,0.00025297547359237865,0.0,0.0,0.0,-0.0024762089168242785,0.00025297547359237865,0.03034441214876065,0.0,0.0,0.0,-0.000527359586496321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024762089168242785,-0.000527359586496321,0.0,0.0,0.0,0.013641909386927203],""covariance_xx_m2"":0.0342694080146321,""covariance_yawyaw_rad2"":0.013641909386927203,""covariance_yy_m2"":0.03034441214876065,""x_m"":-3.456840738986083,""y_m"":4.771923386837291,""yaw_rad"":2.1151429094653995}"
63839,89858620884593,1789731706603898559,/odom,Odometry,1789731706596997181,,"{""lateral_speed_mps"":0.003271447845003647,""speed_mps"":1.0308941761193662,""x_m"":1.893115908142283,""y_m"":8.854857290421515,""yaw_rad"":-2.5816422079487165,""yaw_rate_radps"":0.6309}"
63840,89858621167294,1789731706604180839,/ekf_odom,Odometry,1789731706596997181,,"{""lateral_speed_mps"":0.003271447845003647,""speed_mps"":1.0308941761193662,""x_m"":1.893115908142326,""y_m"":8.85485729042154,""yaw_rad"":-2.5816422079487187,""yaw_rate_radps"":0.6309}"
63841,89858621373642,1789731706604387207,/current_map_pose,PoseWithCovarianceStamped,1789731706596997181,,"{""covariance_6x6"":[0.06152238942550746,0.00025297547359237865,0.0,0.0,0.0,-0.0024762089168242785,0.00025297547359237865,0.04193998223891829,0.0,0.0,0.0,-0.000527359586496321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024762089168242785,-0.000527359586496321,0.0,0.0,0.0,0.013641909386927203],""covariance_xx_m2"":0.06152238942550746,""covariance_yawyaw_rad2"":0.013641909386927203,""covariance_yy_m2"":0.04193998223891829,""x_m"":-3.4705262513980184,""y_m"":4.7939861549433544,""yaw_rad"":2.1307467724359763}"
63849,89858624177450,1789731706607191125,/amcl_pose,PoseWithCovarianceStamped,1789731706596997181,,"{""covariance_6x6"":[0.03308908875658509,-0.0019297395079209809,0.0,0.0,0.0,-0.0038850640424172578,-0.0019297395079209809,0.03211344686349742,0.0,0.0,0.0,-9.359586377801469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038850640424172578,-9.359586377801469e-05,0.0,0.0,0.0,0.012590981975221387],""covariance_xx_m2"":0.03308908875658509,""covariance_yawyaw_rad2"":0.012590981975221387,""covariance_yy_m2"":0.03211344686349742,""x_m"":-3.5167602567258536,""y_m"":4.838621738076891,""yaw_rad"":2.1307467724359763}"
