bag_time,time,count
1788880401.3294938,1788880401.3294938,0
1788880401.378702,1788880401.378702,0
1788880401.4288077,1788880401.4288077,0
1788880401.4798026,1788880401.4798026,0
1788880401.5287,1788880401.5287,0
1788880401.579548,1788880401.579548,0
1788880401.6301603,1788880401.6301603,0
1788880401.6810808,1788880401.6810808,0
1788880401.7292159,1788880401.7292159,0
1788880401.7798436,1788880401.7798436,0
1788880401.8299775,1788880401.8299775,0
1788880401.8789492,1788880401.8789492,0
1788880401.929587,1788880401.929587,0
1788880401.9798865,1788880401.9798865,0
1788880402.029836,1788880402.029836,0
1788880402.0801442,1788880402.0801442,0
1788880402.1311777,1788880402.1311777,0
1788880402.1797519,1788880402.1797519,0
1788880402.2290132,1788880402.2290132,0
1788880402.279858,1788880402.279858,0
1788880402.330018,1788880402.330018,0
1788880402.3786771,1788880402.3786771,0
1788880402.4296772,1788880402.4296772,0
1788880402.4795768,1788880402.4795768,0
1788880402.532514,1788880402.532514,0
1788880402.5825486,1788880402.5825486,0
1788880402.6538866,1788880402.6538866,0
1788880402.7056603,1788880402.7056603,0
1788880402.7559164,1788880402.7559164,0
1788880402.8064532,1788880402.8064532,0
1788880402.8564706,1788880402.8564706,0
1788880402.9046056,1788880402.9046056,0
1788880402.955231,1788880402.955231,0
1788880403.00559,1788880403.00559,0
1788880403.0560935,1788880403.0560935,0
1788880403.1063728,1788880403.1063728,0
1788880403.1553645,1788880403.1553645,0
1788880403.2047117,1788880403.2047117,0
1788880403.2553058,1788880403.2553058,0
1788880403.3049357,1788880403.3049357,0
1788880403.3547523,1788880403.3547523,0
1788880403.4055848,1788880403.4055848,0
1788880403.4546275,1788880403.4546275,0
1788880403.503913,1788880403.503913,0
1788880403.553801,1788880403.553801,0
1788880403.6049488,1788880403.6049488,0
1788880403.6559875,1788880403.6559875,0
1788880403.705521,1788880403.705521,0
1788880403.7558155,1788880403.7558155,0
1788880403.8047354,1788880403.8047354,0
1788880403.8550558,1788880403.8550558,0
1788880403.9058397,1788880403.9058397,0
1788880403.9553158,1788880403.9553158,0
1788880404.0051682,1788880404.0051682,0
1788880404.055698,1788880404.055698,0
1788880404.1057963,1788880404.1057963,0
1788880404.1551788,1788880404.1551788,0
1788880404.205648,1788880404.205648,0
1788880404.2549205,1788880404.2549205,0
1788880404.3048928,1788880404.3048928,0
1788880404.3549023,1788880404.3549023,0
1788880404.404434,1788880404.404434,0
1788880404.4565086,1788880404.4565086,0
1788880404.5086238,1788880404.5086238,0
1788880404.5787206,1788880404.5787206,0
1788880404.630454,1788880404.630454,0
1788880404.683072,1788880404.683072,0
1788880404.730775,1788880404.730775,0
1788880404.7788484,1788880404.7788484,0
1788880404.8310726,1788880404.8310726,0
1788880404.8797953,1788880404.8797953,0
1788880404.9295018,1788880404.9295018,0
1788880404.9798841,1788880404.9798841,0
1788880405.0288773,1788880405.0288773,0
1788880405.0795536,1788880405.0795536,0
1788880405.1298566,1788880405.1298566,0
1788880405.1799974,1788880405.1799974,0
1788880405.2290227,1788880405.2290227,0
1788880405.2785392,1788880405.2785392,0
1788880405.3308556,1788880405.3308556,0
