bag_time,time,count
1788880911.4753702,1788880911.4753702,0
1788880911.5675652,1788880911.5675652,0
1788880911.6211278,1788880911.6211278,0
1788880911.6734004,1788880911.6734004,0
1788880911.7289267,1788880911.7289267,0
1788880911.7960453,1788880911.7960453,0
1788880911.847237,1788880911.847237,0
1788880911.8998759,1788880911.8998759,0
1788880911.9505,1788880911.9505,0
1788880912.0200617,1788880912.0200617,0
1788880912.074063,1788880912.074063,0
1788880912.1259656,1788880912.1259656,0
1788880912.1949337,1788880912.1949337,0
1788880912.247486,1788880912.247486,0
1788880912.2976568,1788880912.2976568,0
1788880912.347274,1788880912.347274,0
1788880912.3998685,1788880912.3998685,0
1788880912.4502268,1788880912.4502268,0
1788880912.5190613,1788880912.5190613,0
1788880912.573772,1788880912.573772,0
1788880912.6250656,1788880912.6250656,0
1788880912.675861,1788880912.675861,0
1788880912.7462952,1788880912.7462952,0
1788880912.7975688,1788880912.7975688,0
1788880912.8473275,1788880912.8473275,0
1788880912.8992682,1788880912.8992682,0
1788880912.9492276,1788880912.9492276,0
1788880912.9999528,1788880912.9999528,0
1788880913.0736113,1788880913.0736113,0
1788880913.124776,1788880913.124776,0
1788880913.1765203,1788880913.1765203,0
1788880913.2449706,1788880913.2449706,0
1788880913.2961357,1788880913.2961357,0
1788880913.346925,1788880913.346925,0
1788880913.39999,1788880913.39999,0
1788880913.449709,1788880913.449709,0
1788880913.5206187,1788880913.5206187,0
1788880913.5733926,1788880913.5733926,0
1788880913.624641,1788880913.624641,0
1788880913.6762905,1788880913.6762905,0
1788880913.744266,1788880913.744266,0
1788880913.793857,1788880913.793857,0
1788880913.8462846,1788880913.8462846,0
1788880913.898162,1788880913.898162,0
1788880913.9490645,1788880913.9490645,0
1788880914.0010145,1788880914.0010145,0
1788880914.0734687,1788880914.0734687,0
1788880914.124334,1788880914.124334,0
1788880914.1759715,1788880914.1759715,0
1788880914.2455385,1788880914.2455385,0
1788880914.2968407,1788880914.2968407,0
1788880914.3481216,1788880914.3481216,0
1788880914.4014645,1788880914.4014645,0
1788880914.4671535,1788880914.4671535,0
1788880914.5207038,1788880914.5207038,0
1788880914.5732243,1788880914.5732243,0
1788880914.623116,1788880914.623116,0
1788880914.6740828,1788880914.6740828,0
1788880914.725978,1788880914.725978,0
1788880914.7946486,1788880914.7946486,0
1788880914.8466344,1788880914.8466344,0
1788880914.8993015,1788880914.8993015,0
1788880914.9492905,1788880914.9492905,0
1788880915.0177886,1788880915.0177886,0
1788880915.0728412,1788880915.0728412,0
1788880915.1239643,1788880915.1239643,0
