bag_time,time,value
1788888205.0770507,1788888205.0770507,"{""packet_sequence"":78,""bridge_arrival_monotonic_ns"":10907215374518,""request_monotonic_ns"":10907169070839,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.1283758,1788888205.1283758,"{""packet_sequence"":79,""bridge_arrival_monotonic_ns"":10907266648305,""request_monotonic_ns"":10907218993417,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.1770532,1788888205.1770532,"{""packet_sequence"":80,""bridge_arrival_monotonic_ns"":10907315398450,""request_monotonic_ns"":10907269351183,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.22764,1788888205.22764,"{""packet_sequence"":81,""bridge_arrival_monotonic_ns"":10907365901044,""request_monotonic_ns"":10907318897068,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.2777133,1788888205.2777133,"{""packet_sequence"":82,""bridge_arrival_monotonic_ns"":10907416080507,""request_monotonic_ns"":10907369080940,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.3267467,1788888205.3267467,"{""packet_sequence"":83,""bridge_arrival_monotonic_ns"":10907464995919,""request_monotonic_ns"":10907419294769,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.3754952,1788888205.3754952,"{""packet_sequence"":84,""bridge_arrival_monotonic_ns"":10907513840295,""request_monotonic_ns"":10907468817168,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.4266844,1788888205.4266844,"{""packet_sequence"":85,""bridge_arrival_monotonic_ns"":10907564994512,""request_monotonic_ns"":10907519230140,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.4770272,1788888205.4770272,"{""packet_sequence"":86,""bridge_arrival_monotonic_ns"":10907615386564,""request_monotonic_ns"":10907568711541,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.5261085,1788888205.5261085,"{""packet_sequence"":87,""bridge_arrival_monotonic_ns"":10907664393462,""request_monotonic_ns"":10907618565628,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.5771375,1788888205.5771375,"{""packet_sequence"":88,""bridge_arrival_monotonic_ns"":10907715449131,""request_monotonic_ns"":10907668590794,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.6255224,1788888205.6255224,"{""packet_sequence"":89,""bridge_arrival_monotonic_ns"":10907763832179,""request_monotonic_ns"":10907718694051,""simulation_time_s"":null,""simulation_frame"":null}"
1788888205.6767015,1788888205.6767015,"{""packet_sequence"":90,""bridge_arrival_monotonic_ns"":10907815029269,""request_monotonic_ns"":10907769339901,""simulation_time_s"":null,""simulation_frame"":null}"
