bag_time,time,status,level,closest_point_dist_m,command_speed_mps,command_steering_rad,drivable_gap_count,emergency_stop,forward_clearance_m,gap_0_deepest_angle,gap_0_end_angle,gap_0_max_clearance,gap_0_mean_clearance,gap_0_score,gap_0_start_angle,gap_0_weighted_center,gap_0_width,gap_1_deepest_angle,gap_1_end_angle,gap_1_max_clearance,gap_1_mean_clearance,gap_1_score,gap_1_start_angle,gap_1_weighted_center,gap_1_width,no_path,rate_limited_steering,raw_steering,raw_target_angle,selected_gap_deepest_angle,selected_gap_end_angle,selected_gap_max_clearance,selected_gap_mean_clearance,selected_gap_score,selected_gap_start_angle,selected_gap_weighted_center,selected_gap_width,smoothed_target_angle,source_stamp_s,trajectory_collision_free,trajectory_free_distance_m,trajectory_min_clearance_m
1788888589.2675083,1788888589.2674491,gap_selected,b'\x00',0.913031,0.302000,0.069813,2.000000,0.000000,1.500000,-0.349061,-0.349061,7.297776,1.564601,19.137511,-1.422439,-0.656082,1.073377,-0.095989,1.404995,7.902321,1.784684,32.935692,-0.095989,0.218970,1.500983,0.000000,0.069813,0.069813,0.061491,-0.095989,1.404995,7.902321,1.784684,32.935692,-0.095989,0.218970,1.500983,0.061491,1788888202.880802,1.000000,1.500000,0.173210
1788888589.2732513,1788888589.2731874,gap_selected,b'\x00',0.909653,0.302000,0.069813,2.000000,0.000000,1.500000,-0.353425,-0.353425,7.261698,1.569164,18.903111,-1.422439,-0.659884,1.069014,-0.100352,1.400631,7.935071,1.784225,33.172998,-0.100352,0.213578,1.500983,0.000000,0.069813,0.069813,0.056613,-0.100352,1.400631,7.935071,1.784225,33.172998,-0.100352,0.213578,1.500983,0.056613,1788888202.930311,1.000000,1.500000,0.166295
1788888589.2789228,1788888589.2788687,gap_selected,b'\x00',0.906230,0.316000,0.034907,2.000000,0.000000,1.500000,-0.357788,-0.357788,7.227021,1.573833,18.676063,-1.422439,-0.663658,1.064651,-0.104715,1.400631,7.967679,1.780606,33.504379,-0.104715,0.209083,1.505346,0.000000,0.034907,0.034907,0.052184,-0.104715,1.400631,7.967679,1.780606,33.504379,-0.104715,0.209083,1.505346,0.052184,1788888202.980896,1.000000,1.500000,0.337818
1788888589.2845988,1788888589.2845466,gap_selected,b'\x00',0.899244,0.316000,0.034907,2.000000,0.000000,1.500000,-0.362151,-0.362151,7.386542,1.606047,19.217509,-1.422439,-0.659928,1.060288,-0.113442,1.400631,8.033996,1.773874,34.181533,-0.113442,0.199852,1.514073,0.000000,0.034907,0.034907,0.043205,-0.113442,1.400631,8.033996,1.773874,34.181533,-0.113442,0.199852,1.514073,0.043205,1788888203.082775,1.000000,1.500000,0.323069
1788888589.2905343,1788888589.2904348,gap_selected,b'\x00',0.895841,0.316000,0.034907,2.000000,0.000000,1.500000,-0.366515,-0.366515,7.304612,1.606707,18.803520,-1.422439,-0.664797,1.055924,-0.113442,1.400631,7.898847,1.756403,33.315109,-0.113442,0.202118,1.514073,0.000000,0.034907,0.034907,0.044338,-0.113442,1.400631,7.898847,1.756403,33.315109,-0.113442,0.202118,1.514073,0.044338,1788888203.130913,1.000000,1.500000,0.317244
1788888589.2963831,1788888589.296299,gap_selected,b'\x00',0.892444,0.316000,0.034907,2.000000,0.000000,1.500000,-0.366515,-0.366515,7.424778,1.632370,19.363310,-1.426802,-0.657428,1.060288,-0.117805,1.400631,8.000039,1.760283,34.090928,-0.117805,0.196000,1.518436,0.000000,0.034907,0.034907,0.039097,-0.117805,1.400631,8.000039,1.760283,34.090928,-0.117805,0.196000,1.518436,0.039097,1788888203.180316,1.000000,1.500000,0.312473
1788888589.302119,1788888589.3020725,gap_selected,b'\x00',0.888999,0.316000,0.034907,2.000000,0.000000,1.500000,-0.370878,-0.370878,7.315759,1.619278,18.832820,-1.426802,-0.667737,1.055924,-0.117805,1.400631,7.889425,1.745340,33.380144,-0.117805,0.197853,1.518436,0.000000,0.034907,0.034907,0.040024,-0.117805,1.400631,7.889425,1.745340,33.380144,-0.117805,0.197853,1.518436,0.040024,1788888203.230839,1.000000,1.500000,0.307447
1788888589.3078763,1788888589.30782,gap_selected,b'\x00',0.885525,0.316000,0.034907,2.000000,0.000000,1.500000,-0.370878,-0.370878,7.436495,1.638783,19.310369,-1.426802,-0.662858,1.055924,-0.122169,1.396268,7.989944,1.750974,34.057584,-0.122169,0.191209,1.518436,0.000000,0.034907,0.034907,0.034520,-0.122169,1.396268,7.989944,1.750974,34.057584,-0.122169,0.191209,1.518436,0.034520,1788888203.281264,1.000000,1.500000,0.301772
1788888589.3135896,1788888589.3135068,gap_selected,b'\x00',0.882021,0.316000,0.034907,2.000000,0.000000,1.500000,-0.375241,-0.375241,7.328305,1.672428,18.818710,-1.426802,-0.655162,1.051561,-0.126532,1.396268,8.093678,1.754054,34.858699,-0.126532,0.185260,1.522800,0.000000,0.034907,0.034907,0.029364,-0.126532,1.396268,8.093678,1.754054,34.858699,-0.126532,0.185260,1.522800,0.029364,1788888203.330765,1.000000,1.500000,0.295990
1788888589.3196127,1788888589.3195348,gap_selected,b'\x00',0.878494,0.316000,0.034907,2.000000,0.000000,1.500000,-0.375241,-0.375241,7.448711,1.666699,19.274990,-1.426802,-0.660046,1.051561,-0.126532,1.396268,7.979166,1.738771,34.115209,-0.126532,0.187113,1.522800,0.000000,0.034907,0.034907,0.030291,-0.126532,1.396268,7.979166,1.738771,34.115209,-0.126532,0.187113,1.522800,0.030291,1788888203.380702,1.000000,1.500000,0.290082
1788888589.3253374,1788888589.3252847,gap_selected,b'\x00',0.871353,0.316000,0.034907,2.000000,0.000000,1.500000,-0.379605,-0.379605,7.461471,1.674146,19.226259,-1.426802,-0.665090,1.047198,-0.130895,1.396268,7.967636,1.727002,34.168317,-0.130895,0.182843,1.527163,0.000000,0.034907,0.034907,0.025974,-0.130895,1.396268,7.967636,1.727002,34.168317,-0.130895,0.182843,1.527163,0.025974,1788888203.480059,1.000000,1.500000,0.278386
1788888589.331083,1788888589.3310173,gap_selected,b'\x00',0.867744,0.316000,0.034907,2.000000,0.000000,1.500000,-0.383968,-0.383968,7.355036,1.701308,18.816389,-1.431165,-0.660704,1.047198,-0.135259,1.396268,8.071706,1.730441,34.976248,-0.135259,0.176687,1.531526,0.000000,0.034907,0.034907,0.020714,-0.135259,1.396268,8.071706,1.730441,34.976248,-0.135259,0.176687,1.531526,0.020714,1788888203.530837,1.000000,1.500000,0.272398
1788888589.3367424,1788888589.3366892,gap_selected,b'\x00',0.864106,0.316000,0.034907,2.000000,0.000000,1.500000,-0.383968,-0.383968,7.474670,1.698043,19.270006,-1.431165,-0.664510,1.047198,-0.135259,1.396268,7.955446,1.714926,34.216872,-0.135259,0.178570,1.531526,0.000000,0.034907,0.034907,0.021656,-0.135259,1.396268,7.955446,1.714926,34.216872,-0.135259,0.178570,1.531526,0.021656,1788888203.580863,1.000000,1.500000,0.266481
1788888589.3424668,1788888589.3423765,gap_selected,b'\x00',0.860443,0.330000,0.000000,2.000000,0.000000,1.500000,-0.388331,-0.388331,7.369116,1.686115,18.759215,-1.431165,-0.673707,1.042834,-0.139622,1.391905,8.059628,1.720688,34.930655,-0.139622,0.171634,1.531526,0.000000,0.000000,0.000000,0.016006,-0.139622,1.391905,8.059628,1.720688,34.930655,-0.139622,0.171634,1.531526,0.016006,1788888203.630179,1.000000,1.500000,0.443417
