phase,time_s,throttle,speed_mps,acceleration_mps2
speed_10.00,1788502751.0725408,0.41499999165534973,9.8206,1.2831121032070019
speed_10.00,1788502751.0888627,0.41499999165534973,9.8791,1.5886097828321386
speed_10.00,1788502751.131554,0.41499999165534973,9.8791,1.155876684010035
speed_10.00,1788502751.1328824,0.41499999165534973,9.8791,1.1431929780751853
speed_10.00,1788502751.1339283,0.41499999165534973,9.8955,1.267705634088813
speed_10.00,1788502751.1904576,0.41499999165534973,9.9268,0.4695116417910521
speed_10.00,1788502751.2089021,0.41499999165534973,9.9532,0.6172969965162723
speed_10.00,1788502751.2537935,0.41499999165534973,9.9532,0.4813741609663675
speed_10.00,1788502751.2580512,0.41499999165534973,9.9532,0.46486199969651354
speed_10.00,1788502751.264661,0.41499999165534973,9.9612,0.5025518668400379
speed_10.00,1788502751.3081272,0.41499999165534973,9.9748,0.21768697775000595
speed_10.00,1788502751.3317037,0.41499999165534973,9.9865,0.27116923274058496
speed_10.00,1788502751.3782756,0.41499999165534973,9.9865,0.2226827281998736
speed_10.00,1788502751.3794913,0.41499999165534973,9.9865,0.22032520861319418
speed_10.00,1788502751.3807147,0.41499999165534973,9.9907,0.2541929312767629
speed_10.00,1788502751.4416866,0.41499999165534973,9.9977,0.10183394999371838
speed_10.00,1788502751.469864,0.41499999165534973,10.0024,0.13124060772519552
speed_10.00,1788502751.5144844,0.41499999165534973,10.0024,0.08746371992136003
speed_10.00,1788502751.5157754,0.41499999165534973,10.0024,0.08662766034817698
speed_10.00,1788502751.5168254,0.41499999165534973,10.0043,0.09991860848850245
speed_10.00,1788502751.5748508,0.41499999165534973,10.0067,0.04095748852610026
speed_10.00,1788502751.6007814,0.41499999165534973,10.0086,0.05121730235673962
speed_10.00,1788502751.6435142,0.41499999165534973,10.0086,0.033941459357012746
speed_10.00,1788502751.6445875,0.41499999165534973,10.0086,0.033656308864218235
speed_10.00,1788502751.645655,0.41499999165534973,10.0092,0.03803477301748275
speed_10.00,1788502751.7100856,0.41499999165534973,10.0102,0.014638048227196259
speed_10.00,1788502751.765889,0.41499999165534973,10.0109,0.014139093948415983
speed_10.00,1788502751.7669659,0.41499999165534973,10.0109,0.014013574285345918
speed_10.00,1788502751.767895,0.41499999165534973,10.0109,0.013907060493997182
speed_10.00,1788502751.7687678,0.41499999165534973,10.0111,0.015432986620144312
speed_10.00,1788502751.8255668,0.41499999165534973,10.0114,0.010391307345943375
speed_10.00,1788502751.8435287,0.41499999165534973,10.0117,0.011240744611855685
speed_10.00,1788502751.8868356,0.41499999165534973,10.0117,0.005081828388637866
speed_10.00,1788502751.891422,0.41499999165534973,10.0117,0.004891801519672766
speed_10.00,1788502751.8961055,0.41499999165534973,10.0118,0.005497193934376892
speed_10.00,1788502751.941226,0.41499999165534973,10.0119,0.00204714036099464
speed_10.00,1788502751.9676414,0.41499999165534973,10.012,0.003712605775939497
speed_10.00,1788502752.0149372,0.41499999165534973,10.012,0.0016830535135418918
speed_10.00,1788502752.016198,0.41499999165534973,10.012,0.001665384432137715
speed_10.00,1788502752.017173,0.41499999165534973,10.0121,0.0024779560215451896
speed_10.00,1788502752.0758877,0.41499999165534973,10.0121,0.0009238188794255349
speed_10.00,1788502752.1037953,0.41499999165534973,10.0122,0.0011544379610234023
speed_10.00,1788502752.1146984,0.41499999165534973,10.0122,0.0010253743420723148
speed_10.00,1788502752.1175542,0.41499999165534973,10.0122,0.0009962031118973336
speed_10.00,1788502752.1494517,0.41499999165534973,10.0122,0.0007559797194372604
speed_10.00,1788502752.1505225,0.41499999165534973,10.0122,0.0007499095310616377
speed_10.00,1788502752.208716,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.2698452,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.272589,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.2768764,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.3232028,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.3397713,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.382391,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.3835964,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.3845804,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.4419315,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.4631696,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.506726,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.5100994,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.5112863,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.558615,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.6190653,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.6208196,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.6229722,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.6758063,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.6968951,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.744421,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.7472208,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.7484837,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.7954607,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.8298678,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.8770952,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.879629,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.881141,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.8823984,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.9275582,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.9667938,0.41499999165534973,10.0122,0.0
speed_10.00,1788502752.9680195,0.41499999165534973,10.0122,0.0
speed_10.00,1788502753.0250702,0.41499999165534973,10.0122,0.0
speed_10.00,1788502753.0449948,0.41499999165534973,10.0122,0.0
speed_10.00,1788502753.0891001,0.41499999165534973,10.0122,0.0
