# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
43.093582,-27.311184,48.383927,-0.041034,-0.009979,12.000000,0.000000,1.159200,1.130220
43.445199,-26.959863,48.369502,-0.045248,-0.012404,12.000000,0.000000,1.188180,1.101240
43.796447,-26.608975,48.353615,-0.049714,-0.015229,12.000000,0.000000,1.130220,1.159200
44.147486,-26.258369,48.336170,-0.055904,-0.019665,12.000000,0.000000,1.159200,1.130220
44.498475,-25.907929,48.316559,-0.063477,-0.020468,12.000000,0.000000,1.188180,1.101240
44.849202,-25.557908,48.294310,-0.070231,-0.016247,12.000000,0.000000,1.188180,1.101240
45.199542,-25.208432,48.269726,-0.074845,-0.011121,12.000000,0.000000,1.159200,1.130220
45.549989,-24.858966,48.243521,-0.078012,-0.008294,12.000000,-0.464644,1.188180,1.101240
45.900634,-24.509387,48.216195,-0.080653,-0.004921,11.986442,-7.633161,1.217160,1.072260
46.250387,-24.160771,48.188017,-0.081455,-0.001288,11.761476,-7.467556,1.246140,1.043280
46.600411,-23.811908,48.159537,-0.081553,-0.002225,11.537146,-7.307215,1.275120,1.014300
46.950896,-23.462588,48.130985,-0.083013,-0.005631,11.313328,-7.114442,1.246140,1.043280
47.300531,-23.114156,48.101994,-0.085495,-0.006064,11.091075,-6.919866,1.275120,1.014300
47.650333,-22.765632,48.072124,-0.087253,-0.005284,10.870543,-6.801173,1.304100,0.985320
48.000953,-22.416347,48.041570,-0.089194,-0.006752,10.649344,-6.800447,1.333080,0.956340
48.350891,-22.067799,48.010399,-0.091980,-0.009395,10.423477,-7.036113,1.304100,0.985320
48.701173,-21.718998,47.978226,-0.095767,-0.008629,10.184511,-7.210085,1.333080,0.956340
49.052051,-21.369728,47.944674,-0.098024,-0.002335,9.933675,-7.346319,1.362060,0.927360
49.402339,-21.021121,47.910393,-0.097402,0.005810,9.671410,-7.470218,1.362060,0.869400
49.752691,-20.672430,47.876322,-0.093958,0.014889,9.397219,-7.425550,1.391040,0.898380
50.102928,-20.323738,47.843463,-0.086977,0.026109,9.116499,-7.303341,1.420020,0.869400
50.452522,-19.975465,47.813094,-0.075680,0.040514,8.831699,-7.191540,1.449000,0.840420
50.801893,-19.627094,47.786679,-0.058624,0.054753,8.541986,-7.091517,1.420020,0.869400
51.151032,-19.278555,47.766223,-0.037352,0.064301,8.246341,-7.005120,1.449000,0.840420
51.499751,-18.930079,47.753201,-0.013622,0.068448,7.943502,-6.938742,1.449000,0.840420
51.848569,-18.581293,47.748449,0.010539,0.069495,7.631695,-6.893255,1.449000,0.840420
52.197938,-18.231944,47.752131,0.035022,0.071463,7.308772,-6.892350,1.391040,0.898380
52.547220,-17.882876,47.764361,0.060534,0.070400,6.970951,-7.061006,1.391040,0.898380
52.898679,-17.532061,47.785624,0.084262,0.057570,6.606976,-6.690099,1.362060,0.927360
53.254481,-17.177521,47.815569,0.100834,0.031329,6.242571,-5.873854,1.275120,1.014300
53.616736,-16.817106,47.852034,0.106179,-0.002491,5.904114,-5.068146,1.246140,1.043280
53.988422,-16.447513,47.891426,0.099089,-0.047387,5.595654,-3.892628,1.188180,1.101240
54.366679,-16.071112,47.928846,0.072978,-0.098606,5.346669,-2.910528,1.101240,1.130220
54.750197,-15.688615,47.956809,0.030012,-0.149141,5.152648,-1.955567,1.101240,1.246140
55.134155,-15.304830,47.968330,-0.031418,-0.198438,5.018074,-1.323970,1.101240,1.275120
55.517736,-14.921438,47.956281,-0.108938,-0.247475,4.924878,-0.733956,1.130220,1.304100
55.895234,-14.546178,47.915238,-0.204758,-0.297828,4.872445,-0.294831,1.159200,1.304100
56.265105,-14.184034,47.840032,-0.317144,-0.337694,4.851223,-0.136981,1.217160,1.275120
56.626912,-13.840270,47.727201,-0.441104,-0.371626,4.841332,-0.070577,1.275120,1.246140
56.978390,-13.522435,47.577142,-0.577226,-0.403711,4.836227,-0.070577,1.362060,1.246140
57.321495,-13.234919,47.389909,-0.723351,-0.424026,4.831118,0.038178,1.362060,1.130220
57.658487,-12.982313,47.166854,-0.874249,-0.436718,4.833882,0.198898,1.420020,1.072260
57.988538,-12.770561,46.913684,-1.029159,-0.447043,4.848261,0.270379,1.420020,0.956340
58.314562,-12.602483,46.634326,-1.186554,-0.445544,4.867738,0.256554,1.420020,0.927360
58.641508,-12.479925,46.331219,-1.341050,-0.415833,4.886147,0.310489,1.420020,0.898380
58.968460,-12.405468,46.012859,-1.477630,-0.352773,4.908334,1.076788,1.391040,0.956340
59.298651,-12.374750,45.684100,-1.587249,-0.294608,4.984515,2.394096,1.391040,1.043280
59.634208,-12.380271,45.348588,-1.683399,-0.267709,5.149858,2.371837,1.333080,1.130220
59.974168,-12.418470,45.010781,-1.774114,-0.255623,5.308587,1.123171,1.246140,1.217160
60.321739,-12.488651,44.670369,-1.861783,-0.247174,5.382119,-0.254406,1.159200,1.275120
60.678629,-12.591042,44.328482,-1.947440,-0.229550,5.365552,-0.086688,1.101240,1.304100
61.039206,-12.723663,43.993180,-2.022449,-0.202736,5.359895,-0.086688,1.014300,1.304100
61.407705,-12.884496,43.661632,-2.088962,-0.177167,5.354232,-0.004010,0.956340,1.362060
61.782103,-13.069930,43.336382,-2.146713,-0.144171,5.353970,0.237020,0.985320,1.333080
