# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
40.241652,-29.582501,48.976602,-0.089838,0.046379,12.000000,0.000000,0.695520,1.535940
40.592097,-29.233221,48.948058,-0.074240,0.041870,12.000000,0.000000,0.666540,1.564920
40.942520,-28.883583,48.924619,-0.060493,0.036929,12.000000,0.000000,0.695520,1.564920
41.293259,-28.533356,48.905669,-0.048346,0.032799,12.000000,0.000000,0.695520,1.593900
41.643991,-28.182943,48.890719,-0.037485,0.028663,12.000000,0.000000,0.666540,1.564920
41.994704,-27.832413,48.879382,-0.028240,0.023187,12.000000,0.000000,0.666540,1.564920
42.345594,-27.481625,48.870909,-0.021217,0.017148,12.000000,0.000000,0.666540,1.622880
42.696534,-27.130744,48.864492,-0.016205,0.011800,12.000000,0.000000,0.637560,1.593900
43.047346,-26.779967,48.859537,-0.012936,0.006821,12.000000,0.000000,0.637560,1.593900
43.398196,-26.429142,48.855416,-0.011419,0.001420,12.000000,0.000000,0.637560,1.593900
43.748881,-26.078478,48.851526,-0.011940,-0.004240,12.000000,0.000000,0.637560,1.651860
44.099371,-25.728016,48.847044,-0.014393,-0.008482,12.000000,0.000000,0.579600,1.651860
44.449846,-25.377586,48.841438,-0.017886,-0.011094,12.000000,0.000000,0.579600,1.651860
44.800215,-25.027286,48.834509,-0.022168,-0.012878,12.000000,-4.523257,0.608580,1.622880
45.150031,-24.677575,48.825917,-0.026903,-0.012659,11.867411,-7.402584,0.608580,1.680840
45.499983,-24.327773,48.815686,-0.031026,-0.010678,11.647166,-7.447527,0.550620,1.680840
45.850333,-23.977611,48.804193,-0.034381,-0.009389,11.421299,-7.481991,0.579600,1.651860
46.199745,-23.628426,48.791632,-0.037596,-0.009813,11.189796,-7.507085,0.579600,1.651860
46.549322,-23.279117,48.777920,-0.041240,-0.012232,10.952601,-7.567115,0.608580,1.622880
46.899551,-22.929216,48.762780,-0.046156,-0.017061,10.708192,-7.189913,0.608580,1.680840
47.249157,-22.580031,48.745630,-0.053180,-0.023031,10.470683,-6.873731,0.579600,1.651860
47.598377,-22.231384,48.725634,-0.062251,-0.025916,10.238468,-6.763048,0.579600,1.651860
47.948724,-21.881828,48.702109,-0.071310,-0.021273,10.004733,-6.761702,0.608580,1.622880
48.298442,-21.533104,48.675755,-0.077144,-0.011013,9.765454,-7.120106,0.637560,1.651860
48.648115,-21.184517,48.648209,-0.079012,-0.001721,9.506984,-7.336183,0.608580,1.622880
48.998669,-20.835062,48.620486,-0.078348,0.005341,9.233105,-7.457541,0.637560,1.593900
49.348238,-20.486542,48.593412,-0.075273,0.013165,8.946106,-7.305579,0.666540,1.564920
49.698096,-20.137617,48.567888,-0.069141,0.021495,8.655733,-7.170265,0.637560,1.593900
50.047971,-19.788486,48.545071,-0.060232,0.028099,8.360937,-7.028457,0.666540,1.564920
50.397540,-19.439450,48.525785,-0.049487,0.033248,8.061516,-6.978938,0.666540,1.564920
50.747197,-19.090128,48.510483,-0.036984,0.038337,7.752771,-6.978781,0.695520,1.593900
51.096732,-18.740752,48.499933,-0.022682,0.039785,7.431218,-7.019751,0.637560,1.593900
51.446597,-18.390927,48.494621,-0.009159,0.032031,7.093085,-6.577150,0.637560,1.593900
51.796441,-18.041085,48.493525,-0.000270,0.014928,6.760945,-5.754246,0.637560,1.651860
52.146472,-17.691055,48.494432,0.001289,-0.007368,6.456362,-4.856311,0.637560,1.651860
52.497338,-17.340189,48.494428,-0.005434,-0.031224,6.187654,-4.031310,0.579600,1.651860
52.850608,-16.986940,48.490605,-0.020697,-0.056516,5.955391,-3.378865,0.608580,1.622880
53.208273,-16.629441,48.479716,-0.045614,-0.084590,5.753501,-2.813589,0.608580,1.680840
53.570238,-16.268140,48.457795,-0.081570,-0.115328,5.579816,-2.247056,0.579600,1.651860
53.934727,-15.905561,48.420537,-0.129395,-0.146456,5.437119,-1.709087,0.608580,1.622880
54.301623,-15.543132,48.363456,-0.188686,-0.176718,5.326027,-1.239091,0.666540,1.593900
54.668383,-15.185306,48.282999,-0.259045,-0.207859,5.244013,-0.812420,0.782460,1.535940
55.032699,-14.836959,48.176320,-0.340647,-0.235809,5.189536,-0.598153,0.840420,1.535940
55.397031,-14.499175,48.039790,-0.430867,-0.259072,5.149059,-0.416803,1.014300,1.420020
55.757448,-14.179176,47.873957,-0.528409,-0.283848,5.120665,-0.264317,1.130220,1.304100
56.112982,-13.881665,47.679299,-0.634088,-0.305739,5.102577,-0.258011,1.304100,1.159200
56.467807,-13.607760,47.453740,-0.745594,-0.320591,5.084858,-0.249701,1.449000,1.043280
56.819920,-13.363129,47.200482,-0.860726,-0.332842,5.067651,-0.189019,1.593900,0.811440
57.168763,-13.151591,46.923097,-0.978901,-0.344695,5.054586,-0.076931,1.680840,0.637560
57.515399,-12.975792,46.624348,-1.100454,-0.348919,5.049259,-0.076931,1.709820,0.550620
57.864622,-12.836826,46.303964,-1.221700,-0.334254,5.043927,0.091699,1.709820,0.550620
58.211769,-12.738033,45.971172,-1.333218,-0.291482,5.050282,1.653652,1.738800,0.550620
58.555633,-12.674411,45.633245,-1.423118,-0.236058,5.163553,3.450081,1.622880,0.724500
