# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
47.378665,0.460240,-4.651854,-0.175363,-0.004205,7.600608,8.820351,0.370000,1.300000
47.398664,0.479929,-4.655343,-0.175444,-0.003965,7.623782,8.819821,0.380000,1.320000
47.418664,0.499615,-4.658834,-0.175521,-0.003727,7.646884,8.819263,0.380000,1.320000
47.438663,0.519318,-4.662328,-0.175594,-0.003512,7.669915,8.818633,0.360000,1.310000
47.458663,0.539013,-4.665823,-0.175662,-0.003297,7.692875,8.817986,0.370000,1.310000
47.478662,0.558700,-4.669318,-0.175725,-0.003082,7.715766,8.817319,0.370000,1.310000
47.498662,0.578382,-4.672814,-0.175785,-0.002867,7.738587,8.816633,0.370000,1.320000
47.518661,0.598086,-4.676314,-0.175840,-0.002661,7.761339,8.815910,0.380000,1.320000
47.538660,0.617781,-4.679814,-0.175891,-0.002455,7.784022,8.815169,0.380000,1.320000
47.558660,0.637468,-4.683313,-0.175938,-0.002248,7.806638,8.814408,0.380000,1.310000
47.578659,0.657144,-4.686812,-0.175981,-0.002041,7.829187,8.813625,0.390000,1.330000
47.598659,0.676851,-4.690316,-0.176020,-0.001832,7.851669,8.812824,0.370000,1.330000
47.618658,0.696547,-4.693820,-0.176055,-0.001622,7.874084,8.811999,0.370000,1.320000
47.638658,0.716232,-4.697322,-0.176085,-0.001411,7.896434,8.811149,0.380000,1.320000
47.658657,0.735907,-4.700823,-0.176111,-0.001200,7.918719,8.810273,0.380000,1.310000
47.678657,0.755613,-4.704330,-0.176133,-0.000974,7.940939,8.809380,0.390000,1.310000
47.698656,0.775310,-4.707836,-0.176150,-0.000747,7.963095,8.808455,0.370000,1.330000
47.718655,0.794995,-4.711340,-0.176162,-0.000519,7.985187,8.807496,0.370000,1.320000
47.738655,0.814667,-4.714842,-0.176171,-0.000290,8.007215,8.806500,0.380000,1.320000
47.758654,0.834374,-4.718350,-0.176174,-0.000041,8.029181,8.805468,0.380000,1.320000
47.778654,0.854071,-4.721856,-0.176172,0.000210,8.051084,8.804389,0.380000,1.310000
47.798653,0.873756,-4.725360,-0.176166,0.000463,8.072925,8.803261,0.380000,1.310000
47.818653,0.893427,-4.728862,-0.176154,0.000716,8.094704,8.802082,0.370000,1.310000
47.838652,0.913134,-4.732370,-0.176137,0.000993,8.116422,8.800832,0.370000,1.320000
47.858651,0.932832,-4.735875,-0.176114,0.001273,8.138079,8.799514,0.380000,1.320000
47.878651,0.952517,-4.739378,-0.176086,0.001554,8.159676,8.798127,0.380000,1.320000
47.898650,0.972188,-4.742878,-0.176052,0.001837,8.181211,8.796667,0.360000,1.310000
47.918650,0.991895,-4.746383,-0.176013,0.002081,8.202687,8.795200,0.370000,1.330000
47.938649,1.011594,-4.749886,-0.175969,0.002321,8.224103,8.793683,0.370000,1.330000
47.958649,1.031279,-4.753386,-0.175920,0.002562,8.245460,8.792107,0.370000,1.320000
