# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
109.329611,49.368144,46.581309,0.256999,-0.176692,4.731690,7.354009,0.437500,0.687500
109.349609,49.387478,46.586354,0.253501,-0.173487,4.762670,7.399809,0.437500,0.687500
109.369608,49.406869,46.591342,0.250056,-0.170644,4.793641,7.414822,0.437500,0.656250
109.389606,49.426259,46.596259,0.246671,-0.167779,4.824475,7.427583,0.437500,0.625000
109.409604,49.445649,46.601107,0.243347,-0.164892,4.855165,7.442051,0.437500,0.625000
109.429602,49.465044,46.605888,0.240082,-0.162037,4.885722,7.457118,0.406250,0.625000
109.449600,49.484499,46.610618,0.236862,-0.159603,4.916151,7.464968,0.406250,0.656250
109.469598,49.503953,46.615281,0.233694,-0.157143,4.946424,7.474472,0.406250,0.656250
109.489596,49.523405,46.619880,0.230577,-0.154657,4.976551,7.485604,0.406250,0.656250
109.509594,49.542859,46.624415,0.227513,-0.152165,5.006541,7.497973,0.406250,0.656250
109.529592,49.562369,46.628901,0.224487,-0.150107,5.036402,7.502436,0.406250,0.656250
109.549590,49.581879,46.633325,0.221505,-0.148024,5.066105,7.508387,0.406250,0.656250
109.569588,49.601387,46.637688,0.218567,-0.145917,5.095657,7.515809,0.437500,0.656250
109.589587,49.620895,46.641991,0.215673,-0.143787,5.125069,7.524683,0.437500,0.687500
109.609585,49.640453,46.646247,0.212813,-0.142042,5.154346,7.526269,0.437500,0.687500
109.629583,49.660012,46.650444,0.209989,-0.140284,5.183465,7.528967,0.437500,0.687500
109.649581,49.679571,46.654584,0.207202,-0.138505,5.212431,7.532955,0.437500,0.687500
109.669579,49.699130,46.658668,0.204453,-0.136706,5.241252,7.538221,0.437500,0.687500
109.689577,49.718730,46.662704,0.201733,-0.135190,5.269936,7.538009,0.437500,0.687500
109.709575,49.738333,46.666685,0.199043,-0.133679,5.298464,7.538429,0.406250,0.687500
109.729573,49.757938,46.670613,0.196386,-0.132151,5.326840,7.539964,0.406250,0.687500
109.749571,49.777543,46.674487,0.193760,-0.130606,5.355072,7.542609,0.406250,0.687500
109.769570,49.797181,46.678313,0.191161,-0.129261,5.383166,7.541367,0.406250,0.718750
109.789568,49.816824,46.682089,0.188588,-0.127927,5.411109,7.540503,0.406250,0.718750
109.809566,49.836469,46.685812,0.186044,-0.126580,5.438905,7.540601,0.406250,0.718750
109.829564,49.856116,46.689484,0.183528,-0.125220,5.466561,7.541657,0.406250,0.718750
109.849562,49.875790,46.693111,0.181035,-0.123978,5.494081,7.540525,0.406250,0.718750
109.869560,49.895469,46.696688,0.178568,-0.122746,5.521460,7.539748,0.375000,0.718750
109.889558,49.915152,46.700215,0.176126,-0.121504,5.548700,7.539818,0.375000,0.718750
109.909556,49.934836,46.703694,0.173709,-0.120251,5.575809,7.540732,0.375000,0.718750
109.929554,49.954542,46.707128,0.171316,-0.119053,5.602789,7.540913,0.375000,0.718750
109.949552,49.974255,46.710514,0.168947,-0.117858,5.629640,7.541559,0.375000,0.750000
109.969550,49.993970,46.713853,0.166602,-0.116655,5.656367,7.542970,0.375000,0.750000
109.989549,50.013689,46.717146,0.164282,-0.115445,5.682972,7.545140,0.375000,0.750000
110.009547,50.033425,46.720394,0.161985,-0.114236,5.709461,7.547857,0.375000,0.750000
110.029545,50.053168,46.723597,0.159712,-0.113023,5.735838,7.551244,0.343750,0.750000
