# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
9.594465,59.390247,32.058135,0.9383222,-0.0210001,0.0000000,0.0000000,0.643727,0.664502
9.674424,59.437565,32.122590,0.9368094,-0.0168379,0.0000000,0.0000000,0.646298,0.664231
9.754382,59.484968,32.186981,0.9356300,-0.0126621,0.0000000,0.0000000,0.649542,0.663490
9.834340,59.532437,32.251323,0.9347829,-0.0085284,0.0000000,0.0000000,0.653409,0.662287
9.914298,59.579951,32.315634,0.9342623,-0.0044928,0.0000000,0.0000000,0.657839,0.660677
9.994256,59.627487,32.379927,0.9340585,-0.0006040,0.0000000,0.0000000,0.662758,0.658759
10.074214,59.675026,32.444217,0.9341580,0.0030929,0.0000000,0.0000000,0.668068,0.656661
10.154172,59.722550,32.508520,0.9345443,0.0065688,0.0000000,0.0000000,0.673636,0.654522
10.234130,59.770040,32.572847,0.9351988,0.0098020,0.0000000,0.0000000,0.679304,0.652449
10.314088,59.817480,32.637211,0.9361019,0.0127871,0.0000000,0.0000000,0.684900,0.650498
10.394046,59.864855,32.701623,0.9372340,0.0155310,0.0000000,0.0000000,0.690264,0.648646
10.474004,59.912149,32.766094,0.9385765,0.0180480,0.0000000,0.0000000,0.695273,0.646804
10.553962,59.959351,32.830634,0.9401122,0.0203648,0.0000000,0.0000000,0.699860,0.644843
10.633921,60.006448,32.895249,0.9418262,0.0225080,0.0000000,0.0000000,0.704006,0.642624
10.713879,60.053428,32.959950,0.9437059,0.0245090,0.0000000,0.0000000,0.707725,0.640027
10.793837,60.100282,33.024742,0.9457410,0.0263970,0.0000000,0.0000000,0.711046,0.636980
10.873795,60.146998,33.089633,0.9479237,0.0281977,0.0000000,0.0000000,0.714011,0.633472
10.953753,60.193569,33.154629,0.9502477,0.0299344,0.0000000,0.0000000,0.716631,0.629562
11.033711,60.239984,33.219736,0.9527088,0.0316248,0.0000000,0.0000000,0.718893,0.625363
11.113669,60.286234,33.284961,0.9553038,0.0332835,0.0000000,0.0000000,0.720763,0.621026
11.193627,60.332310,33.350308,0.9580305,0.0349211,0.0000000,0.0000000,0.722193,0.616702
11.273585,60.378204,33.415784,0.9608877,0.0365456,0.0000000,0.0000000,0.723139,0.612509
11.353543,60.423906,33.481393,0.9638745,0.0381630,0.0000000,0.0000000,0.723575,0.608527
