# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
91.9607782,-41.4003161,37.6884661,-2.9777995,0.0712070,7.8815802,-3.0560099
92.3104390,-41.7443448,37.6272018,-2.9529350,0.0709388,7.7448158,-3.2160924
92.6600997,-42.0859167,37.5576134,-2.9283365,0.0701664,7.5982294,-3.4120699
93.0097605,-42.4273807,37.4792871,-2.9039535,0.0689475,7.4395535,-3.6399827
93.3594212,-42.7665792,37.3928070,-2.8800202,0.0678177,7.2664598,-3.8688857
93.7090820,-43.1029945,37.2984880,-2.8565008,0.0672937,7.0778417,-4.0733827
94.0587427,-43.4367854,37.1963903,-2.8329858,0.0681791,6.8736627,-4.2191719
94.4084035,-43.7681865,37.0863083,-2.8086189,0.0715162,6.6555752,-4.0918864
94.7580642,-44.0970767,36.9677317,-2.7819862,0.0804425,6.4370130,-3.7420220
95.1077250,-44.4219832,36.8400643,-2.7515158,0.0946748,6.2304302,-3.1424085
95.4573857,-44.7422568,36.7017876,-2.7151883,0.1165487,6.0515045,-2.4065996
95.8070465,-45.0573338,36.5502975,-2.6701451,0.1430782,5.9108138,-1.5721087
96.1567072,-45.3652101,36.3827662,-2.6146010,0.1722899,5.8170706,-0.9865239
96.5063680,-45.6617370,36.1975522,-2.5507103,0.1934784,5.7574658,-0.6741698
96.8560287,-45.9449383,35.9929917,-2.4807380,0.2057852,5.7163757,-0.4352608
97.2056895,-46.2130919,35.7682580,-2.4068483,0.2150717,5.6896893,-0.2229303
97.5553503,-46.4636183,35.5239336,-2.3301113,0.2226886,5.6759725,-0.0970091
97.9050110,-46.6941969,35.2611339,-2.2515931,0.2270690,5.6699933,-0.0970091
98.2546718,-46.9034558,34.9808132,-2.1729935,0.2204480,5.6640077,0.1310065
98.6043325,-47.0905035,34.6851567,-2.0974020,0.2094908,5.6720894,0.4630562
98.9539933,-47.2552070,34.3769689,-2.0266303,0.1939438,5.7005635,0.8994611
99.3036540,-47.3988673,34.0582532,-1.9634547,0.1675043,5.7554701,1.6513916
99.6533148,-47.5238517,33.7311341,-1.9097614,0.1385587,5.8549372,2.4467271
100.0029755,-47.6326570,33.3989487,-1.8667605,0.1064347,5.9992782,3.3606699
100.3526363,-47.7288658,33.0636972,-1.8356093,0.0771253,6.1920536,4.2272025
100.7022970,-47.8160715,32.7251133,-1.8109672,0.0634587,6.4263288,4.5546856
101.0519578,-47.8950445,32.3855104,-1.7870282,0.0731957,6.6695495,3.9098146
101.4016185,-47.9653476,32.0440353,-1.7602254,0.0804429,6.8714706,3.3592397
101.7512793,-48.0262644,31.6994824,-1.7309801,0.0869010,7.0403336,2.8430705
102.1009401,-48.0768634,31.3518294,-1.6992995,0.0932198,7.1801474,2.3385299
102.4506008,-48.1157880,31.0058478,-1.6661155,0.0974489,7.2931407,1.9562032
102.8002616,-48.1430494,30.6572521,-1.6313739,0.1008744,7.3863331,1.6318750
103.1499223,-48.1580222,30.3067178,-1.5953950,0.1040890,7.4631844,1.3342634
103.4995831,-48.1602267,29.9575225,-1.5586926,0.1063415,7.5254369,1.1067610
103.8492438,-48.1494319,29.6078717,-1.5210540,0.1085311,7.5766868,0.8964206
104.1989046,-48.1253237,29.2584727,-1.4826016,0.1110202,7.6179439,0.6820434
104.5485653,-48.0877563,28.9109124,-1.4435586,0.1125787,7.6491853,0.5364625
104.8982261,-48.0364696,28.5647311,-1.4037405,0.1149058,7.6736690,0.3560628
105.2478868,-47.9713944,28.2213650,-1.3630712,0.1178025,7.6898764,0.1554073
