stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded
1789484655.2774756,19.65576436130473,19.65576436130473,19.655431749910473,0.11434750433817641,131.34431500301545,8.4566443222262553,0,0,1,0,0
1789484655.3024766,19.655554214765079,19.655554214765079,19.65522224010121,0.11423739230225399,131.83053237870291,8.5279080393701356,0,0,1,0,0
1789484655.3284767,19.655580479537758,19.655580479537758,19.655251912826728,0.11364959703868893,132.33677998050672,8.5977690655485919,0,0,1,0,0
1789484655.3534763,19.655405990126631,19.655405990126631,19.655078437026543,0.11347365791258213,132.82409532739416,8.6608396043070055,0,0,1,0,0
1789484655.3784759,19.655474837906404,19.655474837906404,19.655150449845099,0.11292429997940133,133.31191746017808,8.7198515451527303,0,0,1,0,0
1789484655.4034765,19.655211565067919,19.655211565067919,19.654888389092591,0.11271237683987426,133.80023204856971,8.7747854934505831,0,0,1,0,0
1789484655.4274766,19.654871881359618,19.654871881359618,19.654549186243045,0.11262751978930895,134.26941142387938,8.82371942198772,0,0,1,0,0
1789484655.4534767,19.654424296476517,19.654424296476517,19.654101141694735,0.11270642377510176,134.7780897290958,8.8725983645863113,0,0,1,0,0
1789484655.4774756,19.654125488714318,19.654125488714318,19.653803234913418,0.1125483426650455,135.24796741358674,8.9138210636374726,0,0,1,0,0
1789484655.5034759,19.653761578506167,19.653761578506167,19.653439659533895,0.11248881644601058,135.75737409992047,8.9542396762529464,0,0,1,0,0
1789484655.5274758,19.653972067447203,19.653972067447203,19.653654071772799,0.11180185635006208,136.22787879577868,8.9876780334799413,0,0,1,0,0
1789484655.5524769,19.653760490142705,19.653760490142705,19.653443365936369,0.11164795486779205,136.71827680637412,9.0185258833674684,0,0,1,0,0
1789484655.5784767,19.653687148090242,19.653687148090242,19.653372613296167,0.11119099760222742,137.22851387950504,9.0463026610389665,0,0,1,0,0
1789484655.6034763,19.653580426616994,19.653580426616994,19.653268007630675,0.11081608973101233,137.71932945167566,9.0688533235004236,0,0,1,0,0
1789484655.6274767,19.652651013169727,19.652651013169727,19.652371700958351,0.10477773051785819,138.19067733670502,9.0866239081676436,0,0,1,0,0
1789484655.6524758,19.655197253618741,19.655197253618741,19.654261220375179,0.19182012386101591,138.68177014287249,9.101890020776608,0,0,1,0,0
1789484655.6784759,19.656704176777968,19.656704176777968,19.65669732731682,-0.016409619624291993,139.19266722060163,9.1143090703910961,0,0,1,0,0
1789484655.7024765,19.65685778135569,19.65685778135569,19.65673365125723,-0.069856996610159788,139.66429762192951,9.1259879498183683,0,0,1,0,0
1789484655.7274759,19.657931085443074,19.657931085443074,19.657853792313322,-0.055125675160398284,140.15541544316804,9.1432939511477276,0,0,1,0,0
1789484655.7524765,19.659089202744759,19.659089202744759,19.659049511980271,-0.039504012250087636,140.64637423787747,9.1657910327409393,0,0,1,0,0
1789484655.7784765,19.66132034466191,19.66132034466191,19.661290894203837,-0.034030411598461957,141.15676637737513,9.1939034407117255,0,0,1,0,0
1789484655.8024766,19.663295991792637,19.663295991792637,19.663268410001425,-0.032934739841623664,141.62770940177549,9.2239208882291273,0,0,1,0,0
1789484655.8284767,19.665196031903918,19.665196031903918,19.665170435705839,-0.031728659767846543,142.13764211771937,9.2608871340245784,0,0,1,0,0
1789484655.8534763,19.666872089914474,19.666872089914474,19.666849217778623,-0.029994103042086349,142.62766137971667,9.300815889744527,0,0,1,0,0
1789484655.8774765,19.668321811473373,19.668321811473373,19.668301151118825,-0.028508044077289178,143.09777983612111,9.3432049222606608,0,0,1,0,0
1789484655.9024758,19.669342687174307,19.669342687174307,19.66932312700823,-0.027739337348260205,143.58710670159542,9.3915431004669117,0,0,1,0,0
1789484655.9274766,19.670919664209695,19.670919664209695,19.670901997872367,-0.026363343728105559,144.07605126717812,9.4441756152535792,0,0,1,0,0
1789484655.9534767,19.672123169711963,19.672123169711963,19.672106549659674,-0.025571530169466134,144.58406883843466,9.5034165304811449,0,0,1,0,0
1789484655.9784763,19.673342305029927,19.673342305029927,19.673326760546797,-0.024731025725923023,145.0720488571055,9.5646813484339113,0,0,1,0,0
1789484656.0024765,19.674273730214168,19.674273730214168,19.674258805525444,-0.024233542865109915,145.54001958623675,9.627548978157737,0,0,1,0,0
1789484656.0284765,19.674973789677292,19.674973789677292,19.674958937594941,-0.024174954838686445,146.04639245199846,9.7000774271573551,0,0,1,0,0
1789484656.0534756,19.675850223888858,19.675850223888858,19.675835540458465,-0.024037839726933914,146.53265885047043,9.7741012412667807,0,0,1,0,0
1789484656.0774763,19.67673397952931,19.67673397952931,19.676719655194901,-0.023742620537491082,146.99890172518556,9.8491458255931654,0,0,1,0,0
1789484656.1024759,19.677338458597966,19.677338458597966,19.677324113104117,-0.023760514933173427,147.48388867580925,9.9314341557365555,0,0,1,0,0
1789484656.1284757,19.678470835943585,19.678470835943585,19.678457214743464,-0.023153587046149466,147.98752350536563,10.021480211608967,0,0,1,0,0
1789484656.1514766,19.679356907391107,19.679356907391107,19.679343641497109,-0.02285012799430465,148.43239141122189,10.104966287255051,0,0,1,0,0
1789484656.1784759,19.68048707256764,19.68048707256764,19.680474400765522,-0.022333255806399839,148.95374703971879,10.207501763601231,0,0,1,0,0
1789484656.2024765,19.68152732020484,19.68152732020484,19.681515314662281,-0.021738782937089442,149.41639319772958,10.302788364523972,0,0,1,0,0
1789484656.2274759,19.68175189408181,19.68175189408181,19.681739106383151,-0.022435874421553051,149.8974500381766,10.406116222027624,0,0,1,0,0
1789484656.2534757,19.682439032075408,19.682439032075408,19.682426277704366,-0.022407010023142104,150.39680418199626,10.517978984059958,0,0,1,0,0
1789484656.2774756,19.683348195499025,19.683348195499025,19.683335832559351,-0.022061004960216415,150.85685243687109,10.625245382340728,0,0,1,0,0
1789484656.3024766,19.683886512425762,19.683886512425762,19.683873949726006,-0.022238825390731912,151.33513786830417,10.741074410974356,0,0,1,0,0
1789484656.3274763,19.685026189622349,19.685026189622349,19.685014470636194,-0.021479687182965314,151.81238182278756,10.861092976076863,0,0,1,0,0
1789484656.3524756,19.685873345664362,19.685873345664362,19.685861914579647,-0.021214656279972443,152.28859441536767,10.985220486290197,0,0,1,0,0
1789484656.3784759,19.686568931861167,19.686568931861167,19.686557572075547,-0.021148765361348132,152.78273444753745,11.118685355257981,0,0,1,0,0
1789484656.4024758,19.687377724565039,19.687377724565039,19.687366692292802,-0.020842094417186215,153.23778846561561,11.245842081249901,0,0,1,0,0
1789484656.4274766,19.68854454185967,19.68854454185967,19.688534335025519,-0.020047825655100326,153.71069536858872,11.382350891527745,0,0,1,0,0
1789484656.4524763,19.689037067038353,19.689037067038353,19.689026495897711,-0.020402721585817508,154.18238736894972,11.522990733366818,0,0,1,0,0
1789484656.4784763,19.690011525707455,19.690011525707455,19.69000136566406,-0.020002565833272881,154.67166322934929,11.673587857891391,0,0,1,0,0
1789484656.5024765,19.690709319921346,19.690709319921346,19.690699269729883,-0.019894489098097115,155.12209789316449,11.816531435528457,0,0,1,0,0
1789484656.5284765,19.69182696646935,19.69182696646935,19.691817566773778,-0.019240433182692401,155.60872748823968,11.975617646085215,0,0,1,0,0
1789484656.5524769,19.692820700842706,19.692820700842706,19.692811935307958,-0.018580530979664556,156.05666778323527,12.126358225271559,0,0,1,0,0
1789484656.5774763,19.693328730912473,19.693328730912473,19.693319775394901,-0.018781049564315182,156.52191970540343,12.287337645533036,0,0,1,0,0
1789484656.6024759,19.694066298419177,19.694066298419177,19.694057508962896,-0.018606455657836616,156.9857721985739,12.452366561974628,0,0,1,0,0
1789484656.6274767,19.694905912601431,19.694905912601431,19.694897448771396,-0.018258932082795467,157.44821507276492,12.621431042659298,0,0,1,0,0
1789484656.6524758,19.695183140205966,19.695183140205966,19.695174187501159,-0.018778984034156225,157.9091608325557,12.794481893414586,0,0,1,0,0
1789484656.6774766,19.695993353314329,19.695993353314329,19.69598461703222,-0.01855099545460108,158.36861819390481,12.97157587632441,0,0,1,0,0
1789484656.7024765,19.696606951951591,19.696606951951591,19.696598111159055,-0.018661917190280469,158.82653643147796,13.152609748085009,0,0,1,0,0
1789484656.7274759,19.697169160472935,19.697169160472935,19.697160069244791,-0.018924662073495913,159.28289329285383,13.337558429690681,0,0,1,0,0
1789484656.7524765,19.696215011755346,19.696215011755346,19.696207492382303,-0.017210645538096987,159.73763896431092,13.526482417141798,0,0,1,0,0
1789484656.7774756,19.692232962231323,19.692232962231323,19.692228595908162,-0.013113553546286669,160.19067089572005,13.719250303655487,0,0,1,0,0
1789484656.8034759,19.686507775536413,19.686507775536413,19.686486016305185,0.029269883430692881,160.65978738344896,13.924190508437261,0,0,1,0,0
1789484656.8284767,19.686833567797223,19.686833567797223,19.685954203927434,0.18607258535118237,161.10985220508985,14.123393041954195,0,0,1,0,0
1789484656.8534763,19.685322197093402,19.685322197093402,19.684328035969433,0.19783775101312456,161.56116125824099,14.319674126478612,0,0,1,0,0
1789484656.8774765,19.684578146302584,19.684578146302584,19.683760088830866,0.17945908514876943,161.99644068998367,14.503340436048054,0,0,1,0,0
1789484656.9024758,19.684763554275115,19.684763554275115,19.684048067256825,0.16783287413598211,162.4516486802377,14.690296503811339,0,0,1,0,0
1789484656.9284759,19.684603969735257,19.684603969735257,19.683902879790335,0.16613507847153655,162.92681134115384,14.88045950267734,0,0,1,0,0
1789484656.9524763,19.684376777891327,19.684376777891327,19.683673864728181,0.1663499955038811,163.36692629926881,15.052198772279519,0,0,1,0,0
1789484656.9774756,19.684440576439112,19.684440576439112,19.68374699365868,0.16524253990860521,163.82684916331533,15.227217100176938,0,0,1,0,0
1789484657.0024765,19.68430812334249,19.68430812334249,19.683626291714354,0.16383620728806064,164.28831564448373,15.398202516118985,0,0,1,0,0
