event_index,source_stamp_ns,stage,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,steering_rate_radps,target_speed_rate_mps2
1306,1789654030610355032,30,22.39153527,0.003060239367,-0.2293812484,1.884572148,0,0.1352521181,2.250000715,0.02015185729,-0.1136799753,3,,
1326,1789654030636355011,0,21.80566961,0.1656917483,-0.3012089133,0,0,0,0,0,0,0,0.009307324886,3
1326,1789654030636355011,1,21.80566961,0.1656917483,-0.3012089133,0,0,0,0.07500000298,0.0002326831309,0.009307324886,3,0.01540685818,3
1326,1789654030636355011,2,21.80580311,0.1656499207,-0.3012019992,0.01127937157,0,2.602201448e-06,0.150000006,0.0006178545882,0.01540685818,3,0.02061334066,3
1326,1789654030636355011,3,21.80637523,0.1654706597,-0.3011720181,0.03705989942,0,2.241069706e-05,0.2250000089,0.00113318814,0.02061334066,3,0.02665853687,3
1326,1789654030636355011,4,21.80768991,0.1650588214,-0.3011024594,0.07401423156,0,9.149401012e-05,0.3000000119,0.001799651654,0.02665853687,3,0.03479983285,3
1326,1789654030636355011,5,21.80998145,0.1643412411,-0.300979495,0.1195784956,0,0.0002617888968,0.375,0.002669647569,0.03479983285,3,0.04576575384,3
1326,1789654030636355011,6,21.81343062,0.1632618308,-0.3007908165,0.1717770994,0,0.0006117873127,0.4499999881,0.003813791554,0.04576575384,3,0.05973315611,3
1326,1789654030636355011,7,21.81817706,0.1617777795,-0.3005241454,0.2290877551,0,0.001254480565,0.5249999762,0.005307120271,0.05973315611,3,0.07634755224,3
1326,1789654030636355011,8,21.8243288,0.1598567218,-0.3001661897,0.290337503,0,0.002342975466,0.5999999642,0.007215809077,0.07634755224,3,0.09478648007,3
1326,1789654030636355011,9,21.83196966,0.1574745178,-0.299700886,0.3546224833,0,0.004070537165,0.6749999523,0.009585470892,0.09478648007,3,0.1138557941,3
1326,1789654030636355011,10,21.84116492,0.1546136439,-0.2991085947,0.4212462902,0,0.006663033273,0.7499999404,0.01243186556,0.1138557941,3,0.1321077943,3
1326,1789654030636355011,11,21.85196574,0.1512619853,-0.2983653247,0.4896722138,0,0.01036324166,0.8249999285,0.01573456079,0.1321077943,3,0.1479721367,3
1326,1789654030636355011,12,21.86441254,0.147412017,-0.297442019,0.5594867468,0,0.01540791243,0.8999999166,0.01943386346,0.1479721367,3,0.1598847955,3
1326,1789654030636355011,13,21.87853765,0.1430602521,-0.2963054776,0.6303713322,0,0.02199957892,0.9749999046,0.02343098447,0.1598847955,3,0.1664137244,3
