# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.511413, 0.405658, 0.9375, 0.9513
-0.442203, 0.432207, 0.9435, 0.9500
-0.372317, 0.457512, 0.9469, 0.9492
-0.301753, 0.481575, 0.9483, 0.9495
-0.230512, 0.504396, 0.9480, 0.9479
-0.158593, 0.525974, 0.9466, 0.9439
-0.085998, 0.546309, 0.9437, 0.9394
-0.012724, 0.565402, 0.9391, 0.9366
0.061226, 0.583252, 0.9322, 0.9362
0.135854, 0.599860, 0.9232, 0.9365
0.211159, 0.615225, 0.9127, 0.9363
0.287142, 0.629347, 0.9005, 0.9366
0.363801, 0.642226, 0.8862, 0.9398
0.441139, 0.653864, 0.8693, 0.9467
0.519153, 0.664258, 0.8505, 0.9545
0.597845, 0.673410, 0.8312, 0.9615
0.677214, 0.681319, 0.8128, 0.9693
0.757261, 0.687986, 0.7959, 0.9774
0.837985, 0.693410, 0.7795, 0.9841
0.919386, 0.697591, 0.7626, 0.9907
1.001465, 0.700530, 0.7444, 0.9954
1.084220, 0.702226, 0.7257, 0.9963
1.167654, 0.702680, 0.7082, 0.9962
1.251764, 0.701891, 0.6932, 0.9972
1.336552, 0.699859, 0.6804, 0.9995
1.421650, 0.697130, 0.6683, 1.0023
1.506690, 0.694247, 0.6562, 1.0047
1.591672, 0.691210, 0.6457, 1.0050
1.676597, 0.688020, 0.6369, 1.0014
1.761464, 0.684676, 0.6264, 0.9966
1.846273, 0.681179, 0.6148, 0.9950
1.931024, 0.677528, 0.6059, 0.9955
2.015718, 0.673724, 0.5990, 0.9936
2.100353, 0.669767, 0.5901, 0.9892
2.184932, 0.665655, 0.5781, 0.9858
2.269452, 0.661391, 0.5676, 0.9830
2.353915, 0.656973, 0.5628, 0.9782
2.438320, 0.652401, 0.5639, 0.9724
2.522667, 0.647676, 0.5672, 0.9662
2.606956, 0.642797, 0.5677, 0.9594
2.691188, 0.637765, 0.5645, 0.9524
2.775362, 0.632580, 0.5599, 0.9454
2.859478, 0.627241, 0.5557, 0.9387
2.943537, 0.621748, 0.5543, 0.9320
3.027538, 0.616102, 0.5562, 0.9251
3.111481, 0.610303, 0.5578, 0.9175
3.195366, 0.604350, 0.5559, 0.9087
3.279193, 0.598243, 0.5524, 0.8988
3.362963, 0.591983, 0.5511, 0.8885
3.446675, 0.585569, 0.5533, 0.8779
3.530330, 0.579002, 0.5568, 0.8667
3.613926, 0.572282, 0.5611, 0.8536
3.697465, 0.565408, 0.5669, 0.8385
3.780947, 0.558380, 0.5742, 0.8227
3.864370, 0.551199, 0.5825, 0.8074
3.947736, 0.543865, 0.5913, 0.7921
4.031044, 0.536377, 0.6002, 0.7767
4.114294, 0.528735, 0.6086, 0.7625
4.197486, 0.520940, 0.6160, 0.7501
4.280621, 0.512992, 0.6219, 0.7397
4.363698, 0.504890, 0.6260, 0.7307
4.446718, 0.496635, 0.6286, 0.7229
4.529679, 0.488226, 0.6316, 0.7158
4.612583, 0.479663, 0.6359, 0.7083
4.695429, 0.470947, 0.6407, 0.6995
4.778217, 0.462078, 0.6459, 0.6902
4.860948, 0.453055, 0.6517, 0.6806
4.943621, 0.443878, 0.6582, 0.6704
5.026236, 0.434548, 0.6651, 0.6604
5.108793, 0.425065, 0.6719, 0.6512
5.191293, 0.415428, 0.6786, 0.6421
5.273735, 0.405638, 0.6856, 0.6323
5.356119, 0.395694, 0.6934, 0.6221
5.438446, 0.385596, 0.7026, 0.6126
5.520715, 0.375346, 0.7133, 0.6042
5.602926, 0.364941, 0.7249, 0.5960
5.685079, 0.354383, 0.7362, 0.5871
5.767174, 0.343672, 0.7464, 0.5776
5.849212, 0.332807, 0.7559, 0.5680
5.931192, 0.321789, 0.7650, 0.5578
6.013115, 0.310617, 0.7738, 0.5469
6.094979, 0.299292, 0.7819, 0.5359
6.176786, 0.287813, 0.7886, 0.5260
6.258535, 0.276180, 0.7934, 0.5172
6.340227, 0.264395, 0.7962, 0.5097
6.421860, 0.252455, 0.7973, 0.5040
6.503436, 0.240362, 0.7966, 0.5010
6.584955, 0.228116, 0.7947, 0.5003
6.666415, 0.215716, 0.7927, 0.5009
6.747818, 0.203163, 0.7904, 0.5018
6.829163, 0.190456, 0.7883, 0.5032
6.910450, 0.177596, 0.7871, 0.5055
6.991680, 0.164582, 0.7875, 0.5082
7.072851, 0.151415, 0.7902, 0.5104
7.153965, 0.138094, 0.7943, 0.5121
7.235022, 0.124620, 0.7986, 0.5130
7.315939, 0.110840, 0.8036, 0.5131
7.396637, 0.096604, 0.8093, 0.5120
7.477115, 0.081910, 0.8157, 0.5095
7.557373, 0.066759, 0.8220, 0.5055
7.637411, 0.051151, 0.8276, 0.5002
7.717229, 0.035086, 0.8328, 0.4944
7.796828, 0.018564, 0.8385, 0.4893
7.876206, 0.001584, 0.8437, 0.4857
7.955365, -0.015852, 0.8468, 0.4832
8.034304, -0.033746, 0.8471, 0.4816
8.113023, -0.052096, 0.8457, 0.4812
8.191523, -0.070904, 0.8440, 0.4823
8.269802, -0.090169, 0.8422, 0.4838
8.347862, -0.109891, 0.8396, 0.4849
8.425701, -0.130070, 0.8359, 0.4860
8.503321, -0.150707, 0.8314, 0.4880
8.580721, -0.171800, 0.8265, 0.4915
8.657902, -0.193350, 0.8215, 0.4957
8.734862, -0.215358, 0.8164, 0.4995
8.811602, -0.237823, 0.8104, 0.5030
8.888123, -0.260744, 0.8027, 0.5061
8.964424, -0.284123, 0.7940, 0.5095
9.040505, -0.307959, 0.7850, 0.5145
9.116366, -0.332252, 0.7755, 0.5232
9.192007, -0.357003, 0.7656, 0.5357
9.267429, -0.382210, 0.7558, 0.5510
9.342630, -0.407875, 0.7450, 0.5690
9.417612, -0.433996, 0.7312, 0.5904
9.492374, -0.460575, 0.7151, 0.6118
9.566916, -0.487611, 0.6971, 0.6315
9.641238, -0.515104, 0.6758, 0.6512
9.715341, -0.543054, 0.6509, 0.6705
9.789223, -0.571461, 0.6260, 0.6885
9.862886, -0.600325, 0.6034, 0.7038
9.936329, -0.629646, 0.5815, 0.7165
10.009552, -0.659425, 0.5569, 0.7281
10.082555, -0.689660, 0.5305, 0.7380
10.155339, -0.720353, 0.5057, 0.7460
10.227902, -0.751503, 0.4825, 0.7535
10.300246, -0.783110, 0.4589, 0.7616
10.372370, -0.815174, 0.4362, 0.7707
10.444273, -0.847695, 0.4160, 0.7798
10.515958, -0.880673, 0.3973, 0.7878
10.587422, -0.914109, 0.3792, 0.7956
10.658666, -0.948001, 0.3614, 0.8063
10.729691, -0.982351, 0.3434, 0.8209
10.800496, -1.017157, 0.3250, 0.8383
10.871081, -1.052421, 0.3072, 0.8565
10.941446, -1.088142, 0.2907, 0.8746
11.011591, -1.124320, 0.2749, 0.8921
11.081516, -1.160955, 0.2588, 0.9100
11.151222, -1.198048, 0.2424, 0.9289
11.220707, -1.235597, 0.2259, 0.9483
11.289973, -1.273603, 0.2108, 0.9657
11.359019, -1.312067, 0.1989, 0.9792
11.427845, -1.350988, 0.1924, 0.9892
11.496452, -1.390366, 0.1932, 0.9959
11.564838, -1.430201, 0.2023, 1.0001
11.633005, -1.470493, 0.2185, 1.0032
11.700952, -1.511242, 0.2391, 1.0057
11.768679, -1.552448, 0.2629, 1.0063
11.836186, -1.594111, 0.2901, 1.0033
11.903473, -1.636232, 0.3207, 0.9960
11.970540, -1.678810, 0.3542, 0.9844
12.037388, -1.721844, 0.3917, 0.9690
12.104016, -1.765336, 0.4376, 0.9512
12.170424, -1.809285, 0.4881, 0.9328
12.236612, -1.853691, 0.5226, 0.9137
12.302580, -1.898554, 0.5430, 0.8916
12.368328, -1.943875, 0.5590, 0.8636
12.433857, -1.989652, 0.5736, 0.8313
12.499475, -2.035243, 0.5880, 0.7991
12.565491, -2.080006, 0.6030, 0.7656
12.631906, -2.123939, 0.6181, 0.7305
12.698720, -2.167044, 0.6327, 0.6976
12.765933, -2.209319, 0.6460, 0.6705
12.833544, -2.250766, 0.6574, 0.6498
12.901554, -2.291383, 0.6671, 0.6330
12.969963, -2.331172, 0.6759, 0.6178
13.038770, -2.370131, 0.6845, 0.6031
13.107976, -2.408261, 0.6924, 0.5893
13.177581, -2.445563, 0.6982, 0.5773
13.247584, -2.482035, 0.7014, 0.5671
13.317986, -2.517678, 0.7029, 0.5583
13.388787, -2.552493, 0.7046, 0.5504
13.459986, -2.586478, 0.7079, 0.5425
13.531584, -2.619634, 0.7130, 0.5337
13.603581, -2.651961, 0.7194, 0.5221
13.675976, -2.683460, 0.7267, 0.5045
13.748770, -2.714129, 0.7354, 0.4752
13.821963, -2.743969, 0.7468, 0.4285
13.895555, -2.772980, 0.7633, 0.3739
13.969545, -2.801162, 0.7854, 0.3301
14.043934, -2.828515, 0.8078, 0.3036
14.118721, -2.855040, 0.8247, 0.2969
14.193907, -2.880735, 0.8371, 0.3137
14.269492, -2.905601, 0.8428, 0.3521
14.345476, -2.929638, 0.8369, 0.4015
14.421858, -2.952846, 0.8257, 0.4515
14.498639, -2.975225, 0.8109, 0.4983
