event_index,source_stamp_ns,cycle_status,solver_iterations,primal_residual,dual_residual,max_residual,max_regularization,regularization_count,nonsmooth_jacobian_columns,nonlinear_failure_stage,nonlinear_failure_reason,r1_nonlinear_failure_stage,r1_nonlinear_failure_reason,r2_nonlinear_failure_stage,r2_nonlinear_failure_reason,reason,state_age_s,control_time_age_s,control_time_mode,command_changes_used,command_fallback,current_progress_m,map_x_m,map_y_m,map_yaw_rad,path_curvature_per_m,curvature_source,u_mps,v_mps,r_radps,e_y_m,e_psi_rad,target_speed_mps,steering_command_rad,previous_steering_rate_radps,previous_target_speed_rate_mps2,first_steering_rate_radps,first_target_speed_rate_mps2,published_steering_rad,published_target_speed_mps,abs_curvature_per_m,abs_steering_rad,abs_steering_rate_radps,abs_yaw_rate_radps,lateral_accel_proxy_mps2,nominal_vs_candidate_progress_error_max_m,nominal_vs_candidate_curvature_error_max_per_m,nominal_vs_candidate_left_bound_error_max_m,nominal_vs_candidate_right_bound_error_max_m,minimum_predicted_corridor_slack_m,lateral_accel_proxy_stage,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_nonlinear_objective,r2_nonlinear_objective,r1_min_corridor_slack,r2_min_corridor_slack,r1_solver_iterations,r2_solver_iterations,r1_solve_us,r2_solve_us,total_rti_us,selected_candidate,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,factorization_time_ns,operating_mode,operating_mode_source,steering_reversal
212,1789731634662516480,accepted_optimal,60,0.00932955742,0.00212788582,0.00932955742,0,0,30,,,,,,,,0.003051674,0.003051674,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.0,0.0,0.0,0.0,0.0113599896,3.0,0.000283999747,0.075000003,0.051885365771158404,0.0,0.0113599896,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2274.714,,,,,,,,,powered_acceleration_command,candidate_action,False
228,1789731634686100480,accepted_optimal,60,0.00927567482,0.00213122368,0.00927567482,0,0,30,,,,,,,,0.002098373,0.002098373,ct2,0,False,21.8056414,0.8006,3.1583,-1.57079633,-0.051885365771158404,first_horizon_reference,0.0,0.0,0.0,0.165691748,-0.30120784,0.00300000003,0.00319999992,0.125150055,0.117328182,0.0684593767,3.0,0.0049114842,0.0780000016,0.051885365771158404,0.00319999992,0.0684593767,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1854.665,,,,,,,,,powered_acceleration_command,candidate_action,False
244,1789731634711243264,accepted_optimal,58,0.00939702988,0.00216126442,0.00939702988,0,0,30,,,,,,,,0.001688162,0.001688162,ct2,0,False,21.8056417,0.8006,3.1583,-1.57079633,-0.05187468659923027,first_horizon_reference,0.000462936965,0.0,7.74331966e-07,0.165691629,-0.30120784,0.0710742474,0.0582148694,2.42754674,3.00379562,1.13571274,3.0,0.0866076872,0.14607425,0.05187468659923027,0.0582148694,1.13571274,7.74331966e-07,3.5846689024252316e-10,,,,,,,,,,,,,,,,,,,,,2020.747,,,,,,,,,powered_acceleration_command,candidate_action,False
260,1789731634735867136,accepted_optimal,57,0.00999879837,0.00229811668,0.00999879837,0,0,30,,,,,,,,0.001859294,0.001859294,ct2,0,False,21.8056429,0.8006,3.1583,-1.57079633,-0.051856319561142755,first_horizon_reference,0.00176775863,0.0,3.25341989e-06,0.165691257,-0.30120787,0.145303264,0.0582148694,0.0,3.00096655,-0.048285,3.0,0.0570077449,0.220303267,0.051856319561142755,0.0582148694,0.048285,3.25341989e-06,5.751261087561151e-09,,,,,,,,,,,,,,,,,,,,,1736.142,,,,,,,,,powered_acceleration_command,candidate_action,False
276,1789731634760677888,accepted_optimal,57,0.00977230072,0.00225973129,0.00977230072,0,0,30,,,,,,,,0.001640222,0.001640222,ct2,0,False,21.8056435,0.8006,3.1583,-1.57079633,-0.05183864344656099,first_horizon_reference,0.00267174398,0.0,4.34315962e-06,0.165691093,-0.30120784,0.219705597,0.0582148694,0.0,2.99995852,-0.035831701,3.0,0.0573190786,0.2947056,0.05183864344656099,0.0582148694,0.035831701,4.34315962e-06,1.1603810568914086e-08,,,,,,,,,,,,,,,,,,,,,1930.838,,,,,,,,,powered_acceleration_command,candidate_action,False
292,1789731634785881856,accepted_optimal,57,0.00952196121,0.00221133232,0.00952196121,0,0,30,,,,,,,,0.002012742,0.002012742,ct2,0,False,21.8057557,0.800600001,3.15820116,-1.57077889,-0.051797382745546156,first_horizon_reference,0.0123307975,0.0,0.0101065543,0.165656388,-0.30117473,0.29351598,0.0582148694,0.0,3.00098276,-0.0246804096,3.0,0.0575978607,0.368515968,0.051797382745546156,0.0582148694,0.0246804096,0.0101065543,0.00012462187449605426,,,,,,,,,,,,,,,,,,,,,2105.907,,,,,,,,,powered_acceleration_command,candidate_action,False
308,1789731634811839744,accepted_optimal,57,0.00926017761,0.00216293335,0.00926017761,0,0,30,,,,,,,,0.001740711,0.001740711,ct2,0,False,21.806367,0.800600183,3.15761378,-1.57019216,-0.051681650618210395,first_horizon_reference,0.0420390069,0.0,0.0219004601,0.165467739,-0.300599158,0.370228112,0.058040861,-0.00680418685,2.99964786,-0.0188597366,3.0,0.0575693659,0.4452281,0.051681650618210395,0.058040861,0.0188597366,0.0219004601,0.0009206735932570748,,,,,,,,,,,,,,,,,,,,,1805.052,,,,,,,,,powered_acceleration_command,candidate_action,False
324,1789731634836741376,accepted_optimal,56,0.00991344452,0.00231981277,0.00991344452,0,0,30,,,,,,,,0.001917152,0.001917152,ct2,0,False,21.8079421,0.800601777,3.15607601,-1.56932776,-0.05145481109399214,first_horizon_reference,0.0916798338,0.0,0.0342859924,0.164982945,-0.299782872,0.447307467,0.0580030605,-0.00147168024,3.00091529,-0.00358761149,3.0,0.0579133704,0.522307456,0.05145481109399214,0.0580030605,0.00358761149,0.0342859924,0.003143334084900063,,,,,,,,,,,,,,,,,,,,,1785.285,,,,,,,,,powered_acceleration_command,candidate_action,False
340,1789731634861914880,accepted_optimal,56,0.00982093811,0.00230646133,0.00982093811,0,0,30,,,,,,,,0.001699814,0.001699814,ct2,0,False,21.8108404,0.800607346,3.15314492,-1.56846473,-0.05110413022191659,first_horizon_reference,0.151948437,0.0,0.046302367,0.164093748,-0.299051642,0.522575617,0.0576796457,-0.0128909163,3.00009584,0.00520926714,3.0,0.0578098781,0.597575605,0.05110413022191659,0.0576796457,0.00520926714,0.046302367,0.007035572295050379,,,,,,,,,,,,,,,,,,,,,1534.373,,,,,,,,,powered_acceleration_command,candidate_action,False
356,1789731634886323712,accepted_optimal,56,0.00966072083,0.00227475166,0.00966072083,0,0,30,,,,,,,,0.002082703,0.002082703,ct2,0,False,21.8155426,0.800621514,3.14849496,-1.56703411,-0.05057241276441568,first_horizon_reference,0.240311652,0.0,0.0598523542,0.162656903,-0.297804713,0.597391903,0.0576133318,-0.00265791523,2.998698,0.0273237098,3.0,0.0582964234,0.672391891,0.05057241276441568,0.0576133318,0.0273237098,0.0598523542,0.014383218113891138,,,,,,,,,,,,,,,,,,,,,2073.386,,,,,,,,,powered_acceleration_command,candidate_action,False
372,1789731634911570944,accepted_optimal,56,0.00959467888,0.00225973129,0.00959467888,0,0,30,,,,,,,,0.002074909,0.002074909,ct2,0,False,21.8213111,0.800650413,3.14223209,-1.56533016,-0.05006826644885618,first_horizon_reference,0.268842936,0.0,0.0708314627,0.160812154,-0.294402838,0.671658456,0.0588286929,0.0490857363,2.99946117,0.0549233481,3.0,0.0602017753,0.746658444,0.05006826644885618,0.0588286929,0.0549233481,0.0708314627,0.019042538393442485,,,,,,,,,,,,,,,,,,,,,1746.161,,,,,,,,,powered_acceleration_command,candidate_action,False
388,1789731634936932864,accepted_optimal,56,0.00949621201,0.00224804878,0.00949621201,0,0,30,,,,,,,,0.001781678,0.001781678,ct2,0,False,21.8290235,0.800701321,3.13434939,-1.5633462,-0.049305401566755384,first_horizon_reference,0.365315557,0.0,0.0828252435,0.158501908,-0.292796075,0.74757117,0.0590572543,0.00903993566,3.00245738,0.0581681989,3.0,0.0605114587,0.822571158,0.049305401566755384,0.0590572543,0.0581681989,0.0828252435,0.030257349962863132,,,,,,,,,,,,,,,,,,,,,1754.987,,,,,,,,,powered_acceleration_command,candidate_action,False
404,1789731634961810688,accepted_optimal,56,0.00941038132,0.00221800804,0.00941038132,0,0,30,,,,,,,,0.001627088,0.001627088,ct2,0,False,21.8383243,0.800783612,3.12476055,-1.56108307,-0.048501579194533476,first_horizon_reference,0.41663295,0.0,0.0953349173,0.155736715,-0.290985048,0.822744071,0.0607533827,0.0676734746,2.99930811,0.10217078,3.0,0.0633076504,0.89774406,0.048501579194533476,0.0607533827,0.10217078,0.0953349173,0.03971966783270504,,,,,,,,,,,,,,,,,,,,,1845.578,,,,,,,,,powered_acceleration_command,candidate_action,False
420,1789731634986380032,accepted_optimal,56,0.00938606262,0.00221633911,0.00938606262,0,0,30,,,,,,,,0.001800884,0.001800884,ct2,0,False,21.8490808,0.800906929,3.11353238,-1.55854482,-0.047524308900192457,first_horizon_reference,0.50861311,0.0,0.109187439,0.152477041,-0.286820024,0.896940053,0.0617078692,0.0385890156,2.99967599,0.0985452831,3.0,0.0641715005,0.971940041,0.047524308900192457,0.0617078692,0.0985452831,0.109187439,0.05553416292272528,,,,,,,,,,,,,,,,,,,,,2093.975,,,,,,,,,powered_acceleration_command,candidate_action,False
436,1789731635012142848,accepted_optimal,56,0.00933170319,0.00220298767,0.00933170319,0,0,30,,,,,,,,0.00193187,0.00193187,ct2,0,False,21.862606,0.801098823,3.09948615,-1.55572628,-0.04635699972348721,first_horizon_reference,0.593610585,0.0,0.122868709,0.148459688,-0.28273502,0.971073151,0.0631451234,0.0581801943,3.00091505,0.122710489,3.0,0.0662128851,1.0460732,0.04635699972348721,0.0631451234,0.122710489,0.122868709,0.07293616622768477,,,,,,,,,,,,,,,,,,,,,1554.922,,,,,,,,,powered_acceleration_command,candidate_action,False
452,1789731635037582592,accepted_optimal,56,0.00930929184,0.00219130516,0.00930929184,0,0,30,,,,,,,,0.002606958,0.002606958,ct2,0,False,21.8787488,0.801370359,3.08341796,-1.5520716,-0.04499538637075281,first_horizon_reference,0.683538496,0.0,0.140855938,0.143825278,-0.279677242,1.04877806,0.0647658631,0.0625683144,2.99978137,0.147599578,3.0,0.0684558526,1.1237781,0.04499538637075281,0.0647658631,0.147599578,0.140855938,0.09628045601318927,,,,,,,,,,,,,,,,,,,,,1900.07,,,,,,,,,powered_acceleration_command,candidate_action,False
468,1789731635062121216,accepted_optimal,55,0.00992274284,0.00235652924,0.00992274284,0,0,30,,,,,,,,0.002044021,0.002044021,ct2,0,False,21.8950878,0.80172827,3.06600034,-1.54842928,-0.042723362130186356,first_horizon_reference,0.750412285,0.0,0.155159518,0.139134064,-0.275017589,1.1270622,0.0661927834,0.0546321422,2.99724555,0.157770142,3.0,0.0701370388,1.20206225,0.042723362130186356,0.0661927834,0.157770142,0.155159518,0.11643360844187862,,,,,,,,,,,,,,,,,,,,,2164.026,,,,,,,,,powered_acceleration_command,candidate_action,False
484,1789731635087643136,accepted_optimal,56,0.00929498672,0.00219297409,0.00929498672,0,0,30,,,,,,,,0.002009637,0.002009637,ct2,0,False,21.9142917,0.802215954,3.04607197,-1.54422946,-0.039740590761990865,first_horizon_reference,0.82412827,0.0,0.172286987,0.133745745,-0.26986149,1.19904137,0.0675928146,0.0583906099,3.00200987,0.171726793,3.0,0.0718859881,1.27404141,0.039740590761990865,0.0675928146,0.171726793,0.172286987,0.1419865765398225,,,,,,,,,,,,,,,,,,,,,1908.045,,,,,,,,,powered_acceleration_command,candidate_action,False
500,1789731635113228800,accepted_optimal,55,0.00993967056,0.00236153603,0.00993967056,0,0,30,,,,,,,,0.00176167,0.00176167,ct2,0,False,21.9353584,0.802852182,3.02409192,-1.53948796,-0.03643836322957186,first_horizon_reference,0.906126142,0.0,0.190643862,0.127966851,-0.264271319,1.27555144,0.0689314008,0.0525004975,3.0007906,0.180850998,3.0,0.0734526739,1.35055149,0.03643836322957186,0.0689314008,0.180850998,0.190643862,0.1727473871700404,,,,,,,,,,,,,,,,,,,,,2526.667,,,,,,,,,powered_acceleration_command,candidate_action,False
516,1789731635138343680,accepted_optimal,55,0.0098965168,0.00235319138,0.0098965168,0,0,30,,,,,,,,0.001718549,0.001718549,ct2,0,False,21.9580626,0.803647061,3.00059475,-1.53447302,-0.033283095446713665,first_horizon_reference,0.976572156,0.0,0.207378611,0.121880233,-0.258569837,1.35157764,0.070209384,0.0504303128,3.00005913,0.19101131,3.0,0.0749846697,1.42657769,0.033283095446713665,0.070209384,0.19101131,0.207378611,0.2025201772525553,,,,,,,,,,,,,,,,,,,,,1931.97,,,,,,,,,powered_acceleration_command,candidate_action,False
538,1789731635163298816,accepted_optimal,55,0.00990962982,0.00233817101,0.00990962982,0,0,30,,,,,,,,0.001660721,0.001660721,ct2,0,False,21.9821545,0.804628737,2.97550177,-1.52891644,-0.03224921443891453,first_horizon_reference,1.04633403,0.0,0.226557776,0.115537509,-0.251077861,1.42677641,0.0712420419,0.0411982015,3.00007772,0.183569863,3.0,0.0758312866,1.50177646,0.03224921443891453,0.0712420419,0.183569863,0.226557776,0.23705511078991726,,,,,,,,,,,,,,,,,,,,,1780.757,,,,,,,,,powered_acceleration_command,candidate_action,False
560,1789731635188352000,accepted_optimal,55,0.00984764099,0.0023214817,0.00984764099,0,0,30,,,,,,,,0.001634722,0.001634722,ct2,0,False,22.0084468,0.805843488,2.94848069,-1.52282536,-0.031531007924908594,first_horizon_reference,1.12302649,0.0,0.246343002,0.108873345,-0.244441584,1.50155914,0.0719694197,0.0291858241,3.00063515,0.182004377,3.0,0.0765195265,1.57655919,0.031531007924908594,0.0719694197,0.182004377,0.246343002,0.276649716872123,,,,,,,,,,,,,,,,,,,,,2101.498,,,,,,,,,powered_acceleration_command,candidate_action,False
582,1789731635213279232,accepted_optimal,56,0.00935840607,0.00222468376,0.00935840607,0,0,30,,,,,,,,0.001753946,0.001753946,ct2,0,False,22.0366151,0.807314771,2.91973941,-1.5164754,-0.029344628170927863,first_horizon_reference,1.19605041,0.0,0.264807731,0.101943821,-0.237672508,1.55607343,0.0722673833,0.0119114593,2.17927504,0.175559849,3.0,0.0766563788,1.63107347,0.029344628170927863,0.0722673833,0.175559849,0.264807731,0.3167233952337197,,,,,,,,,,,,,,,,,,,,,1816.363,,,,,,,,,powered_acceleration_command,candidate_action,False
604,1789731635238587904,accepted_optimal,57,0.00933265686,0.0022213459,0.00933265686,0,0,30,,,,,,,,0.001786176,0.001786176,ct2,0,False,22.0668084,0.809107605,2.88873383,-1.50960001,-0.020887568178164957,first_horizon_reference,1.26731312,0.0,0.283739597,0.0947251394,-0.229203582,1.56167519,0.0722816586,0.000570321921,0.223799556,0.156478077,3.0,0.0761936083,1.63667524,0.020887568178164957,0.0722816586,0.156478077,0.283739597,0.3595869139416127,,,,,,,,,,,,,,,,,,,,,2256.581,,,,,,,,,powered_acceleration_command,candidate_action,False
626,1789731635262886400,accepted_optimal,57,0.00922870636,0.0021879673,0.00922870636,0,0,30,,,,,,,,0.001901704,0.001901704,ct2,0,False,22.0975555,0.811137388,2.85750251,-1.50219139,-0.011498887387195145,first_horizon_reference,1.31644058,0.0,0.300772786,0.0876810029,-0.221472427,1.57290125,0.0720659047,-0.00851518847,0.443060309,0.139821932,3.0,0.0755614564,1.6479013,0.011498887387195145,0.0720659047,0.139821932,0.300772786,0.3959495008500559,,,,,,,,,,,,,,,,,,,,,2655.41,,,,,,,,,powered_acceleration_command,candidate_action,False
648,1789731635288422400,accepted_optimal,57,0.00936794281,0.00223469734,0.00936794281,0,0,30,,,,,,,,0.001645762,0.001645762,ct2,0,False,22.1311697,0.813647953,2.8228985,-1.49455247,-0.004762015037721539,first_horizon_reference,1.40637589,0.0,0.315859407,0.0802486986,-0.213063955,1.57850373,0.0714933351,-0.0234444477,0.229399204,0.11973998,3.0,0.0744868368,1.65350378,0.004762015037721539,0.0714933351,0.11973998,0.315859407,0.44421705463449723,,,,,,,,,,,,,,,,,,,,,2091.861,,,,,,,,,powered_acceleration_command,candidate_action,False
670,1789731635313180928,accepted_optimal,57,0.00928544998,0.0022046566,0.00928544998,0,0,30,,,,,,,,0.001552988,0.001552988,ct2,0,False,22.165527,0.816471705,2.78782173,-1.48638255,-0.0014537976898838466,first_horizon_reference,1.43959165,0.0,0.322579205,0.0729713663,-0.204651564,1.58971226,0.0701735169,-0.0522421598,0.443665653,0.0969923809,3.0,0.0725983232,1.66471231,0.0014537976898838466,0.0701735169,0.0969923809,0.322579205,0.4643823299816382,,,,,,,,,,,,,,,,,,,,,1697.379,,,,,,,,,powered_acceleration_command,candidate_action,True
692,1789731635337545984,accepted_optimal,57,0.00934839249,0.00221300125,0.00934839249,0,0,30,,,,,,,,0.001614794,0.001614794,ct2,0,False,22.2006948,0.819624048,2.7522877,-1.47824666,-0.010158536549677032,first_horizon_reference,1.49094737,0.0,0.328465939,0.065834187,-0.196310356,1.6009264,0.0690510124,-0.0454550944,0.454109222,0.085475035,3.0,0.0711878911,1.67592645,0.010158536549677032,0.0690510124,0.085475035,0.328465939,0.4897254278866304,,,,,,,,,,,,,,,,,,,,,2160.69,,,,,,,,,powered_acceleration_command,candidate_action,False
714,1789731635363497472,accepted_optimal,57,0.00940942764,0.00223135948,0.00940942764,0,0,30,,,,,,,,0.00156479,0.00156479,ct2,0,False,22.2388531,0.823378112,2.71349038,-1.47042475,-0.06298368930347713,first_horizon_reference,1.51455605,0.0,0.329189688,0.058384683,-0.188592896,1.61212242,0.0670797229,-0.0807147995,0.458422929,0.0709964633,3.0,0.0688546374,1.68712246,0.06298368930347713,0.0670797229,0.0709964633,0.329189688,0.49857623355801234,,,,,,,,,,,,,,,,,,,,,1986.322,,,,,,,,,powered_acceleration_command,candidate_action,True
736,1789731635388225792,accepted_optimal,57,0.00943779945,0.00224137306,0.00943779945,0,0,30,,,,,,,,0.001501631,0.001501631,ct2,0,False,22.2759675,0.827326937,2.67590565,-1.46180684,-0.10999112585507473,first_horizon_reference,1.54297519,0.0,0.325978458,0.0514949113,-0.17924276,1.61774468,0.0648049265,-0.0878280178,0.217071131,0.0600381307,3.0,0.0663058832,1.69274473,0.10999112585507473,0.0648049265,0.0600381307,0.325978458,0.5029766731684571,,,,,,,,,,,,,,,,,,,,,1797.067,,,,,,,,,powered_acceleration_command,candidate_action,True
758,1789731635413045760,accepted_optimal,57,0.00933623314,0.00222301483,0.00933623314,0,0,30,,,,,,,,0.001795123,0.001795123,ct2,0,False,22.314231,0.83167887,2.63755987,-1.45376916,-0.10885936985484167,first_horizon_reference,1.56723952,0.0,0.323320776,0.0447721519,-0.167785689,1.62894773,0.0635012686,-0.0528482683,0.454154283,0.0562119037,3.0,0.0649065673,1.70394778,0.10885936985484167,0.0635012686,0.0562119037,0.323320776,0.5067210977842674,,,,,,,,,,,,,,,,,,,,,1957.458,,,,,,,,,powered_acceleration_command,candidate_action,True
780,1789731635438025984,accepted_optimal,57,0.00943756104,0.00224471092,0.00943756104,0,0,30,,,,,,,,0.001568037,0.001568037,ct2,0,False,22.3524925,0.836419933,2.59853504,-1.4460317,-0.1020846948671582,first_horizon_reference,1.58045447,0.0,0.316584617,0.0385245793,-0.155568346,1.64017522,0.060431432,-0.122267678,0.447176546,0.0278414506,3.0,0.0611274689,1.71517527,0.1020846948671582,0.060431432,0.0278414506,0.316584617,0.5003475730708881,,,,,,,,,,,,,,,,,,,,,1887.237,,,,,,,,,powered_acceleration_command,candidate_action,False
802,1789731635463532800,accepted_optimal,57,0.00945878029,0.00224971771,0.00945878029,0,0,30,,,,,,,,0.001536698,0.001536698,ct2,0,False,22.3925874,0.841647167,2.55816289,-1.43804111,-0.09415178536800467,first_horizon_reference,1.61151123,0.0,0.30862397,0.0324845947,-0.143312097,1.65140295,0.0579662286,-0.0995031372,0.45318535,0.0322504528,3.0,0.0587724894,1.726403,0.09415178536800467,0.0579662286,0.0322504528,0.30862397,0.49735099350218315,,,,,,,,,,,,,,,,,,,,,1870.354,,,,,,,,,powered_acceleration_command,candidate_action,False
824,1789731635490005504,accepted_optimal,57,0.00939488411,0.00223469734,0.00939488411,0,0,30,,,,,,,,0.00177193,0.00177193,ct2,0,False,22.434735,0.847407228,2.51621805,-1.43060941,-0.08551590120446198,first_horizon_reference,1.58733332,0.0,0.3017492,0.0266539957,-0.131996229,1.66261959,0.0553682037,-0.10210757,0.44083637,0.0296269078,3.0,0.0561088771,1.73761964,0.08551590120446198,0.0553682037,0.0296269078,0.3017492,0.478976559443344,,,,,,,,,,,,,,,,,,,,,1859.093,,,,,,,,,powered_acceleration_command,candidate_action,False
846,1789731635513386752,accepted_optimal,57,0.00934576988,0.00222468376,0.00934576988,0,0,30,,,,,,,,0.001723158,0.001723158,ct2,0,False,22.4717372,0.852772868,2.47918605,-1.42320197,-0.08097614432088704,first_horizon_reference,1.61391521,0.0,0.289074987,0.0219637677,-0.120754011,1.67383623,0.0519044623,-0.129618332,0.41974327,0.0121153379,3.0,0.052207347,1.74883628,0.08097614432088704,0.0519044623,0.0121153379,0.289074987,0.4665425183498523,,,,,,,,,,,,,,,,,,,,,1678.504,,,,,,,,,powered_acceleration_command,candidate_action,False
868,1789731635538291968,accepted_optimal,57,0.00945830345,0.00224971771,0.00945830345,0,0,30,,,,,,,,0.001586511,0.001586511,ct2,0,False,22.5115323,0.858839748,2.43931766,-1.41636238,-0.07747605721401295,first_horizon_reference,1.62478995,0.0,0.28044039,0.017340336,-0.110648654,1.68504941,0.0498802736,-0.0870340616,0.482133389,0.0177941993,3.0,0.0503251292,1.76004946,0.07747605721401295,0.0498802736,0.0177941993,0.28044039,0.4556567272460805,,,,,,,,,,,,,,,,,,,,,1864.713,,,,,,,,,powered_acceleration_command,candidate_action,False
890,1789731635563120896,accepted_optimal,57,0.00952363014,0.0022714138,0.00952363014,0,0,30,,,,,,,,0.001508695,0.001508695,ct2,0,False,22.5516151,0.865201366,2.39935216,-1.40952346,-0.07400419889693372,first_horizon_reference,1.6352458,0.0,0.270040035,0.0130930701,-0.10068246,1.69626188,0.0459016524,-0.160103902,0.451201528,-0.0133190388,3.0,0.0455686748,1.77126193,0.07400419889693372,0.0459016524,0.0133190388,0.270040035,0.44158183306560306,,,,,,,,,,,,,,,,,,,,,1846.199,,,,,,,,,powered_acceleration_command,candidate_action,False
912,1789731635588512000,accepted_optimal,57,0.00937485695,0.00223135948,0.00937485695,0,0,30,,,,,,,,0.001566143,0.001566143,ct2,0,False,22.5931374,0.872016968,2.35827144,-1.40324918,-0.07037421836397151,first_horizon_reference,1.6450839,0.0,0.253448039,0.00910037942,-0.0914963037,1.70747638,0.0427014194,-0.129241899,0.452899069,-0.00147916505,3.0,0.0426644385,1.78247643,0.07037421836397151,0.0427014194,0.00147916505,0.253448039,0.4169432884454721,,,,,,,,,,,,,,,,,,,,,1921.751,,,,,,,,,powered_acceleration_command,candidate_action,False
