s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
30.538664,8.969706,-0.026786,-8.81957,-2.155084390708315,-0.008678446119810876,0.725,1.4875,s8_k1
30.558663,8.95002,-0.026676,-8.825817,-2.1368238400186703,-0.008642808792978327,0.725,1.475,s8_k1
30.578662,8.930277,-0.026567,-8.832034,-2.1187141931321993,-0.008607495420188826,0.7375,1.475,s8_k1
30.598661,8.910476,-0.026455,-8.838163,-2.1004365912696676,-0.008571210097346049,0.7375,1.475,s8_k1
30.618661,8.890617,-0.026343,-8.844193,-2.0822316098876703,-0.008534924751932573,0.7375,1.4625,s8_k1
30.63866,8.8707,-0.026231,-8.850125,-2.0640995133111897,-0.008498639384043924,0.7375,1.4625,s8_k1
30.658659,8.850724,-0.02612,-8.85604,-2.046118436267477,-0.008462677970573193,0.75,1.4625,s8_k1
30.678658,8.830691,-0.026005,-8.861876,-2.027898597492193,-0.008425420627225708,0.75,1.45,s8_k1
30.698657,8.810598,-0.02589,-8.867615,-2.0097536349747678,-0.008388163260486843,0.75,1.45,s8_k1
30.718656,8.790446,-0.025775,-8.873256,-1.9916842761540594,-0.008350905870460007,0.7375,1.45,s8_k1
30.738655,8.770236,-0.02566,-8.878889,-1.9736912334595598,-0.008313648457248612,0.7375,1.4375,s8_k1
30.758654,8.749965,-0.025542,-8.884455,-1.9555437305562886,-0.008275419087527422,0.7375,1.4375,s8_k1
30.778654,8.729635,-0.025423,-8.889923,-1.9373985418502793,-0.008236865715599326,0.75,1.4375,s8_k1
30.798653,8.709245,-0.025304,-8.895295,-1.9193324000855123,-0.008198312319184723,0.75,1.425,s8_k1
30.818652,8.688795,-0.025184,-8.900665,-1.9012700729741983,-0.008159434919969327,0.75,1.425,s8_k1
30.838651,8.668284,-0.025062,-8.90598,-1.8831373147616886,-0.008119909538815183,0.7625,1.425,s8_k1
30.85865,8.647712,-0.024938,-8.911198,-1.8649365296578335,-0.008079736174595011,0.7625,1.425,s8_k0
30.878649,8.627079,-0.024814,-8.91632,-1.8468189742805883,-0.008039562784294496,0.7625,1.4125,s8_k0
30.898648,8.606384,-0.02469,-8.921442,-1.8287844867642087,-0.007999389368043284,0.775,1.4125,s8_k0
30.918647,8.585628,-0.024562,-8.926524,-1.8105389062879798,-0.007957920008056377,0.775,1.4125,s8_k0
30.938647,8.56481,-0.024432,-8.931509,-1.7922330672515947,-0.007915802661304394,0.775,1.425,s8_k0
30.958646,8.543929,-0.024302,-8.936396,-1.7740149604416107,-0.00787368528646858,0.7875,1.425,s8_k0
30.978645,8.522985,-0.024172,-8.941285,-1.7558848584547586,-0.00783156788369833,0.7875,1.425,s8_k0
30.998644,8.501979,-0.024038,-8.946149,-1.737554304577409,-0.007788154531763867,0.7875,1.4125,s8_k0
31.018643,8.480909,-0.023901,-8.950914,-1.719098963261582,-0.007743769208764887,0.8,1.4125,s8_k0
31.038642,8.459775,-0.023764,-8.955583,-1.700737034055053,-0.007699383855253945,0.775,1.4125,s8_k0
31.058641,8.438577,-0.023627,-8.960249,-1.6824687888325178,-0.0076549984714058905,0.775,1.4,s8_k0
31.07864,8.417315,-0.023485,-8.964908,-1.663940239639649,-0.007608993151206517,0.7875,1.4,s8_k0
31.09864,8.395988,-0.02334,-8.969468,-1.6452976223400007,-0.007562015854386806,0.7875,1.4,s8_k0
31.118639,8.374595,-0.023194,-8.973928,-1.6266843177568955,-0.007514714542486744,0.8,1.3875,s8_k0
31.138638,8.353137,-0.023049,-8.978352,-1.6082416180269847,-0.007467737178891549,0.8,1.3875,s8_k0
31.158637,8.331614,-0.0229,-8.982755,-1.5896216332504085,-0.007419463853688962,0.8,1.3875,s8_k0
31.178636,8.310023,-0.022748,-8.987056,-1.5708968584625136,-0.007370218546711521,0.8125,1.375,s8_k0
31.198635,8.288367,-0.022596,-8.99126,-1.5522780339930644,-0.007320973203986371,0.8125,1.375,s8_k0
31.218634,8.266643,-0.022444,-8.995126,-1.5337643023691934,-0.0072717278257523185,0.8125,1.375,s8_k0
31.238633,8.244853,-0.022304,-8.99853,-1.5161724125168474,-0.007226370209327906,0.825,1.3625,s8_k0
31.258633,8.222997,-0.022185,-9.00186,-1.5000982233016695,-0.007187816211981183,0.825,1.3625,s8_k0
31.278632,8.201074,-0.022065,-9.005117,-1.484039269535448,-0.007148938209825226,0.825,1.3625,s8_k0
31.298631,8.179085,-0.021946,-9.00763,-1.46813103032134,-0.007110384169678035,0.8375,1.35,s8_k0
31.31863,8.15703,-0.021864,-9.008724,-1.454767994434558,-0.00708381750785648,0.825,1.35,s8_k0
31.338629,8.134913,-0.02186,-9.009803,-1.4466250560540581,-0.007082521572877385,0.8125,1.375,s8_k0
31.358628,8.112732,-0.021856,-9.010869,-1.438483686531577,-0.007081225637874501,0.825,1.3625,s8_k0
31.378627,8.090489,-0.021852,-9.01185,-1.430344779886312,-0.007079929702847831,0.825,1.3625,s8_k0
31.398626,8.068181,-0.021852,-9.012624,-1.4224678416647252,-0.007079929702847831,0.825,1.3625,s8_k0
31.418626,8.04581,-0.021864,-9.013391,-1.41536732027057,-0.00708381750785648,0.8375,1.35,s8_k0
31.438625,8.023375,-0.021876,-9.01415,-1.4082575768413124,-0.00708770531265098,0.8375,1.35,s8_k0
31.458624,8.000874,-0.021887,-9.014963,-1.401074084526954,-0.007091269133524382,0.85,1.35,s8_k0
31.478623,7.978309,-0.021895,-9.016001,-1.3936915104661367,-0.0070938610031373575,0.85,1.3375,s7_k0
31.498622,7.955676,-0.021889,-9.017026,-1.3854156749249877,-0.007091917100936559,0.85,1.3375,s7_k0
31.518621,7.932977,-0.021882,-9.018035,-1.3770807391738995,-0.007089649214967888,0.8625,1.3375,s7_k0
31.53862,7.910209,-0.021876,-9.019078,-1.3688120869244456,-0.00708770531265098,0.8625,1.325,s7_k0
31.558619,7.887374,-0.021866,-9.020387,-1.3602984799547446,-0.007084465475337105,0.8625,1.325,s7_k0
31.578619,7.864469,-0.021838,-9.021672,-1.350677518973524,-0.007075393930067239,0.875,1.325,s7_k0
31.598618,7.841493,-0.021811,-9.022935,-1.3411368509624277,-0.007066646367454108,0.875,1.3125,s7_k0
31.618617,7.818447,-0.021783,-9.024207,-1.3315536961920753,-0.007057574819898188,0.875,1.3125,s7_k0
