motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
steady,asymptotic,38.0,39.09496391719079,11.9725,27.139000640522273,2.266778086491733,0.7880536034498165,1.1214137458398652,18.227316205718914,75
steady,asymptotic,40.0,40.94218520547966,11.9723,28.429997789792278,2.3746082931545023,1.1432796239807983,1.2203486635354774,19.351069054296683,73
steady,asymptotic,42.0,42.733740317251176,11.96935,31.031481628169804,2.5932394832295533,1.3251340310547262,1.329765266276621,14.045310206144917,48
steady,asymptotic,44.0,45.050471762514924,15.3254,30.427616433681386,1.98543701526103,0.9918824450516606,1.3791179732152492,21.605768475502344,57
steady,asymptotic,46.0,47.077237890318976,13.2641,33.27283042585527,2.5084876038219908,1.4344535847320443,1.4372115352681398,22.57091481555299,59
steady,asymptotic,48.0,49.0000742855495,15.3597,34.02028625818835,2.2153816166672105,0.9813422529606026,1.1828719654157573,14.115617391993007,58
steady,asymptotic,50.0,50.92819742763963,15.361,35.59342241471327,2.3178170239502425,0.6507582863331618,1.2658034374427176,12.703661035517598,77
steady,asymptotic,52.0,52.8435616647289,15.3503,37.81037656825554,2.4650475186432423,0.6262800478774077,1.8037743000358988,13.143598084867257,44
steady,asymptotic,54.0,55.15210548455501,7.3137,48.101375120661864,6.5768865445208124,4.693967107187352,1.4426056440452741,19.531143075216512,53
steady,asymptotic,56.0,57.01783791742553,8.4936,48.17970170978883,5.651803731257237,3.590307623224895,1.963426691983615,14.514679693842528,40
steady,asymptotic,58.0,58.927861330980896,7.3134,51.614461330980895,7.057519256567519,4.8699622416442025,1.588793570904726,22.44116202138525,45
steady,post_extremum,0.0,1.5925531613576458,1.993,-0.32758416362643394,-0.18077126981286343,0.020395875705702976,-0.22743949587884105,-0.15069384386702145,198
steady,post_extremum,2.0,2.9867001857604016,3.7096,-0.6620949100579101,-0.17976339850302586,0.022189193592861395,-0.21871095509588515,0.1754319054516172,141
steady,post_extremum,4.0,4.90919467198293,6.1232,-1.0504757661259143,-0.17674486371721712,0.02583692870616633,-0.23113489554720867,0.18567839014569887,107
steady,post_extremum,6.0,6.959608532384916,8.4924,-1.3866183134426366,-0.16841288923550893,0.016612939147267525,-0.21203086792577736,0.17526572607439822,67
steady,post_extremum,8.0,9.454775029397199,11.9708,-2.231024092882853,-0.18700270321085938,0.021724480953270814,-0.2232522301403307,-0.1504141340237521,71
steady,post_extremum,10.0,10.206701580567803,11.9725,-1.9058365280645688,-0.1592036807725578,0.03436549024419609,-0.244363627042682,0.20912093196946502,32
steady,post_extremum,12.0,12.736051497286326,15.3605,-2.5870367314649076,-0.1708299806454215,0.017640162480754035,-0.20694144066787631,-0.15005597313898092,55
steady,post_extremum,14.0,14.750484892242644,11.9725,2.2377043458351995,0.18690368309335556,0.049010514091980845,-0.19396690265788777,0.23301849026109145,37
steady,post_extremum,16.0,17.757647896824714,22.80985,-4.8941910793177605,-0.21387517188244687,0.016613338132357672,-0.2265464883995859,0.1580290322577423,10
steady,post_extremum,18.0,18.810348503473588,15.3609,3.2454130934083665,0.20426449319772078,0.02658499037982795,-0.1708439311826406,0.23528087100647285,31
steady,post_extremum,20.0,21.254055856189048,18.201050000000002,3.155146386548905,0.17511792089358275,0.008970760065652603,0.15477157812634232,0.20478455583403812,36
steady,post_extremum,22.0,22.655734839624827,18.7344,4.011367165729533,0.21301014253972844,0.01952823480914309,0.1769448122519743,0.2412849020592931,48
steady,post_extremum,26.0,26.910354003073014,22.8733,4.027654003073014,0.17601305803393016,0.007169103246727593,0.16801130661756747,0.21080291342665183,5
