estimate_x_m,estimate_y_m,estimate_yaw_rad,position_error_m,r_error_radps,source_stamp_ns,topic,truth_com_v_mps,truth_pose_u_mps,truth_pose_v_mps,truth_x_m,truth_y_m,truth_yaw_rad,u_error_mps,v_error_mps,v_error_mps_com
-0.8088678483245413,6.107035424979733,-1.002278495252243,0.38564471066656836,0.0,1789416539833307250,/ekf_odom,-0.1131,4.924722418211051,0.013457472729191055,-0.5547,5.817,-1.0022784952522428,0.0721082655063876,0.06648897875962384,0.19304645148881489
-0.7385599360432156,5.998372806272441,-1.0219626734874825,0.3808422661542293,0.0,1789416539858308850,/ekf_odom,-0.1067,4.992695341833331,0.011065667379443993,-0.4883,5.7113,-1.021962673487482,0.11043291750314843,0.07057866091110601,0.18834432829055
-0.6721158181607991,5.891408647021338,-1.0391589042419682,0.37621414789905944,0.0,1789416539882307250,/ekf_odom,-0.0986,5.062401350117371,0.015223793048158492,-0.4255,5.6073,-1.0391589042419678,0.07542916935220045,0.06696855025806345,0.18079234330622193
-0.601354501096278,5.772846721218489,-1.05742699160227,0.37137179121490377,0.0,1789416539908307250,/ekf_odom,-0.0969,5.133678811941307,0.012819556649199508,-0.3586,5.4918,-1.0574269916022698,0.07337295476350025,0.0704789072296211,0.1801984638788206
-0.5344822053595886,5.656411542865329,-1.0727180383965593,0.3668268849240899,0.0,1789416539933307250,/ekf_odom,-0.0829,5.199866806705032,0.01025634060303672,-0.2954,5.3782,-1.0727180383965589,0.07584587102524498,0.07408976924318972,0.16724610984622645
-0.46846641655295884,5.537500398164783,-1.0864614751589765,0.36219837005523475,0.0,1789416539958307250,/ekf_odom,-0.0758,5.266838525760021,0.008714560977291171,-0.2331,5.2622,-1.086461475158976,0.07520239845073995,0.0766295401175362,0.16114410109482738
-0.40321895361239735,5.416174921944759,-1.0995455198353803,0.35746464551410684,0.0,1789416539983308850,/ekf_odom,-0.0728,5.332889362661784,0.008639260427380358,-0.1716,5.1439,-1.09954551983538,0.10589018586336518,0.07821508451979951,0.1596543449471799
-0.33863356290847846,5.292429663621144,-1.1112589552230618,0.35269355559908655,0.0,1789416540008308550,/ekf_odom,-0.064,5.406002687666339,0.006658420585199053,-0.1108,5.0232,-1.1112589552230616,0.10521679644424964,0.08109928361811246,0.15175770420331153
-0.27473844767592404,5.166309832702145,-1.1237498301690567,0.3478495002451435,0.0,1789416540033307250,/ekf_odom,-0.0705,5.474348679031247,0.011966518433297333,-0.0506,4.9003,-1.1237498301690563,0.107760968790938,0.07716859269895138,0.1596351111322487
-0.21407769350735428,5.04274491006734,-1.1363158965888795,0.34284142564251247,0.0,1789416540057308250,/ekf_odom,-0.0699,5.538915159718812,0.013083650831574369,0.0064,4.7802,-1.136315896588879,0.08173193783759913,0.0766631961497355,0.15964684698130988
-0.14916034862447392,4.9060924013855525,-1.1493484274858519,0.3373082285703278,0.0,1789416540083307250,/ekf_odom,-0.0681,5.619361886206471,0.01126978050750881,0.0673,4.6474,-1.1493484274858514,0.07935010121908803,0.07969505886263918,0.15906483937014798
-0.08770651592324907,4.77218071821234,-1.162965215416608,0.3318354185222222,0.0,1789416540108308850,/ekf_odom,-0.0733,5.6871858483313344,0.013889807645570986,0.1249,4.5174,-1.1629652154166077,0.12711385721295176,0.07902787466666196,0.16621768231223294
-0.02726747453885192,4.635847021466238,-1.1753942805919668,0.3264326362484403,0.0,1789416540133308550,/ekf_odom,-0.0647,5.7633625628956615,0.012048222687501543,0.1815,4.3849,-1.1753942805919666,0.1287637410105935,0.08192567836149078,0.15867390104899232
0.032202689706357646,4.497190979067771,-1.187172524482583,0.32099355087328274,0.0,1789416540158307250,/ekf_odom,-0.0624,5.832947887242032,0.009863268412018476,0.2371,4.2501,-1.1871725244825828,0.12948043665730147,0.08517690832965016,0.15744017674166866
0.0907498434060906,4.356197379724785,-1.1985563805584967,0.31554101313686067,0.0,1789416540183307250,/ekf_odom,-0.0594,5.904362791451675,0.010001345647062933,0.2918,4.113,-1.1985563805584962,0.13085162067788314,0.08607622666501752,0.15547757231208045
0.1485002243660558,4.212905823865533,-1.2077556433863745,0.3100115766891076,0.0,1789416540208307250,/ekf_odom,-0.0472,5.974565589260373,0.009274676818967181,0.3457,3.9737,-1.207755643386374,0.0967312274344021,0.08587565635062963,0.1423503331695968
0.20552429724393706,4.067398663580286,-1.217737991619177,0.30448739508615735,0.0,1789416540233308850,/ekf_odom,-0.0537,6.046421571525686,0.009509926301466862,0.3989,3.8322,-1.2177379916191766,0.13162397894228395,0.0885277100786125,0.15173763638007937
0.2617850616578954,3.91940656236277,-1.2284724053037994,0.298720190809064,0.0,1789416540258308550,/ekf_odom,-0.056,6.118290005959976,0.012074950334031973,0.4513,3.6885,-1.228472405303799,0.13738943958224237,0.08742440502538736,0.15549935535941933
0.3171037090407086,3.768865391486731,-1.2399721316465233,0.2927872998252806,0.0,1789416540283307250,/ekf_odom,-0.0593,6.192975157722185,0.015726529896371667,0.5028,3.5425,-1.239972131646523,0.10154805008565937,0.08460769104277033,0.15963422093914198
0.3711737861247206,3.615971041666896,-1.2530413927820012,0.2868441078652551,0.0,1789416540308307250,/ekf_odom,-0.067,6.263902901207336,0.01698364623900322,0.5531,3.3942,-1.2530413927820008,0.14536145975537185,0.08542047988804861,0.16940412612705186
