throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.12,2.0,4.2416159033156635,1.1765195727184807,4
0.12,2.5,0.0,1.0369267726582403,112
0.13,0.0,3.6592785583345724,0.0,1
0.13,0.5,3.8365906692606773,1.1519726170592355,5
0.13,1.0,4.14853333902477,0.06281329977240811,4
0.13,1.5,4.827479683214996,0.045881917423110874,2
0.13,2.0,4.585548275040103,1.0066924742934933,5
0.13,2.5,5.053789870371855,0.46184951198156077,4
0.13,3.0,0.0,0.6622258223185196,94
0.14,0.0,2.4654904759533727,1.5676834770751096,5
0.14,0.5,4.063119651824557,0.3011677444742035,4
0.14,1.0,5.514502804146712,0.7665868861059918,4
0.14,1.5,4.9124294732478875,0.7163598285498506,5
0.14,2.0,3.5224851392699295,1.0206076317295325,4
0.14,2.5,4.9196443608154246,0.6508097645976356,3
0.14,3.0,-0.0006980478046554535,1.8072072495183642,55
0.15,0.0,2.770830790132533,0.5592560645253463,4
0.15,0.5,4.37534000380286,0.3977029063568173,4
0.15,1.0,4.944863999833437,0.07081395190084283,2
0.15,1.5,4.213520168949719,1.3288930794231841,5
0.15,2.0,5.38229720755916,1.4350297501641576,4
0.15,2.5,4.583193649630361,0.1648787449117399,4
0.15,3.0,6.644408738042827,0.905045484459003,5
0.15,3.5,0.0,0.5425017323386458,72
0.16,0.0,3.4518752792483878,0.0,1
0.16,0.5,5.188291311082582,1.610441345956011,5
0.16,1.0,4.313667473304022,1.179392234483176,4
0.16,1.5,4.165416033715755,1.0493779498962403,2
0.16,2.0,5.103363557849018,0.676522487691939,6
0.16,2.5,4.308259328206353,0.8926509059410132,4
0.16,3.0,4.847484688050407,2.213408302990709,4
0.16,3.5,0.0,0.8365297506432164,91
0.17,0.0,1.8729145959445155,1.6713972510652721,3
0.17,0.5,6.014853276523286,0.6761934242339942,4
0.17,1.0,4.690388203995131,0.7904685907186768,5
0.17,1.5,4.301158826079652,1.5912346936072412,4
0.17,2.0,4.330558323747149,0.9262565232426005,2
0.17,2.5,4.045674152782794,1.547332245327384,5
0.17,3.0,4.753947192629238,1.1829803979908728,5
0.17,3.5,3.695020132658464,0.5569497198651581,4
0.17,4.0,0.0,0.7472571503976089,64
0.18,0.0,3.500774771409537,1.0744249013832243,5
0.18,0.5,4.589023986162987,0.14760844705228063,4
0.18,1.0,5.0912818288793495,0.0,1
0.18,1.5,5.088057494214332,0.98914410599918,5
0.18,2.0,4.394918099751296,0.8231579778558269,5
0.18,2.5,4.191299084661258,0.7702611322357141,4
0.18,3.0,3.6708632532908916,1.5601745900051653,5
0.18,3.5,3.8284063699405064,0.0,1
0.18,4.0,0.0,1.430124219484481,74
0.19,0.0,3.7770344879505093,1.069705293018467,5
0.19,0.5,3.820592786310883,0.0,1
0.19,1.0,4.7720883147312305,1.0619113725403884,6
0.19,1.5,4.758941672642255,0.918348735362656,4
0.19,2.0,3.8591604782313347,0.9342365583915638,4
0.19,2.5,3.8970466821604,0.8549429164371465,2
0.19,3.0,4.186577304733421,0.9785637115835759,6
0.19,3.5,5.403681804225613,1.2557223302938374,5
0.19,4.0,5.017058727204441,2.2932870628120585,4
0.19,4.5,-0.0006631426001069149,0.7527177935895158,53
0.2,0.0,2.454782314306751,1.1248950598860388,2
0.2,0.5,5.407852259576773,1.5422375329953701,4
0.2,1.0,4.388000838075091,0.5860528503405974,5
0.2,1.5,3.995565318077282,1.0848517034536478,4
0.2,2.0,4.239674190388239,0.7511835647019784,2
0.2,2.5,3.879100986404441,0.8870734792312845,5
0.2,3.0,3.6317491141137896,0.3952626929570924,5
0.2,3.5,3.018956926231782,1.334784503230449,5
0.2,4.0,5.527876718049357,0.4802657013831603,4
0.2,4.5,0.0,0.8283582289992237,68
0.21,0.0,3.65371072832332,1.5245844666933006,5
0.21,0.5,3.6489602858365866,0.0,1
0.21,1.0,4.0224452239382025,0.7447301482092044,4
0.21,1.5,3.9125784880554955,0.9544205739973953,5
0.21,2.0,5.580472390942581,1.038725330102545,3
0.21,2.5,4.1339802706464415,0.3895802989887926,5
0.21,3.0,3.794898365111659,1.3368912706634504,6
