event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
2076,95818754963437,1789737666737976852,/odom,Odometry,1789737666734118611,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.11550633911706e-05,""yaw_rate_radps"":0.0}"
2077,95818755317723,1789737666738331328,/ekf_odom,Odometry,1789737666734118611,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.115506339117064e-05,""yaw_rate_radps"":0.0}"
2079,95818756454369,1789737666739467814,/current_map_pose,PoseWithCovarianceStamped,1789737666734118611,,"{""covariance_6x6"":[0.010210734820300008,-0.00020806346285890485,0.0,0.0,0.0,-3.603713164606332e-06,-0.00020806346285890485,0.010210734820300008,0.0,0.0,0.0,4.6750779685937054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.603713164606332e-06,4.6750779685937054e-05,0.0,0.0,0.0,0.00010000048054167589],""covariance_xx_m2"":0.010210734820300008,""covariance_yawyaw_rad2"":0.00010000048054167589,""covariance_yy_m2"":0.010210734820300008,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2085,95818758785320,1789737666741798624,/amcl_pose,PoseWithCovarianceStamped,1789737666734118611,,"{""covariance_6x6"":[0.0001,-0.00020594694069586694,0.0,0.0,0.0,-3.548423592292238e-06,-0.00020594694069586694,0.003302955301478505,0.0,0.0,0.0,4.62532952951733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.548423592292238e-06,4.62532952951733e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.003302955301478505,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2096,95818781016120,1789737666764029806,/odom,Odometry,1789737666759885437,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.11550633911706e-05,""yaw_rate_radps"":0.0}"
2097,95818781406093,1789737666764419718,/ekf_odom,Odometry,1789737666759885437,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.115506339117064e-05,""yaw_rate_radps"":0.0}"
2098,95818781783593,1789737666764797358,/current_map_pose,PoseWithCovarianceStamped,1789737666759885437,,"{""covariance_6x6"":[0.010218464868100007,-0.00020594694069586694,0.0,0.0,0.0,-3.548423592292238e-06,-0.00020594694069586694,0.010218464868100007,0.0,0.0,0.0,4.62532952951733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.548423592292238e-06,4.62532952951733e-05,0.0,0.0,0.0,0.00010000048054167589],""covariance_xx_m2"":0.010218464868100007,""covariance_yawyaw_rad2"":0.00010000048054167589,""covariance_yy_m2"":0.010218464868100007,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2105,95818784652925,1789737666767666300,/amcl_pose,PoseWithCovarianceStamped,1789737666759885437,,"{""covariance_6x6"":[0.0001,-0.00020381298963911831,0.0,0.0,0.0,-3.4965621580340667e-06,-0.00020381298963911831,0.00326616782695055,0.0,0.0,0.0,4.575433922582306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4965621580340667e-06,4.575433922582306e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.00326616782695055,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2116,95818805591617,1789737666788605172,/odom,Odometry,1789737666784459872,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.11550633911706e-05,""yaw_rate_radps"":0.0}"
2117,95818806030562,1789737666789044238,/ekf_odom,Odometry,1789737666784459872,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.115506339117064e-05,""yaw_rate_radps"":0.0}"
2119,95818807428269,1789737666790442045,/current_map_pose,PoseWithCovarianceStamped,1789737666784459872,,"{""covariance_6x6"":[0.010225837198600006,-0.00020381298963911831,0.0,0.0,0.0,-3.4965621580340667e-06,-0.00020381298963911831,0.010225837198600006,0.0,0.0,0.0,4.575433922582306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4965621580340667e-06,4.575433922582306e-05,0.0,0.0,0.0,0.00010000048054167589],""covariance_xx_m2"":0.010225837198600006,""covariance_yawyaw_rad2"":0.00010000048054167589,""covariance_yy_m2"":0.010225837198600006,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2123,95818809822349,1789737666792835753,/amcl_pose,PoseWithCovarianceStamped,1789737666784459872,,"{""covariance_6x6"":[0.0001,-0.0002016592093860928,0.0,0.0,0.0,-3.447778042839524e-06,-0.0002016592093860928,0.0032288963782612827,0.0,0.0,0.0,4.5248167288475286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.447778042839524e-06,4.5248167288475286e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.0001,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.0032288963782612827,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707251717315054}"
2136,95818830736415,1789737666813749799,/odom,Odometry,1789737666809755512,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":7.11550633911706e-05,""yaw_rate_radps"":0.0}"
