bag_time,time,count
1788880176.8758626,1788880176.8758626,0
1788880176.9250894,1788880176.9250894,0
1788880176.974952,1788880176.974952,0
1788880177.0261447,1788880177.0261447,0
1788880177.0757453,1788880177.0757453,0
1788880177.1259527,1788880177.1259527,0
1788880177.1748173,1788880177.1748173,0
1788880177.2252767,1788880177.2252767,0
1788880177.274904,1788880177.274904,0
1788880177.3252795,1788880177.3252795,0
1788880177.3758874,1788880177.3758874,0
1788880177.4258575,1788880177.4258575,0
1788880177.4751139,1788880177.4751139,0
1788880177.5260632,1788880177.5260632,0
1788880177.5761936,1788880177.5761936,0
1788880177.6252,1788880177.6252,0
1788880177.675317,1788880177.675317,0
1788880177.7254193,1788880177.7254193,0
1788880177.773884,1788880177.773884,0
1788880177.8246207,1788880177.8246207,0
1788880177.875512,1788880177.875512,0
1788880177.9236221,1788880177.9236221,0
1788880177.974947,1788880177.974947,0
1788880178.0251923,1788880178.0251923,0
1788880178.0749998,1788880178.0749998,0
1788880178.1256084,1788880178.1256084,0
1788880178.1750045,1788880178.1750045,0
1788880178.2261872,1788880178.2261872,0
1788880178.274916,1788880178.274916,0
1788880178.325813,1788880178.325813,0
1788880178.377288,1788880178.377288,0
1788880178.4248347,1788880178.4248347,0
1788880178.4747536,1788880178.4747536,0
1788880178.5256708,1788880178.5256708,0
1788880178.5739348,1788880178.5739348,0
1788880178.6249177,1788880178.6249177,0
1788880178.6759326,1788880178.6759326,0
1788880178.724988,1788880178.724988,0
1788880178.7761357,1788880178.7761357,0
1788880178.8267016,1788880178.8267016,0
1788880178.8739266,1788880178.8739266,0
1788880178.926964,1788880178.926964,0
1788880178.9750857,1788880178.9750857,0
1788880179.0248523,1788880179.0248523,0
1788880179.0778291,1788880179.0778291,0
1788880179.125678,1788880179.125678,0
1788880179.1736903,1788880179.1736903,0
1788880179.2250154,1788880179.2250154,0
1788880179.2760801,1788880179.2760801,0
1788880179.3259974,1788880179.3259974,0
1788880179.376211,1788880179.376211,0
1788880179.4259598,1788880179.4259598,0
1788880179.474984,1788880179.474984,0
1788880179.5250049,1788880179.5250049,0
1788880179.5747514,1788880179.5747514,0
1788880179.6269832,1788880179.6269832,0
1788880179.6750185,1788880179.6750185,0
1788880179.724987,1788880179.724987,0
1788880179.7759461,1788880179.7759461,0
1788880179.8261557,1788880179.8261557,0
1788880179.8749208,1788880179.8749208,0
1788880179.9276953,1788880179.9276953,0
1788880179.9738235,1788880179.9738235,0
1788880180.0261881,1788880180.0261881,0
1788880180.074929,1788880180.074929,0
1788880180.12592,1788880180.12592,0
1788880180.1761725,1788880180.1761725,0
1788880180.225833,1788880180.225833,0
1788880180.2755263,1788880180.2755263,0
1788880180.3239222,1788880180.3239222,0
1788880180.3751588,1788880180.3751588,0
1788880180.4265685,1788880180.4265685,0
1788880180.474708,1788880180.474708,0
1788880180.525235,1788880180.525235,0
1788880180.5770009,1788880180.5770009,0
1788880180.6249475,1788880180.6249475,0
1788880180.6752973,1788880180.6752973,0
1788880180.7259326,1788880180.7259326,0
1788880180.7760448,1788880180.7760448,0
1788880180.8263984,1788880180.8263984,0
1788880180.8740134,1788880180.8740134,0
1788880180.9267538,1788880180.9267538,0
1788880180.9751544,1788880180.9751544,0
1788880181.0249991,1788880181.0249991,0
1788880181.074663,1788880181.074663,0
1788880181.1247728,1788880181.1247728,0
1788880181.1759186,1788880181.1759186,0
1788880181.224989,1788880181.224989,0
1788880181.278853,1788880181.278853,0
1788880181.3261032,1788880181.3261032,0
1788880181.3751864,1788880181.3751864,0
1788880181.4268982,1788880181.4268982,0
1788880181.475889,1788880181.475889,0
1788880181.5267565,1788880181.5267565,0
1788880181.573939,1788880181.573939,0
1788880181.6252725,1788880181.6252725,0
1788880181.676652,1788880181.676652,0
1788880181.7248912,1788880181.7248912,0
1788880181.7750096,1788880181.7750096,0
1788880181.8269968,1788880181.8269968,0
1788880181.876058,1788880181.876058,0
1788880181.925906,1788880181.925906,0
1788880181.9772031,1788880181.9772031,0
1788880182.0252376,1788880182.0252376,0
1788880182.0760171,1788880182.0760171,0
1788880182.1257591,1788880182.1257591,0
1788880182.1760235,1788880182.1760235,0
1788880182.2266178,1788880182.2266178,0
1788880182.2740493,1788880182.2740493,0
1788880182.3268464,1788880182.3268464,0
1788880182.376239,1788880182.376239,0
1788880182.4256039,1788880182.4256039,0
1788880182.474058,1788880182.474058,0
1788880182.5260947,1788880182.5260947,0
1788880182.576144,1788880182.576144,0
1788880182.626213,1788880182.626213,0
1788880182.676088,1788880182.676088,0
1788880182.7251358,1788880182.7251358,0
1788880182.7781541,1788880182.7781541,0
1788880182.82494,1788880182.82494,0
1788880182.8771837,1788880182.8771837,0
1788880182.9278057,1788880182.9278057,0
1788880182.9743245,1788880182.9743245,0
1788880183.0248275,1788880183.0248275,0
1788880183.0758688,1788880183.0758688,0
1788880183.1250584,1788880183.1250584,0
1788880183.1759229,1788880183.1759229,0
1788880183.2258906,1788880183.2258906,0
1788880183.2761292,1788880183.2761292,0
1788880183.3255613,1788880183.3255613,0
1788880183.373795,1788880183.373795,0
1788880183.424762,1788880183.424762,0
1788880183.4765174,1788880183.4765174,0
1788880183.5239165,1788880183.5239165,0
1788880183.5757384,1788880183.5757384,0
1788880183.625172,1788880183.625172,0
1788880183.6748114,1788880183.6748114,0
1788880183.724874,1788880183.724874,0
1788880183.7747548,1788880183.7747548,0
1788880183.8239071,1788880183.8239071,0
1788880183.8758204,1788880183.8758204,0
1788880183.9263575,1788880183.9263575,0
1788880183.9760768,1788880183.9760768,0
1788880184.0251164,1788880184.0251164,0
1788880184.0751958,1788880184.0751958,0
1788880184.1266925,1788880184.1266925,0
1788880184.1748185,1788880184.1748185,0
1788880184.2261186,1788880184.2261186,0
1788880184.2756348,1788880184.2756348,0
1788880184.3243098,1788880184.3243098,0
1788880184.3758864,1788880184.3758864,0
1788880184.425709,1788880184.425709,0
1788880184.4748747,1788880184.4748747,0
1788880184.5249841,1788880184.5249841,0
1788880184.576743,1788880184.576743,0
1788880184.6254578,1788880184.6254578,0
1788880184.6760137,1788880184.6760137,0
1788880184.7264943,1788880184.7264943,0
1788880184.775106,1788880184.775106,0
1788880184.825781,1788880184.825781,0
1788880184.8754067,1788880184.8754067,0
1788880184.9274297,1788880184.9274297,0
1788880184.9751034,1788880184.9751034,0
1788880185.0261524,1788880185.0261524,0
1788880185.0768359,1788880185.0768359,0
1788880185.1249638,1788880185.1249638,0
1788880185.1759696,1788880185.1759696,0
1788880185.2258961,1788880185.2258961,0
1788880185.2761953,1788880185.2761953,0
1788880185.3270712,1788880185.3270712,0
1788880185.3761106,1788880185.3761106,0
1788880185.4256563,1788880185.4256563,0
1788880185.4762044,1788880185.4762044,0
1788880185.5258677,1788880185.5258677,0
1788880185.5759842,1788880185.5759842,0
1788880185.6256063,1788880185.6256063,0
1788880185.6735044,1788880185.6735044,0
1788880185.7249484,1788880185.7249484,0
1788880185.777203,1788880185.777203,0
1788880185.825874,1788880185.825874,0
1788880185.876217,1788880185.876217,0
1788880185.92594,1788880185.92594,0
1788880185.9758487,1788880185.9758487,0
1788880186.0251968,1788880186.0251968,0
1788880186.0759468,1788880186.0759468,0
1788880186.1271682,1788880186.1271682,0
1788880186.178828,1788880186.178828,0
1788880186.2255445,1788880186.2255445,0
1788880186.2736392,1788880186.2736392,0
1788880186.3277125,1788880186.3277125,0
1788880186.3751032,1788880186.3751032,0
1788880186.4260392,1788880186.4260392,0
1788880186.476187,1788880186.476187,0
1788880186.5239017,1788880186.5239017,0
1788880186.5757008,1788880186.5757008,0
1788880186.625699,1788880186.625699,0
1788880186.6769385,1788880186.6769385,0
1788880186.7255895,1788880186.7255895,0
1788880186.7736475,1788880186.7736475,0
1788880186.8251116,1788880186.8251116,0
1788880186.875401,1788880186.875401,0
1788880186.926611,1788880186.926611,0
1788880186.9738054,1788880186.9738054,0
1788880187.024788,1788880187.024788,0
1788880187.073834,1788880187.073834,0
1788880187.1266043,1788880187.1266043,0
1788880187.1738448,1788880187.1738448,0
1788880187.2249389,1788880187.2249389,0
1788880187.2748907,1788880187.2748907,0
1788880187.3249857,1788880187.3249857,0
1788880187.3763888,1788880187.3763888,0
1788880187.426971,1788880187.426971,0
1788880187.4746656,1788880187.4746656,0
1788880187.5238118,1788880187.5238118,0
1788880187.574705,1788880187.574705,0
1788880187.6239212,1788880187.6239212,0
1788880187.6760888,1788880187.6760888,0
1788880187.7258708,1788880187.7258708,0
1788880187.7748954,1788880187.7748954,0
1788880187.8248358,1788880187.8248358,0
1788880187.8763852,1788880187.8763852,0
1788880187.9259353,1788880187.9259353,0
1788880187.9770741,1788880187.9770741,0
1788880188.025019,1788880188.025019,0
1788880188.0760493,1788880188.0760493,0
1788880188.1262934,1788880188.1262934,0
1788880188.1761956,1788880188.1761956,0
1788880188.2260993,1788880188.2260993,0
1788880188.2766395,1788880188.2766395,0
1788880188.3243136,1788880188.3243136,0
1788880188.376555,1788880188.376555,0
1788880188.4247608,1788880188.4247608,0
1788880188.4735353,1788880188.4735353,0
1788880188.5250974,1788880188.5250974,0
1788880188.5765154,1788880188.5765154,0
1788880188.6253433,1788880188.6253433,0
1788880188.6769326,1788880188.6769326,0
1788880188.7260394,1788880188.7260394,0
1788880188.775713,1788880188.775713,0
1788880188.8269951,1788880188.8269951,0
1788880188.8763938,1788880188.8763938,0
1788880188.9264154,1788880188.9264154,0
1788880188.975004,1788880188.975004,0
1788880189.0264685,1788880189.0264685,0
1788880189.074839,1788880189.074839,0
1788880189.1263,1788880189.1263,0
1788880189.1758156,1788880189.1758156,0
1788880189.2250495,1788880189.2250495,0
1788880189.2763739,1788880189.2763739,0
1788880189.325875,1788880189.325875,0
1788880189.3757546,1788880189.3757546,0
1788880189.4251802,1788880189.4251802,0
1788880189.4770222,1788880189.4770222,0
1788880189.5260174,1788880189.5260174,0
1788880189.5765471,1788880189.5765471,0
1788880189.6273177,1788880189.6273177,0
1788880189.6761503,1788880189.6761503,0
1788880189.7260985,1788880189.7260985,0
1788880189.7799327,1788880189.7799327,0
1788880189.8270261,1788880189.8270261,0
1788880189.8760438,1788880189.8760438,0
1788880189.9260857,1788880189.9260857,0
1788880189.9759161,1788880189.9759161,0
1788880190.0247808,1788880190.0247808,0
1788880190.0749578,1788880190.0749578,0
1788880190.1262622,1788880190.1262622,0
1788880190.176209,1788880190.176209,0
1788880190.2258236,1788880190.2258236,0
1788880190.2748318,1788880190.2748318,0
1788880190.3255975,1788880190.3255975,0
1788880190.3760643,1788880190.3760643,0
1788880190.4259923,1788880190.4259923,0
1788880190.4772913,1788880190.4772913,0
1788880190.5269217,1788880190.5269217,0
1788880190.575926,1788880190.575926,0
1788880190.625176,1788880190.625176,0
1788880190.6757414,1788880190.6757414,0
1788880190.7252278,1788880190.7252278,0
1788880190.7769084,1788880190.7769084,0
1788880190.8267686,1788880190.8267686,0
1788880190.8770452,1788880190.8770452,0
1788880190.9258845,1788880190.9258845,0
1788880190.9759722,1788880190.9759722,0
1788880191.0265946,1788880191.0265946,0
1788880191.0750082,1788880191.0750082,0
1788880191.1264563,1788880191.1264563,0
1788880191.1759102,1788880191.1759102,0
1788880191.2251236,1788880191.2251236,0
1788880191.2760868,1788880191.2760868,0
1788880191.3284807,1788880191.3284807,0
1788880191.3759084,1788880191.3759084,0
1788880191.4260132,1788880191.4260132,0
1788880191.477269,1788880191.477269,0
1788880191.5259304,1788880191.5259304,0
1788880191.5769856,1788880191.5769856,0
1788880191.6301303,1788880191.6301303,0
1788880191.6795056,1788880191.6795056,0
1788880191.7267778,1788880191.7267778,0
1788880191.7748702,1788880191.7748702,0
1788880191.8246853,1788880191.8246853,0
1788880191.8748384,1788880191.8748384,0
1788880191.9247515,1788880191.9247515,0
1788880191.9746695,1788880191.9746695,0
1788880192.02472,1788880192.02472,0
1788880192.0750315,1788880192.0750315,0
1788880192.1255393,1788880192.1255393,0
1788880192.1749454,1788880192.1749454,0
1788880192.2259264,1788880192.2259264,0
1788880192.2769127,1788880192.2769127,0
1788880192.3249595,1788880192.3249595,0
1788880192.3760178,1788880192.3760178,0
1788880192.4268258,1788880192.4268258,0
1788880192.4746616,1788880192.4746616,0
1788880192.5248804,1788880192.5248804,0
1788880192.577024,1788880192.577024,0
1788880192.625603,1788880192.625603,0
1788880192.676304,1788880192.676304,0
1788880192.7271602,1788880192.7271602,0
1788880192.7771313,1788880192.7771313,0
1788880192.8259432,1788880192.8259432,0
1788880192.8749712,1788880192.8749712,0
1788880192.9257169,1788880192.9257169,0
1788880192.9758387,1788880192.9758387,0
1788880193.0257638,1788880193.0257638,0
1788880193.0761724,1788880193.0761724,0
1788880193.1268556,1788880193.1268556,0
1788880193.1760767,1788880193.1760767,0
1788880193.225065,1788880193.225065,0
1788880193.2787294,1788880193.2787294,0
1788880193.3261201,1788880193.3261201,0
1788880193.3773677,1788880193.3773677,0
1788880193.4267638,1788880193.4267638,0
1788880193.474845,1788880193.474845,0
1788880193.526062,1788880193.526062,0
1788880193.5760272,1788880193.5760272,0
1788880193.626111,1788880193.626111,0
1788880193.676669,1788880193.676669,0
1788880193.724832,1788880193.724832,0
1788880193.7749615,1788880193.7749615,0
1788880193.8253148,1788880193.8253148,0
1788880193.8759837,1788880193.8759837,0
1788880193.9260194,1788880193.9260194,0
1788880193.9765363,1788880193.9765363,0
1788880194.0250576,1788880194.0250576,0
1788880194.076208,1788880194.076208,0
1788880194.1268258,1788880194.1268258,0
1788880194.1763625,1788880194.1763625,0
1788880194.2274039,1788880194.2274039,0
1788880194.2768424,1788880194.2768424,0
1788880194.3258977,1788880194.3258977,0
1788880194.3771136,1788880194.3771136,0
1788880194.427147,1788880194.427147,0
1788880194.476234,1788880194.476234,0
1788880194.5259614,1788880194.5259614,0
1788880194.5749042,1788880194.5749042,0
1788880194.624884,1788880194.624884,0
1788880194.6758213,1788880194.6758213,0
1788880194.7248766,1788880194.7248766,0
1788880194.7751386,1788880194.7751386,0
1788880194.8271072,1788880194.8271072,0
1788880194.875829,1788880194.875829,0
1788880194.926784,1788880194.926784,0
1788880194.9752996,1788880194.9752996,0
1788880195.0272346,1788880195.0272346,0
1788880195.0787547,1788880195.0787547,0
1788880195.1269567,1788880195.1269567,0
1788880195.17543,1788880195.17543,0
1788880195.2258682,1788880195.2258682,0
1788880195.2749708,1788880195.2749708,0
1788880195.324754,1788880195.324754,0
1788880195.375073,1788880195.375073,0
1788880195.4257174,1788880195.4257174,0
1788880195.4759881,1788880195.4759881,0
1788880195.52614,1788880195.52614,0
1788880195.5764742,1788880195.5764742,0
1788880195.6259944,1788880195.6259944,0
1788880195.6759021,1788880195.6759021,0
1788880195.7266972,1788880195.7266972,0
1788880195.7758994,1788880195.7758994,0
1788880195.825763,1788880195.825763,0
1788880195.8758283,1788880195.8758283,0
1788880195.9246182,1788880195.9246182,0
1788880195.9748743,1788880195.9748743,0
1788880196.025601,1788880196.025601,0
1788880196.0748446,1788880196.0748446,0
1788880196.1247,1788880196.1247,0
1788880196.1757555,1788880196.1757555,0
1788880196.2252612,1788880196.2252612,0
1788880196.2769191,1788880196.2769191,0
