bag_time,time,x,y,yaw,vx,vy,wz
1788879130.5508962,1788879130.5031426,-0.1853,-9.2135,-1.9694778373706048,0.4508,-0.0163,-0.101
1788879130.599824,1788879130.5531137,-0.1941,-9.2343,-1.9743605639052244,0.4509,-0.0155,-0.0962
1788879130.6522224,1788879130.6029508,-0.203,-9.255,-1.9793000299282852,0.4508,-0.016,-0.0989
1788879130.7017589,1788879130.6534605,-0.2121,-9.2756,-1.9841778261708194,0.4509,-0.0157,-0.0975
1788879130.7504997,1788879130.702876,-0.2212,-9.2963,-1.9892268648117786,0.4508,-0.0165,-0.1024
1788879130.8030345,1788879130.752432,-0.2305,-9.3168,-1.9946116951127684,0.4507,-0.0176,-0.1087
1788879130.8516572,1788879130.8039722,-0.2398,-9.3373,-2.0001027762407406,0.4507,-0.0176,-0.1087
1788879130.9017818,1788879130.8530598,-0.249,-9.3571,-2.005595652013206,0.4285,-0.0174,-0.1073
1788879130.952621,1788879130.9030385,-0.258,-9.3764,-2.0112578199537934,0.4257,-0.0181,-0.112
1788879131.0037663,1788879130.9538162,-0.2672,-9.3956,-2.016917532437104,0.4254,-0.0188,-0.1165
1788879131.0529752,1788879131.004834,-0.2765,-9.4148,-2.022580021114868,0.4254,-0.0185,-0.1145
1788879131.1045754,1788879131.0541863,-0.2858,-9.4339,-2.028515443116671,0.4253,-0.019,-0.1178
1788879131.15518,1788879131.1063256,-0.2953,-9.4529,-2.034623262149493,0.4253,-0.0198,-0.1224
1788879131.2053883,1788879131.1567492,-0.3055,-9.473,-2.041451994522971,0.4252,-0.0206,-0.1277
1788879131.2544484,1788879131.2067103,-0.3147,-9.4908,-2.0477279456041533,0.4251,-0.0214,-0.1323
1788879131.3040357,1788879131.2555618,-0.3251,-9.5108,-2.0552755772464875,0.4241,-0.0234,-0.1451
1788879131.3546596,1788879131.3053901,-0.3347,-9.5288,-2.0624436044405745,0.4022,-0.0231,-0.1433
1788879131.403238,1788879131.3561716,-0.3437,-9.5454,-2.0691692232788808,0.3998,-0.0233,-0.1439
1788879131.45256,1788879131.404294,-0.3534,-9.5629,-2.0764403176154844,0.3995,-0.0236,-0.1463
1788879131.5016108,1788879131.4536464,-0.3632,-9.5803,-2.0841596162550546,0.3993,-0.0249,-0.1543
1788879131.5543373,1788879131.5028257,-0.3731,-9.5976,-2.0921212584099873,0.3992,-0.0255,-0.158
1788879131.60396,1788879131.5555134,-0.3831,-9.6149,-2.1000106192395793,0.3991,-0.0259,-0.1605
1788879131.6548128,1788879131.605612,-0.3939,-9.6331,-2.1083487555497173,0.3993,-0.0253,-0.1574
1788879131.7034597,1788879131.6565795,-0.4043,-9.6502,-2.116312766902097,0.3992,-0.0257,-0.1593
1788879131.754317,1788879131.7049723,-0.4141,-9.6661,-2.123930988514393,0.3992,-0.0259,-0.1605
1788879131.8013425,1788879131.754597,-0.4247,-9.6831,-2.132166336289941,0.3989,-0.0272,-0.1686
1788879131.852738,1788879131.802507,-0.435,-9.6992,-2.1417468681793363,0.3756,-0.0303,-0.1872
1788879131.9028156,1788879131.8538187,-0.4444,-9.7135,-2.1528464895181734,0.3253,-0.0371,-0.2285
1788879131.9525585,1788879131.9041004,-0.4533,-9.7268,-2.164754461696739,0.3199,-0.0387,-0.2388
1788879132.0036876,1788879131.953725,-0.462,-9.7393,-2.1764710750595437,0.2965,-0.0373,-0.2301
1788879132.0545728,1788879132.0048296,-0.471,-9.752,-2.1880131464969566,0.3175,-0.0379,-0.2346
1788879132.1039312,1788879132.0556853,-0.4803,-9.765,-2.199014282840258,0.3204,-0.0354,-0.2192
1788879132.153777,1788879132.1051922,-0.4904,-9.7785,-2.2095693013126723,0.3439,-0.0347,-0.2152
1788879132.202941,1788879132.1549027,-0.5008,-9.7923,-2.2195874382790204,0.3469,-0.0325,-0.2012
1788879132.253545,1788879132.2040675,-0.5119,-9.8067,-2.22960469978044,0.3699,-0.0326,-0.2023
1788879132.3032165,1788879132.2545981,-0.5234,-9.8213,-2.2391777267836153,0.3727,-0.031,-0.1923
1788879132.3525162,1788879132.3042498,-0.5351,-9.8359,-2.2487489656418287,0.3731,-0.0305,-0.1889
1788879132.4036605,1788879132.3536425,-0.5469,-9.8503,-2.2583210245524996,0.3729,-0.0312,-0.1936
1788879132.453766,1788879132.404772,-0.5588,-9.8646,-2.2678044937649617,0.3731,-0.0304,-0.1884
1788879132.503659,1788879132.4549344,-0.5709,-9.8788,-2.2774738395025014,0.3728,-0.0314,-0.1948
1788879132.5528395,1788879132.5052497,-0.5831,-9.8929,-2.287405835917815,0.3727,-0.0319,-0.1977
1788879132.6025996,1788879132.5540948,-0.5955,-9.9069,-2.297256561802628,0.3727,-0.032,-0.1983
1788879132.6534464,1788879132.6039941,-0.6074,-9.9201,-2.307289443466293,0.3499,-0.0315,-0.195
1788879132.7034633,1788879132.655051,-0.6192,-9.9329,-2.3171380392903416,0.3474,-0.0321,-0.1988
1788879132.7555075,1788879132.7046945,-0.6311,-9.9456,-2.3276205198083346,0.3467,-0.0338,-0.2095
1788879132.804437,1788879132.7569854,-0.6441,-9.9591,-2.3391766416338062,0.3465,-0.0345,-0.2139
1788879132.8534381,1788879132.8055549,-0.656,-9.9712,-2.350023628820481,0.3454,-0.0355,-0.2205
1788879132.9035478,1788879132.8550143,-0.667,-9.9821,-2.360348750455269,0.3234,-0.0351,-0.2167
1788879132.9535546,1788879132.9047601,-0.6785,-9.9933,-2.3718273264772605,0.3203,-0.0373,-0.2306
1788879133.0026248,1788879132.9547482,-0.6901,-10.0043,-2.383679457124799,0.3196,-0.0385,-0.2385
1788879133.0539823,1788879133.0038693,-0.7013,-10.0146,-2.3955262861312043,0.2968,-0.0371,-0.2291
1788879133.1048024,1788879133.0553057,-0.7122,-10.0245,-2.4073023977233765,0.2942,-0.0382,-0.2366
1788879133.154112,1788879133.1060426,-0.7232,-10.0343,-2.419523873644958,0.2935,-0.0395,-0.2444
1788879133.2048285,1788879133.155487,-0.7337,-10.0433,-2.431929802881331,0.27,-0.0392,-0.242
1788879133.2535183,1788879133.2060301,-0.744,-10.0519,-2.4442682691531488,0.2676,-0.0399,-0.2473
1788879133.3027484,1788879133.2552,-0.7543,-10.0604,-2.4570519887211915,0.2668,-0.0415,-0.257
1788879133.354609,1788879133.3040445,-0.7648,-10.0687,-2.4702109635386416,0.2663,-0.0425,-0.263
1788879133.4050746,1788879133.3557804,-0.7754,-10.077,-2.4837457894026023,0.243,-0.0402,-0.2499
1788879133.4549503,1788879133.4063132,-0.7843,-10.0836,-2.4959564030783463,0.2402,-0.0426,-0.2637
1788879133.505269,1788879133.4563022,-0.7933,-10.0903,-2.508412449620696,0.2175,-0.0392,-0.2424
1788879133.5557818,1788879133.5067723,-0.803,-10.0971,-2.522457133366472,0.2142,-0.0416,-0.2591
1788879133.604952,1788879133.5576344,-0.8116,-10.1031,-2.5351073657467853,0.214,-0.0418,-0.2591
1788879133.6563072,1788879133.6067777,-0.8203,-10.109,-2.550555490073436,0.2045,-0.0558,-0.3495
1788879133.7056355,1788879133.6578324,-0.829,-10.1146,-2.5685283699315216,0.2038,-0.0561,-0.3485
1788879133.755475,1788879133.707472,-0.8377,-10.12,-2.5858089730133016,0.2038,-0.0561,-0.3484
1788879133.8053305,1788879133.7568073,-0.8463,-10.1251,-2.602841661365835,0.2038,-0.056,-0.3484
1788879133.8533306,1788879133.8066254,-0.8549,-10.1301,-2.620070279536224,0.2039,-0.056,-0.3484
1788879133.9031546,1788879133.8548484,-0.8633,-10.1347,-2.6363681906935144,0.2039,-0.056,-0.3484
1788879133.9526062,1788879133.9043524,-0.8723,-10.1395,-2.653931994477451,0.2039,-0.056,-0.3485
1788879134.0029373,1788879133.9541345,-0.8814,-10.1442,-2.671248644508244,0.2039,-0.056,-0.3485
1788879134.0530345,1788879134.0040948,-0.8906,-10.1486,-2.6886699012499227,0.2039,-0.056,-0.3485
1788879134.1040077,1788879134.0556557,-0.8998,-10.1529,-2.7061339082603633,0.2039,-0.056,-0.3485
1788879134.1538203,1788879134.1051166,-0.9091,-10.1571,-2.7235138829092813,0.2039,-0.056,-0.3485
1788879134.2055838,1788879134.155636,-0.9193,-10.1614,-2.742303210125482,0.2039,-0.056,-0.3485
1788879134.254567,1788879134.2073593,-0.9288,-10.1652,-2.75983920550554,0.2039,-0.056,-0.3485
1788879134.3044937,1788879134.255874,-0.9383,-10.1688,-2.7773381762964404,0.2039,-0.056,-0.3485
1788879134.3534696,1788879134.3055413,-0.9471,-10.172,-2.7932224667989134,0.2039,-0.056,-0.3485
1788879134.4034917,1788879134.354742,-0.9567,-10.1753,-2.8106512928292635,0.2039,-0.056,-0.3485
1788879134.4536219,1788879134.404553,-0.9664,-10.1785,-2.8280809555011546,0.2039,-0.056,-0.3485
1788879134.5031002,1788879134.4550486,-0.9762,-10.1814,-2.845674908990793,0.2039,-0.056,-0.3485
1788879134.5524898,1788879134.5042505,-0.986,-10.1842,-2.863073705368149,0.2039,-0.056,-0.3485
1788879134.6049356,1788879134.5538006,-0.9959,-10.1869,-2.880443185955769,0.204,-0.056,-0.3485
1788879134.6555786,1788879134.6061485,-1.0066,-10.1895,-2.899371586330501,0.204,-0.056,-0.3485
1788879134.7036328,1788879134.656851,-1.0163,-10.1918,-2.9162938304524273,0.204,-0.056,-0.3485
1788879134.756087,1788879134.7055607,-1.0257,-10.1938,-2.9327927714666853,0.204,-0.056,-0.3485
1788879134.807503,1788879134.7581508,-1.0365,-10.1958,-2.951503253582252,0.204,-0.056,-0.3485
1788879134.881312,1788879134.8274727,-1.0508,-10.1983,-2.97640283266751,0.204,-0.056,-0.3485
1788879134.9329982,1788879134.8828804,-1.0619,-10.1999,-2.9954578672785876,0.204,-0.056,-0.3485
1788879135.002506,1788879134.9527483,-1.076,-10.2017,-3.019913431508379,0.204,-0.056,-0.3485
1788879135.0532165,1788879135.0039039,-1.0862,-10.2028,-3.0373427360974943,0.204,-0.056,-0.3485
1788879135.1046507,1788879135.0535884,-1.0963,-10.2037,-3.0547648804419403,0.204,-0.056,-0.3485
1788879135.1566675,1788879135.1064396,-1.1073,-10.2044,-3.0735859218327555,0.204,-0.056,-0.3485
1788879135.2070997,1788879135.1576486,-1.1177,-10.205,-3.0913958684699505,0.204,-0.056,-0.3485
1788879135.2780623,1788879135.2278123,-1.132,-10.2054,-3.115801374495453,0.204,-0.056,-0.3485
1788879135.3290105,1788879135.279265,-1.1422,-10.2055,-3.1332054258415587,0.204,-0.056,-0.3485
1788879135.378689,1788879135.3301024,-1.1524,-10.2054,3.1325802601553887,0.204,-0.056,-0.3485
1788879135.4277215,1788879135.3799,-1.1626,-10.2051,3.1151762390288127,0.204,-0.056,-0.3485
1788879135.4786186,1788879135.4289532,-1.1728,-10.2047,3.0975683204674156,0.204,-0.056,-0.3485
1788879135.5285473,1788879135.4802008,-1.183,-10.204,3.0809632062139993,0.2057,-0.0539,-0.3354
1788879135.5785418,1788879135.529755,-1.1934,-10.2032,3.064751943351349,0.2075,-0.0515,-0.3206
1788879135.62947,1788879135.5801284,-1.2045,-10.2022,3.049137712342217,0.2111,-0.0462,-0.2842
1788879135.6793172,1788879135.6306622,-1.2144,-10.2011,3.0359256189787183,0.2122,-0.0449,-0.2793
1788879135.7278564,1788879135.6804564,-1.225,-10.1999,3.022699834880296,0.2138,-0.0423,-0.2629
1788879135.7786534,1788879135.7290063,-1.2357,-10.1985,3.010472069418376,0.2154,-0.0395,-0.2458
1788879135.827589,1788879135.779824,-1.2471,-10.1968,2.9978426692263653,0.2385,-0.0419,-0.2609
1788879135.8772762,1788879135.8287253,-1.259,-10.1949,2.98500209173598,0.241,-0.0408,-0.2537
1788879135.9283583,1788879135.8784733,-1.2709,-10.1929,2.972759637632046,0.2419,-0.0394,-0.2445
1788879135.97743,1788879135.9297051,-1.2836,-10.1906,2.9609164112083306,0.2657,-0.0394,-0.2451
1788879136.0273173,1788879135.978601,-1.2968,-10.1881,2.9486561477174207,0.2679,-0.0392,-0.2432
1788879136.0780542,1788879136.0286694,-1.3107,-10.1852,2.9361943566247883,0.2909,-0.0411,-0.2559
1788879136.127616,1788879136.0793104,-1.325,-10.182,2.923934311208717,0.2936,-0.0398,-0.2471
1788879136.1778424,1788879136.1289008,-1.3393,-10.1787,2.91185164217172,0.2943,-0.0383,-0.2379
1788879136.228493,1788879136.179305,-1.3536,-10.1752,2.8999677924388223,0.2942,-0.0385,-0.2389
1788879136.2784343,1788879136.2296848,-1.3679,-10.1715,2.8882827826773734,0.2945,-0.0376,-0.2333
1788879136.3286688,1788879136.2797134,-1.3828,-10.1675,2.8763713769595127,0.3173,-0.0389,-0.2421
