time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
47.644505,0.089231,-0.206701,-0.452019,14.159189,-4.777575,-0.511353,14.793803,0.059334,14.152156,-4.773143,-0.507107,14.785745,0.055088,14.162782,-4.773145,-0.507764,14.795852,0.055745
48.649462,-0.183713,-0.145770,0.027949,14.252697,-4.845183,-0.667790,15.182043,0.695739,14.249985,-4.836412,-0.657372,15.176751,0.685321,14.258602,-4.836137,-0.661434,15.184861,0.689383
49.743925,-0.061738,-0.155966,-0.179195,14.349563,-4.899885,-0.447246,15.172026,0.268051,14.354048,-4.902529,-0.452623,15.177113,0.273427,14.363447,-4.897140,-0.437269,15.184357,0.258074
50.764438,0.048968,-0.188543,-0.376553,14.462023,-4.953195,-0.470935,15.180186,0.094382,14.455249,-4.950439,-0.470095,15.172890,0.093541,14.467202,-4.946017,-0.466064,15.182853,0.089511
51.778201,0.150557,-0.241920,-0.572775,14.563755,-5.007162,-0.602205,15.180507,0.029430,14.555298,-5.006920,-0.596556,15.172402,0.023781,14.566967,-5.004093,-0.598780,15.182594,0.026005
52.782847,-0.113039,-0.148331,-0.083961,14.651676,-5.078271,-0.538211,15.566025,0.454250,14.650968,-5.073722,-0.541276,15.563913,0.457315,14.660846,-5.071830,-0.531792,15.572686,0.447831
53.786050,-0.003364,-0.169157,-0.274698,14.757425,-5.124431,-0.461670,15.570345,0.186972,14.749397,-5.124260,-0.465735,15.562679,0.191037,14.760046,-5.122901,-0.457845,15.572342,0.183147
54.883539,0.111740,-0.216498,-0.487513,14.856689,-5.181539,-0.536308,15.558443,0.048795,14.859914,-5.183251,-0.545005,15.562046,0.057492,14.869948,-5.181608,-0.543394,15.571032,0.055881
55.982824,-0.153394,-0.145890,-0.020123,14.966010,-5.242827,-0.657287,15.955411,0.637164,14.960830,-5.247000,-0.650707,15.951836,0.630584,14.970171,-5.253333,-0.658045,15.962712,0.637922
57.021348,-0.036507,-0.160454,-0.214894,15.062322,-5.294763,-0.446388,15.947908,0.231494,15.064126,-5.301770,-0.443947,15.951873,0.229052,15.074371,-5.313150,-0.437917,15.965241,0.223022
58.024097,0.078485,-0.187811,-0.177351,15.176336,-5.356423,-0.287553,15.958060,0.110203,15.168466,-5.347110,-0.295369,15.947599,0.118018,15.180352,-5.356356,-0.283088,15.961838,0.105738
59.101087,0.205238,-0.197474,-0.010314,15.293281,-5.372537,-0.078899,15.950872,0.068585,15.299270,-5.370388,-0.071014,15.955841,0.060700,15.308857,-5.376679,-0.059983,15.966950,0.049668
60.116849,0.331651,-0.191932,0.083739,15.422443,-5.364399,0.050841,15.952631,0.032898,15.425489,-5.373058,0.050001,15.958321,0.033739,15.437254,-5.376331,0.059347,15.970512,0.024393
61.119881,0.450984,-0.177026,0.155928,15.542939,-5.352813,0.135105,15.954807,0.020823,15.549308,-5.354427,0.138533,15.961356,0.017395,15.557164,-5.364086,0.141200,15.971921,0.014727
62.171988,0.579372,-0.151798,0.224190,15.686693,-5.326952,0.217377,15.969137,0.006813,15.680257,-5.329367,0.213243,15.963832,0.010947,15.685827,-5.340850,0.214662,15.972828,0.009528
63.222818,0.705673,-0.118433,0.286421,15.803983,-5.293132,0.278172,15.960466,0.008249,15.809181,-5.293435,0.280641,15.965482,0.005780,15.812485,-5.308870,0.279041,15.973615,0.007380
64.225507,0.824638,-0.079407,0.341907,15.903626,-5.312528,0.317158,15.961249,0.024749,15.913927,-5.295182,0.321438,15.965305,0.020469,15.931619,-5.271011,0.335408,15.974155,0.006499
65.275874,0.943892,-0.032962,0.395499,16.030543,-5.252475,0.378057,15.964033,0.017442,16.031633,-5.258409,0.377553,15.967005,0.017946,16.051180,-5.225595,0.389910,15.974780,0.005589
66.340717,1.063028,0.020836,0.447368,16.168971,-5.188097,0.438190,15.978814,0.009178,16.157235,-5.198254,0.434120,15.971036,0.013248,16.170424,-5.172883,0.442116,15.975234,0.005252
67.392732,1.177797,0.079721,0.495943,16.277198,-5.142677,0.484002,15.977026,0.011941,16.274181,-5.136866,0.484540,15.972276,0.011403,16.285170,-5.115066,0.490960,15.975561,0.004984
68.413549,1.287976,0.142945,0.541871,16.379273,-5.100141,0.523093,15.976144,0.018779,16.386789,-5.080605,0.529112,15.976847,0.012760,16.395425,-5.052779,0.537375,15.975937,0.004496
69.430207,1.393396,0.209891,0.585601,16.475750,-5.004996,0.576234,15.958460,0.009367,16.490696,-4.999892,0.579596,15.970921,0.006005,16.500831,-4.986784,0.581558,15.976234,0.004043
70.452712,1.497951,0.282888,0.628579,16.596580,-4.920648,0.627258,15.970140,0.001321,16.591759,-4.926152,0.623944,15.967376,0.004634,16.606276,-4.914186,0.624622,15.977204,0.003957
71.480260,1.591887,0.354252,0.667172,16.685298,-4.854522,0.662553,15.966915,0.004619,16.685872,-4.854367,0.663990,15.967406,0.003182,16.701353,-4.842776,0.664356,15.978268,0.002816
