stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158629.226609,3.711870,7.444891,-0.635883,-0.166325,7.591681,-0.738355,-0.196024,0.179019,0.029700,7.702127,-0.749256,-0.185704,0.281112,0.019380,7.782344,-0.715904,-0.166325,0.346811,0.000000,4.142691
1788158629.332813,3.818074,7.611311,-0.656353,-0.067292,7.634689,-0.748140,-0.098413,0.094718,0.031122,7.702127,-0.749256,-0.185704,0.129918,0.118413,7.782344,-0.715904,-0.166325,0.181104,0.099033,1.574968
1788158629.400101,3.885362,7.824179,-0.652247,0.117206,7.632258,-0.749530,0.085897,0.215169,0.031309,7.757864,-0.756894,-0.086671,0.123890,0.203877,7.838219,-0.722460,-0.067292,0.071603,0.184497,3.235445
1788158629.501060,3.986321,7.922304,-0.637166,0.180719,7.633702,-0.750167,0.149265,0.309936,0.031454,7.731116,-0.758867,0.156599,0.226637,0.024121,7.838219,-0.722460,0.180719,0.119773,0.000000,0.967820
1788158629.555762,4.041023,8.026808,-0.613907,0.243451,7.643625,-0.748961,0.213054,0.406287,0.030397,7.731116,-0.758867,0.156599,0.329314,0.086852,7.838219,-0.722460,0.180719,0.217600,0.062732,1.957628
1788158629.663386,4.148647,8.068628,-0.603063,0.249265,7.643625,-0.748961,0.213054,0.449348,0.036211,7.730797,-0.755817,0.222869,0.370761,0.026395,7.851535,-0.719160,0.249265,0.246187,0.000000,0.403892
1788158629.763594,4.248855,8.122862,-0.588879,0.252911,7.723003,-0.731661,0.223856,0.424587,0.029055,7.730797,-0.755817,0.222869,0.426125,0.030042,7.851535,-0.719160,0.249265,0.300984,0.003646,0.555749
1788158629.845848,4.331109,8.195079,-0.570203,0.251203,7.811014,-0.711901,0.223869,0.409371,0.027334,7.858246,-0.723005,0.224517,0.369872,0.026685,7.986709,-0.684406,0.251203,0.237614,0.000000,0.906826
1788158629.956753,4.442014,8.280413,-0.548268,0.249991,7.948741,-0.681828,0.223709,0.357554,0.026282,7.858246,-0.723005,0.224517,0.456900,0.025474,7.986709,-0.684406,0.251203,0.323722,0.001211,0.799649
1788158630.023311,4.508572,8.437986,-0.508456,0.243652,8.173853,-0.632795,0.217579,0.291936,0.026074,7.986924,-0.692035,0.223514,0.486989,0.020138,8.336523,-0.595741,0.243652,0.133841,0.000000,2.480107
1788158630.115312,4.600573,8.564186,-0.477403,0.235949,8.342703,-0.597958,0.209577,0.252167,0.026372,8.370924,-0.604530,0.209994,0.231325,0.025956,8.503991,-0.554794,0.235949,0.098045,0.000000,1.386383
1788158630.196504,4.681765,8.818698,-0.423043,0.179941,8.641817,-0.544833,0.153501,0.214755,0.026440,8.370924,-0.604530,0.209994,0.483155,0.030053,8.503991,-0.554794,0.235949,0.341173,0.056009,3.229899
1788158630.295567,4.780828,9.042606,-0.390926,0.083945,8.878041,-0.521398,0.058747,0.210011,0.025199,8.908477,-0.522591,0.058430,0.187953,0.025515,9.044044,-0.459624,0.083945,0.068713,0.000000,2.268409
1788158630.401331,4.886592,9.335325,-0.387643,-0.069254,9.179371,-0.528334,-0.093054,0.210037,0.023800,8.908477,-0.522591,0.058430,0.447672,0.127684,9.044044,-0.459624,0.083945,0.300044,0.153199,2.768066
1788158630.516462,5.001723,9.659007,-0.441237,-0.260638,9.497703,-0.591207,-0.281253,0.220250,0.020616,9.534261,-0.590146,-0.285370,0.194256,0.024732,9.677106,-0.511737,-0.260638,0.072786,0.000000,2.850303
1788158630.614921,5.100182,9.882960,-0.517158,-0.399371,9.685817,-0.662539,-0.417292,0.244951,0.017922,9.721983,-0.660479,-0.423515,0.215533,0.024145,9.869504,-0.577639,-0.399371,0.061960,0.000000,2.401602
1788158630.730616,5.215877,10.063243,-0.613078,-0.581336,9.728000,-0.689182,-0.593835,0.343773,0.012498,9.756327,-0.681391,-0.604501,0.314427,0.023164,9.906684,-0.597487,-0.581336,0.157334,0.000000,1.774653
1788158630.830173,5.315434,10.155102,-0.679998,-0.667724,9.735706,-0.697233,-0.671404,0.419749,0.003680,9.756327,-0.681391,-0.604501,0.398777,0.063223,9.906684,-0.597487,-0.581336,0.261763,0.086388,1.134507
1788158630.931484,5.416745,10.200249,-0.717781,-0.704944,9.746592,-0.707554,-0.700773,0.453772,0.004171,9.754216,-0.683577,-0.723936,0.447342,0.018992,9.906684,-0.597487,-0.704944,0.317256,0.000000,0.582424
1788158630.986629,5.471890,10.204143,-0.721176,-0.707188,9.746592,-0.707554,-0.700773,0.457753,0.006414,9.754216,-0.683577,-0.723936,0.451495,0.016748,9.906684,-0.597487,-0.704944,0.322151,0.002244,0.095634
