time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
60.970918,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
61.984267,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
63.074765,0.457915,-0.023779,0.008571,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008530,0.001700,0.000042,0.456422,-0.024591,0.008571,0.001700,0.000000
64.088315,0.457914,-0.023679,0.008571,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008571,0.001749,0.000000
65.104252,0.457914,-0.023679,0.008571,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008571,0.001749,0.000000
66.137997,0.457914,-0.023679,0.008571,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008571,0.001749,0.000000
67.209379,0.457914,-0.023679,0.008571,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008571,0.001749,0.000000
68.224742,0.457914,-0.023679,0.008571,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008530,0.001749,0.000042,0.456422,-0.024591,0.008571,0.001749,0.000000
69.232976,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
70.281043,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
71.345950,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
72.413822,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
73.483304,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
74.578975,0.457913,-0.023579,0.008571,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008530,0.001803,0.000042,0.456422,-0.024591,0.008571,0.001803,0.000000
75.579862,0.457912,-0.023479,0.008571,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008571,0.001860,0.000000
76.686073,0.457912,-0.023479,0.008571,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008571,0.001860,0.000000
77.717430,0.457912,-0.023479,0.008571,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008571,0.001860,0.000000
78.803260,0.457912,-0.023479,0.008571,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008571,0.001860,0.000000
79.817007,0.457912,-0.023479,0.008571,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008530,0.001860,0.000042,0.456422,-0.024591,0.008571,0.001860,0.000000
80.845284,0.457911,-0.023379,0.008571,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008571,0.001921,0.000000
81.888519,0.457911,-0.023379,0.008571,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008571,0.001921,0.000000
82.905672,0.457911,-0.023379,0.008571,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008571,0.001921,0.000000
83.941164,0.457911,-0.023379,0.008571,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008530,0.001921,0.000042,0.456422,-0.024591,0.008571,0.001921,0.000000
84.973946,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
85.974093,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
87.029409,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
88.092226,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
89.162848,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
90.180069,0.457911,-0.023279,0.008571,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008530,0.001985,0.000042,0.456422,-0.024591,0.008571,0.001985,0.000000
91.280605,0.457910,-0.023179,0.008571,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008571,0.002052,0.000000
92.364771,0.457910,-0.023179,0.008571,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008571,0.002052,0.000000
93.382163,0.457910,-0.023179,0.008571,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008530,0.002052,0.000042,0.456422,-0.024591,0.008571,0.002052,0.000000
