time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
63.346849,9.516295,-3.304847,3.023115,9.076593,-3.560912,2.969604,0.508829,0.053511,9.092595,-3.572257,2.959806,0.501029,0.063309,10.546435,-2.749379,3.038402,1.170356,0.015287
64.379754,9.369784,-3.279565,2.930645,8.940737,-3.526104,2.875218,0.494837,0.055427,8.943864,-3.533233,2.871157,0.495737,0.059488,10.400469,-2.726573,2.940483,1.169663,0.009837
65.414369,9.255394,-3.251132,2.872838,8.826238,-3.489119,2.820709,0.490727,0.052129,8.833186,-3.496261,2.818177,0.488209,0.054661,10.289025,-2.700206,2.880815,1.171287,0.007977
66.424643,9.135758,-3.214451,2.822815,8.716323,-3.448521,2.778411,0.480327,0.044404,8.712381,-3.450244,2.773091,0.484610,0.049724,10.166534,-2.663832,2.828395,1.168623,0.005579
67.512653,9.006031,-3.168063,2.779127,8.580454,-3.393023,2.739017,0.481375,0.040110,8.585331,-3.396869,2.735858,0.478895,0.043269,10.035323,-2.617791,2.783254,1.167151,0.004127
68.525258,8.856081,-3.107668,2.742274,8.438241,-3.330222,2.713409,0.473414,0.028865,8.441883,-3.332184,2.709197,0.471134,0.033077,9.888897,-2.559718,2.750290,1.169169,0.008016
69.567236,7.326258,-2.391655,2.753667,6.896890,-2.573108,2.724417,0.466135,0.029250,6.900176,-2.562577,2.716872,0.459086,0.036795,8.323653,-1.841037,2.749354,1.139289,0.004314
70.601323,5.409793,-2.055633,-2.948459,5.092933,-2.211244,-3.030700,0.353008,0.082241,5.090457,-2.184895,-3.038145,0.344506,0.089685,6.508368,-1.488239,-3.017956,1.236448,0.069497
71.650406,3.641046,-2.655555,-2.837589,3.337393,-2.786096,-2.841491,0.330524,0.003903,3.321420,-2.750728,-2.841649,0.333495,0.004060,4.739638,-2.042771,-2.833563,1.257938,0.004026
72.737227,1.128152,-3.207342,-2.967485,1.326493,-3.226376,-2.971751,0.199252,0.004266,1.316016,-3.209664,-2.970890,0.187878,0.003405,2.722792,-2.487157,-2.964586,1.749727,0.002899
73.777521,-0.585415,-3.315019,2.999182,-0.403401,-3.359706,3.025727,0.187419,0.026545,-0.400106,-3.346600,3.019897,0.187980,0.020715,1.004182,-2.614368,3.019566,1.737161,0.020384
74.814103,-1.368859,-2.973117,2.459503,-1.215180,-3.065456,2.526756,0.179286,0.067253,-1.207340,-3.056478,2.524190,0.181762,0.064686,0.202959,-2.308013,2.515887,1.706744,0.056384
75.843242,-1.914249,-2.196292,1.877977,-1.829035,-2.310457,1.942989,0.142460,0.065012,-1.823583,-2.307790,1.945908,0.143708,0.067930,-0.401091,-1.548664,1.936664,1.645925,0.058687
76.859273,-1.945161,-1.407762,1.315102,-1.906949,-1.498919,1.367829,0.098842,0.052727,-1.909249,-1.499168,1.372152,0.098207,0.057050,-0.481652,-0.739162,1.368007,1.609001,0.052905
77.894085,-0.687431,-0.307120,0.263598,-0.712841,-0.295229,0.339280,0.028055,0.075682,-0.747201,-0.283084,0.363697,0.064421,0.100099,0.694799,0.477581,0.352320,1.589439,0.088722
78.939944,0.243216,-0.183269,0.013279,0.214988,-0.143755,0.047575,0.048561,0.034297,0.194823,-0.125175,0.056351,0.075609,0.043072,1.610202,0.662927,0.069588,1.607700,0.056309
80.026659,3.595578,-0.247547,-0.069263,3.383695,-0.160497,-0.081471,0.229068,0.012208,3.666305,-0.165124,-0.084193,0.108608,0.014929,5.069959,0.732691,-0.055422,1.770499,0.013842
81.094694,7.256675,-0.332112,0.031864,7.318768,-0.405847,-0.025391,0.096397,0.057255,7.317120,-0.381869,-0.021818,0.078290,0.053682,8.734092,0.683440,0.019362,1.792792,0.012502
82.147308,9.332613,-0.532864,-0.236539,9.395988,-0.713816,-0.280317,0.191729,0.043778,9.416094,-0.691024,-0.272013,0.178840,0.035474,10.849981,0.507779,-0.218275,1.839930,0.018264
83.162597,10.249271,-0.903742,-0.579611,10.267341,-1.159483,-0.651138,0.256379,0.071527,10.319281,-1.141090,-0.634410,0.247458,0.054799,11.805479,0.145038,-0.558731,1.876625,0.020880
84.246245,10.895073,-1.733623,-1.285448,10.830357,-2.023241,-1.310594,0.296760,0.025146,10.878729,-2.011164,-1.306364,0.278022,0.020916,12.484377,-0.647864,-1.208090,1.924775,0.077358
85.267477,10.727670,-2.758117,-2.153357,10.601572,-3.070239,-2.190093,0.336632,0.036735,10.650720,-3.076601,-2.195521,0.327648,0.042164,12.395312,-1.722165,-2.092138,1.963218,0.061219
86.281872,10.309173,-3.146851,-2.622943,10.109632,-3.425563,-2.658314,0.342779,0.035371,10.168315,-3.447609,-2.671983,0.332109,0.049040,11.991104,-2.144574,-2.577168,1.957921,0.045775
87.351153,9.343072,-3.320172,3.035798,9.114953,-3.572502,3.020591,0.340160,0.015207,9.159500,-3.585306,3.008153,0.322482,0.027645,11.033032,-2.374319,3.087232,1.936647,0.051434
88.450583,9.256196,-3.308733,2.989239,9.032277,-3.560906,2.968514,0.337240,0.020726,9.041939,-3.565910,2.953349,0.334733,0.035891,10.935737,-2.365620,3.014444,1.926219,0.025205
89.451142,9.097830,-3.274998,2.888312,8.851192,-3.521767,2.851514,0.348892,0.036799,8.867398,-3.523481,2.847869,0.338885,0.040444,10.771651,-2.334877,2.901867,1.919766,0.013555
90.518239,8.963783,-3.234741,2.818674,8.714200,-3.481468,2.785477,0.350950,0.033197,8.724259,-3.478241,2.780749,0.341560,0.037925,10.636890,-2.296246,2.828522,1.918349,0.009848
91.549779,8.833705,-3.186663,2.764284,8.567209,-3.430565,2.732110,0.361260,0.032174,8.587719,-3.428706,2.730014,0.345100,0.034270,10.507639,-2.250007,2.771387,1.918171,0.007103
92.640074,8.708478,-3.133440,2.721014,8.447787,-3.383745,2.695571,0.361403,0.025443,8.454249,-3.375083,2.690389,0.350748,0.030625,10.381496,-2.197596,2.725991,1.916975,0.004977
93.642882,7.995238,-2.746645,2.623002,7.734499,-3.002201,2.597125,0.365094,0.025877,7.752745,-2.990628,2.594451,0.343993,0.028551,9.678834,-1.829994,2.625264,1.916962,0.002262
94.737847,6.064199,-2.022483,3.008116,5.887968,-2.250089,2.964508,0.287857,0.043607,5.901788,-2.229850,2.963286,0.263397,0.044830,7.822448,-1.100320,2.985607,1.985403,0.022509
95.836617,4.174882,-2.367956,-2.807477,4.004176,-2.504128,-2.847184,0.218364,0.039707,4.005719,-2.481051,-2.850032,0.203485,0.042554,5.937161,-1.364442,-2.835144,2.027972,0.027667
96.838701,1.539400,-3.162272,-2.926979,1.503926,-3.228890,-2.943469,0.075474,0.016490,1.496521,-3.211593,-2.941107,0.065354,0.014128,3.432107,-2.100525,-2.932135,2.170172,0.005156
97.892120,0.733935,-3.290426,-3.045530,0.917733,-3.315867,-3.038112,0.185550,0.007418,0.919363,-3.308144,-3.038037,0.186272,0.007494,2.850612,-2.188557,-3.032960,2.386303,0.012570
98.957816,-0.789261,-3.221701,2.858634,-0.651590,-3.277501,2.884972,0.148549,0.026337,-0.645600,-3.269740,2.881060,0.151480,0.022426,1.288161,-2.145758,2.880867,2.339516,0.022233
99.994743,-1.626527,-2.693709,2.273394,-1.532601,-2.778075,2.319864,0.126253,0.046470,-1.527968,-2.774052,2.320170,0.127157,0.046776,0.411654,-1.641161,2.316018,2.293913,0.042624
101.078145,-1.980475,-1.766562,1.595881,-1.940388,-1.847285,1.638836,0.090129,0.042956,-1.942927,-1.846635,1.642619,0.088439,0.046738,-0.000318,-0.711552,1.641676,2.243673,0.045796
102.153040,-1.684092,-0.939143,0.902476,-1.671109,-0.987937,0.971197,0.050492,0.068721,-1.681982,-0.985738,0.976955,0.046643,0.074479,0.251508,0.150703,0.982613,2.221332,0.080137
