metric,bin,samples,relative_samples,absolute_error_median,absolute_error_p95,absolute_error_max,relative_error_median_pct,relative_error_p95_pct,relative_error_max_pct,reference_median,reference_max
odom_position_endpoint,epoch_13,1,1,0.937040786069781,0.937040786069781,0.937040786069781,15.534495790281513,15.534495790281513,15.534495790281513,6.032000000000001,6.032000000000001
odom_position_endpoint,epoch_14,1,1,0.986145635805225,0.986145635805225,0.986145635805225,13.277667404575473,13.277667404575473,13.277667404575473,7.4271,7.4271
odom_position_endpoint,epoch_15,1,1,0.5353643602167324,0.5353643602167324,0.5353643602167324,6.0827873179727145,6.0827873179727145,6.0827873179727145,8.801299999999998,8.801299999999998
odom_position_endpoint,epoch_16,1,1,1.703057882508702,1.703057882508702,1.703057882508702,15.378608680615317,15.378608680615317,15.378608680615317,11.074200000000003,11.074200000000003
odom_position_endpoint,epoch_17,1,1,1.7990881952968738,1.7990881952968738,1.7990881952968738,12.767549684263964,12.767549684263964,12.767549684263964,14.091100013609145,14.091100013609145
odom_position_endpoint,epoch_18,1,1,1.3945323253002302,1.3945323253002302,1.3945323253002302,8.254992094226195,8.254992094226195,8.254992094226195,16.89320001015641,16.89320001015641
odom_position_endpoint,epoch_19,1,1,0.9049729852127664,0.9049729852127664,0.9049729852127664,3.5811014466098636,3.5811014466098636,3.5811014466098636,25.270800023536918,25.270800023536918
odom_position_endpoint,epoch_20,1,1,0.7685603835286077,0.7685603835286077,0.7685603835286077,2.056299334301506,2.056299334301506,2.056299334301506,37.37590003109523,37.37590003109523
odom_position_endpoint,epoch_21,1,1,4.197285756776891,4.197285756776891,4.197285756776891,8.190145474950892,8.190145474950892,8.190145474950892,51.24800004608048,51.24800004608048
odom_position_endpoint,epoch_22,1,1,0.04335707270702452,0.04335707270702452,0.04335707270702452,0.05124252929583744,0.05124252929583744,0.05124252929583744,84.61150006220814,84.61150006220814
odom_position_endpoint,epoch_23,1,1,2.3192964729392567,2.3192964729392567,2.3192964729392567,1.7253473652181623,1.7253473652181623,1.7253473652181623,134.42490015023682,134.42490015023682
odom_position_endpoint,epoch_24,1,1,20.061759191844747,20.061759191844747,20.061759191844747,6.3637921009516285,6.3637921009516285,6.3637921009516285,315.24850079317883,315.24850079317883
odom_position_endpoint,epoch_25,1,1,0.041109536374552544,0.041109536374552544,0.041109536374552544,0.37680256252969757,0.37680256252969757,0.37680256252969757,10.910100000000002,10.910100000000002
odom_position_endpoint,epoch_26,1,1,0.5620087143007985,0.5620087143007985,0.5620087143007985,4.677909383096679,4.677909383096679,4.677909383096679,12.014100066401035,12.014100066401035
odom_position_endpoint,epoch_27,1,1,0.579914954769131,0.579914954769131,0.579914954769131,4.37886475106702,4.37886475106702,4.37886475106702,13.243500033377835,13.243500033377835
odom_position_endpoint,epoch_28,1,1,0.6000467123469492,0.6000467123469492,0.6000467123469492,3.825023340570058,3.825023340570058,3.825023340570058,15.68740002139495,15.68740002139495
odom_position_endpoint,epoch_29,1,1,1.1511807488125214,1.1511807488125214,1.1511807488125214,6.20041122026525,6.20041122026525,6.20041122026525,18.566200013477083,18.566200013477083
odom_position_endpoint,epoch_30,1,1,1.1733664284740342,1.1733664284740342,1.1733664284740342,5.451736892565282,5.451736892565282,5.451736892565282,21.522800010290183,21.522800010290183
odom_position_endpoint,epoch_31,1,1,2.114876242457504,2.114876242457504,2.114876242457504,7.447350458042585,7.447350458042585,7.447350458042585,28.397700019254426,28.397700019254426
odom_position_endpoint,epoch_32,1,1,0.10795531986516939,0.10795531986516939,0.10795531986516939,0.26094758285725084,0.26094758285725084,0.26094758285725084,41.370500038019294,41.370500038019294
odom_position_endpoint,epoch_33,1,1,2.4002906209195056,2.4002906209195056,2.4002906209195056,4.239874760026018,4.239874760026018,4.239874760026018,56.61230005069245,56.61230005069245
odom_position_endpoint,epoch_34,1,1,1.6951033915280749,1.6951033915280749,1.6951033915280749,1.9337868306941557,1.9337868306941557,1.9337868306941557,87.65720009167698,87.65720009167698
odom_position_endpoint,epoch_35,1,1,0.5674170649133016,0.5674170649133016,0.5674170649133016,0.409957657436444,0.409957657436444,0.409957657436444,138.4087001719851,138.4087001719851
odom_position_endpoint,epoch_36,1,1,10.327192202037295,10.327192202037295,10.327192202037295,3.1513819719267,3.1513819719267,3.1513819719267,327.70360096092793,327.70360096092793
odom_position_endpoint,epoch_37,1,1,0.7993407104261736,0.7993407104261736,0.7993407104261736,4.607655651339916,4.607655651339916,4.607655651339916,17.348100008161932,17.348100008161932
odom_position_endpoint,epoch_38,1,1,1.2513246090076715,1.2513246090076715,1.2513246090076715,6.9879856168451315,6.9879856168451315,6.9879856168451315,17.906800008163263,17.906800008163263
odom_position_endpoint,epoch_39,1,1,0.4602646332226661,0.4602646332226661,0.4602646332226661,2.3512399901343803,2.3512399901343803,2.3512399901343803,19.57540000824674,19.57540000824674
odom_position_endpoint,epoch_40,1,1,0.9845286389070831,0.9845286389070831,0.9845286389070831,4.613838951602221,4.613838951602221,4.613838951602221,21.338600008246747,21.338600008246747
odom_position_endpoint,epoch_41,1,1,1.1178147812366719,1.1178147812366719,1.1178147812366719,4.854449987580996,4.854449987580996,4.854449987580996,23.026600008164596,23.026600008164596
