stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789002844.0279584,0.04996228218078613,1.9180897097466654,1.9814897231285427,1.9814897231285427,0.0,0.7240570001400723,0.06069232532282888,2.0292036260531243,1.992677960784168,2.293526136083262,True,False,False,False,False,False,15.1058,15.3414,1.8166,0.8407,0.3574,0.15765167243796313,2.2278667127994884,0.8685,2.3121,-1.4130890438590815,2.2272,0.0545,3.176718736401273
1789002844.0780716,0.05011320114135742,2.0685764440719936,2.168167356284912,2.168167356284912,0.0,0.8312188155753906,0.0786365458978997,2.225806744547877,2.1857422231460153,2.4427335953794174,True,False,False,False,False,False,17.1708,17.426,1.7378,0.8368,0.3371,0.17416935133954065,2.37605170187856,0.8876,2.198,-1.396571364957504,2.3755,0.0512,2.9570050546377398
1789002844.1282046,0.05013298988342285,2.2553185458982545,2.3773881945862345,2.3773881945862345,0.0,0.9484473517892902,0.10014636630154619,2.442902135739183,2.398929897295878,2.59193796943212,True,False,False,False,False,False,19.3666,19.635,1.7384,0.762,0.2913,0.18876600998032345,2.520687551046341,0.9098,2.077,-1.3819747063167211,2.5203,0.0442,2.885043351775172
1789002844.177939,0.04973435401916504,2.4650549404158166,2.4755345395377653,2.4755345395377653,0.0,1.0692491343982649,0.12392124496101772,2.522794175722287,2.477383880559286,2.764085363349169,True,False,False,False,False,False,21.6901,21.9715,1.7627,0.6177,0.2256,0.1998848325049425,2.6641208118251694,0.9349,1.9493,-1.370855883792102,2.6639,0.0343,2.8839876099236457
1789002844.2277162,0.04977726936340332,2.6012171669534223,2.6169116752270236,2.6169116752270236,0.0,1.1968208150130115,0.1502621226727039,2.667699892397281,2.61968129433413,2.874185382800158,True,False,False,False,False,False,24.1117,24.3997,2.5249,-3.005,0.1224,0.2073503073336389,2.7797649343064963,0.9626,1.8156,-1.3633904089634057,2.7797,0.019,2.3232315464525963
1789002844.2810476,0.05333137512207031,2.7039804782513155,2.7596034065066433,2.7596034065066433,0.0,1.3407869059827509,0.18082005789868066,2.8201825024187688,2.769419217375231,2.8220920547333805,True,False,False,False,False,False,26.661,26.9523,1.6326,0.2084,0.0714,0.2109571104350081,2.911622317540515,0.9923,1.6759,-1.3597836058620365,2.9116,0.0114,2.472416714030159
1789002844.3300729,0.04902529716491699,2.8461820812998866,2.903131865224341,2.903131865224341,0.0,1.4799511286638412,0.21065738808742218,2.9665802719891676,2.9131818270933625,3.21757152168538,True,False,False,False,False,False,29.3346,29.6259,1.766,0.0073,0.0044,0.21145524385487868,3.0478004199750357,1.0237,1.5297,-1.359285472442166,3.0478,0.0016,2.777710902525045
1789002844.3779778,0.04790496826171875,2.9996843287558352,3.0862570999598864,3.0862570999598864,0.0,1.6245090328816978,0.24166967686085694,3.15838558841082,3.1015346478194252,3.4722024882943168,True,False,False,False,False,False,32.1522,32.4468,2.0155,-0.0198,-0.0051,0.21120224550944894,3.2001,1.0566,1.3765,-1.3595384707875957,3.2001,0.0,3.1792021903220533
1789002844.4288242,0.05084633827209473,3.1857837224936847,3.1696607878827003,3.1696607878827003,0.0,1.782180216532055,0.27504875496089154,3.2248630999264982,3.166815564127821,3.421318150169975,True,False,False,False,False,False,35.104,35.392,1.9574,-0.3985,-0.1135,0.20603849476628344,3.34613543808376,1.0908,1.2159,-1.3647022215307612,3.3461,-0.0154,2.872093508529145
1789002844.47845,0.04962587356567383,3.2571512029789833,3.3574289085855766,3.3574289085855766,0.0,1.9453936776374248,0.30854559776930063,3.436990808839977,3.3751249742808573,3.6358221434877454,True,False,False,False,False,False,38.1638,38.4485,1.763,-0.5373,-0.1501,0.19880652603247828,3.4767616225447497,1.1253,1.0484,-1.3719341902645663,3.4767,-0.0207,2.632219345985348
