event_index,source_stamp_ns,status,steering_rate_radps,target_speed_rate_mps2,steering_command_rad,target_speed_mps,iterations,primal_residual,dual_residual,rti_iterations_used,rti2_triggered,rti2_trigger_reason_mask,rti2_budget_skipped,r1_status,r2_status,r1_objective,r2_objective,r1_slack_m,r2_slack_m,selected_candidate,r1_iterations,r2_iterations,r1_steering_rate_radps,r1_target_speed_rate_mps2,r1_next_progress_m,r1_next_e_y_m,r1_next_raw_bound_clearance_m,r1_next_first_step_clearance_m,r2_steering_rate_radps,r2_target_speed_rate_mps2,r2_next_progress_m,r2_next_e_y_m,r2_next_raw_bound_clearance_m,r2_next_first_step_clearance_m,r1_solve_us,r2_solve_us,total_rti_us,rho_start,rho_final,rho_u_start,rho_u_final,rho_change_count,factorization_count,progress_m,e_y_m,e_psi_rad,u_mps,v_mps,r_radps,target_speed_state_mps,steering_state_rad,state_age_s,path_curvature_per_m,raw_left_bound_m,raw_right_bound_m,current_raw_bound_clearance_m,current_inset_corridor_clearance_m,first_prediction_corridor_margin_m,lateral_accel_proxy_mps2,minimum_predicted_corridor_slack_m,candidate_progress_error_max_m,candidate_curvature_error_max_per_m,candidate_left_bound_error_max_m,candidate_right_bound_error_max_m,nonlinear_failure_stage,nonlinear_failure_reason
52810,1789731694045843390,0,-1.108878016,3,-0.2537277341,3.329638958,19,0.009846448898,0.005253434181,2,1,1056,0,0,0,177163.9219,177163.7969,0.2988145649,0.2988164425,R2,22,19,-1.107419848,3,179.3422151,0.3256731927,0.3493268073,0.2993268065,-1.108878016,3,179.3422151,0.3256731927,0.3493268073,0.2993268065,379.1120005,393.4790001,852.9029999,1,1,15.875,15.875,8,10,179.257786,0.330155015,-0.05278894678,3.487489939,0.002101460472,-0.2041999996,3.25463891,-0.2260057777,0.004157111,-0.0663342859,0.6875,1.15,0.357344985,0.3073449843,0.05000000075,5.97149992,0.2988164425,6.912648678e-05,6.161630154e-06,8.201599121e-05,2.288818359e-05,-1,-1
52833,1789731694071225974,0,-0.7638753057,3,-0.2395291775,3.244837761,20,0.009135723114,0.004407510161,2,1,1056,0,0,0,181764.3594,181762.4062,0.2775877118,0.2775919139,R2,22,20,-0.7581044436,3,179.4406951,0.3278909028,0.3596090972,0.3096090965,-0.7638753057,3,179.4406951,0.3278909028,0.3596090972,0.3096090965,420.46,444.3850002,945.8579998,1,1,15.875,15.875,10,12,179.3549676,0.3324378431,-0.05216532946,3.560119629,0.002959131729,-0.2752999961,3.169837713,-0.2204322964,0.003808075,-0.06721368789,0.675,1.1625,0.3425621569,0.2925621562,0.05000000075,5.805102825,0.2775919139,0.0003218650818,2.154707909e-05,7.13467598e-05,0.0002844333649,-1,-1
52857,1789731694096373466,0,-0.7321802378,3,-0.2368406802,3.246867657,19,0.009800195694,0.00630941987,2,1,1056,0,0,0,182805.5938,182805.125,0.2648011446,0.2648014724,R2,20,19,-0.7299596071,3,179.5293607,0.3299278319,0.3450721681,0.2950721674,-0.7321802378,3,179.5293607,0.3299278319,0.3450721681,0.2950721674,462.2779999,436.1690006,980.6429996,1,1,15.875,15.875,10,12,179.4445514,0.334885031,-0.05596992001,3.520199299,0.004484427627,-0.4271999896,3.171867609,-0.2185361683,0.006713184,-0.06806325302,0.6875,1.175,0.352614969,0.3026149683,0.05000000075,5.750158787,0.2648014724,0.0001212581992,8.061528206e-06,2.837181091e-05,8.857250214e-05,-1,-1
52879,1789731694121695937,0,-0.6533111334,3,-0.2236571461,3.252333164,21,0.006547689438,0.009307056665,2,1,1056,0,0,0,183834.3594,183833.3125,0.2540117502,0.2540117502,R1,21,19,-0.6533111334,3,179.6146922,0.3334882259,0.3283873099,0.2783873092,-0.6571104527,3,179.6146922,0.3334882259,0.3283873099,0.2783873092,414.8999996,403.4379997,899.1090002,1,1,15.875,31.75,10,12,179.5307913,0.3390013874,-0.06224696711,3.481214285,0.005181183573,-0.505400002,3.177333117,-0.2073243707,0.005653994,-0.06892151452,0.675,1.166131217,0.3359986126,0.2859986119,0.05000000075,5.556326866,0.2540117502,0.04151323438,0.002144560218,0.01341462135,0.02183437347,-1,-1
52901,1789731694146433008,0,-0.5683111548,3,-0.2211017162,3.255073071,19,0.009687423706,0.00552405417,2,1,1056,0,0,0,185491.0312,185490.9219,0.2510937452,0.2510937452,R1,19,20,-0.5683111548,3,179.6934567,0.3295765221,0.3204234779,0.2704234771,-0.5683531165,3,179.6934567,0.3295765221,0.3204234779,0.2704234771,397.1160002,410.882,888.9700003,1,1,31.75,15.875,10,12,179.6118946,0.3358807862,-0.07186699659,3.37564826,0.006365492009,-0.6639999747,3.180073023,-0.2068939358,0.006351995,-0.06976493491,0.6625,1.175,0.3266192138,0.2766192131,0.05000000075,5.308590889,0.2510937452,0.01380966604,0.001112416387,0.001158058643,0.005234241486,-1,-1
52921,1789731694170834648,0,-0.322438091,3,-0.2007182539,3.303493023,20,0.008401870728,0.004443466663,2,1,1072,0,0,0,184125.9062,184124.9844,0.2443910539,0.2443921566,R2,20,20,-0.3206748962,3,179.7692829,0.3255384862,0.3119615138,0.261961513,-0.322438091,3,179.7692829,0.3255384862,0.3119615138,0.261961513,405.9530001,411.8540001,898.6379995,1,1,15.875,15.875,10,12,179.6886086,0.3327847123,-0.08338691294,3.332070827,0.006756820716,-0.7256000042,3.228492975,-0.1926573068,0.003537628,-0.07059785793,0.65,1.184324543,0.3172152877,0.2672152869,0.05000000075,4.934247494,0.2443921566,0.0001970753074,2.108514309e-06,9.304285049e-05,6.198883057e-05,-1,-1
52944,1789731694196084533,0,-0.2617797852,3,-0.1931842268,3.357942104,19,0.009796619415,0.005997166038,2,1,1072,0,0,0,183182.2188,183182.0938,0.2409228683,0.2409228384,R1,19,20,-0.2617797852,3,179.8460866,0.3188445866,0.3061554134,0.2561554126,-0.2613340318,3,179.8460866,0.3188445866,0.3061554134,0.2561554126,352.6830006,392.2869997,825.7520008,1,1,15.875,15.875,6,8,179.7678033,0.3269286752,-0.09583423287,3.218025684,0.006606730632,-0.7688000202,3.282942057,-0.1866397262,0.004339264,-0.0714940506,0.6375,1.1875,0.3105713248,0.2605713241,0.05000000075,4.616436958,0.2409228683,0.01434204727,0.0008415058255,0.006531834602,0,-1,-1
52964,1789731694220881657,0,-0.08321613073,3,-0.1801795065,3.433260441,19,0.009280443192,0.004930771887,2,1,1072,0,0,0,180649.2656,180649.1094,0.2347377837,0.2347377837,R1,19,20,-0.08321613073,3,179.9197645,0.3152622283,0.2972377717,0.247237771,-0.08252005279,3,179.9197645,0.3152622283,0.2972377717,0.247237771,358.8340006,392.1870003,832.8849993,1,1,15.875,15.875,6,8,179.8425646,0.3244652152,-0.110384874,3.164253712,0.0069860355,-0.8463000059,3.358260393,-0.1780991107,0.003075929,-0.07237547085,0.625,1.225,0.3005347848,0.250534784,0.05000000075,4.320478916,0.2347377837,0.01520522684,0.000703766942,0.001697361469,0.005043029785,-1,-1
52987,1789731694246068864,0,0.1330041587,3,-0.1632641256,3.507165909,18,0.009567975998,0.006017036736,2,1,1072,0,0,0,178310.8594,178310.7344,0.2407928407,0.2407928407,R1,18,19,0.1330041587,3,179.9941482,0.3089095652,0.3032953499,0.2532953492,0.1338724196,3,179.9941482,0.3089095652,0.3032953499,0.2532953492,327.3850002,334.5979996,742.6549997,1,1,15.875,15.875,4,6,179.918099,0.3193460405,-0.1268699765,3.108477354,0.007312232628,-0.9251999855,3.432165861,-0.1665892303,0.003213367,-0.0733006805,0.6125,1.2375,0.2931539595,0.2431539588,0.05000000075,4.005385399,0.2407928407,0.01335042715,0.0006696209311,0.00148075819,0.008049964905,-1,-1
53009,1789731694271203632,0,0.295491159,3,-0.1434842497,3.582616568,18,0.009579181671,0.00564327836,2,1,1072,0,0,0,175567.7031,175567.5938,0.2350845337,0.2350845337,R1,18,19,0.295491159,3,180.0708952,0.3024154305,0.2975845695,0.2475845687,0.2963899076,3,180.0708952,0.3024154305,0.2975845695,0.2475845687,326.5039997,334.6190004,741.2130003,1,1,15.875,15.875,4,6,179.9948803,0.3142643869,-0.1446425468,3.105839729,0.007391500287,-0.9372000098,3.50761652,-0.1508715302,0.003285553,-0.07427883568,0.6117473535,1.238252646,0.2974829667,0.2474829659,0.05000000075,3.668018818,0.2350845337,0.01279176027,0.0005291923881,0.001580655575,0.006120920181,-1,-1
