bag_time,time,x,y,z,yaw,vx,vy,vz,wx,wy,wz
1788893081.3430445,1788893081.2938309,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.3946683,1788893081.3446379,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.4462519,1788893081.395963,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.4968174,1788893081.4469721,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.54811,1788893081.49805,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.599491,1788893081.5494595,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.6678014,1788893081.6189206,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.7190835,1788893081.6691768,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.770627,1788893081.7205572,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.8225381,1788893081.7720892,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.8739703,1788893081.823989,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.9440901,1788893081.8945003,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893081.993817,1788893081.9454834,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893082.0495195,1788893081.9952993,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
1788893082.119406,1788893082.0690339,-5.5101,-5.1322,0.0592,-1.8086998597724708,0.0,0.0,0.0,0.0,0.0,0.0
