scan_index,bag_time,time,finite_count,min_range,max_range,angle_min,angle_max,angle_increment,range_min,range_max,odom_index,odom_dt
4094,1788888875.313676,1788888875.313676,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4094,0.0
4095,1788888875.3633456,1788888875.3633456,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4095,0.0
4096,1788888875.413407,1788888875.413407,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4096,0.0
4097,1788888875.4635568,1788888875.4635568,1081,0.27868080139160156,0.7691503763198853,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4097,0.0
4098,1788888875.513483,1788888875.513483,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4098,0.0
4099,1788888875.5636501,1788888875.5636501,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4099,0.0
4100,1788888875.6132834,1788888875.6132834,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4100,0.0
4101,1788888875.6633248,1788888875.6633248,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4101,0.0
4102,1788888875.7140458,1788888875.7140458,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4102,0.0
4103,1788888875.7634318,1788888875.7634318,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4103,0.0
4104,1788888875.8140743,1788888875.8140743,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4104,0.0
4105,1788888875.863948,1788888875.863948,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4105,0.0
4106,1788888875.9139898,1788888875.9139898,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4106,0.0
4107,1788888875.9636676,1788888875.9636676,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4107,0.0
4108,1788888876.0139291,1788888876.0139291,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4108,0.0
4109,1788888876.0639389,1788888876.0639389,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4109,0.0
4110,1788888876.1135488,1788888876.1135488,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4110,0.0
4111,1788888876.1634328,1788888876.1634328,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4111,0.0
4112,1788888876.2135415,1788888876.2135415,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4112,0.0
4113,1788888876.265617,1788888876.265617,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4113,0.0
4114,1788888876.314393,1788888876.314393,1081,0.27868080139160156,0.7691469192504883,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4114,0.0
4115,1788888876.3635235,1788888876.3635235,1081,0.27868080139160156,0.7691479921340942,-2.3561899662017822,2.3561899662017822,0.004363323096185923,0.05999999865889549,10.0,4115,0.0
