stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789484703.3768277,12.885300292825706,12.885300292825706,12.885300292825706,0,29.52668936342981,0.0036388703793089651,0,0,0,0
1789484703.4018278,12.931385468626029,12.931385468626029,12.931385468626029,0,29.84939916400576,0.0036788598635225165,0,0,0,0
1789484703.4268281,12.977161079788216,12.977161079788216,12.977161079788216,0,30.173260317329593,0.0037189920208202244,0,0,0,0
1789484703.451828,13.023000817489631,13.023000817489631,13.023000817489631,0,30.498260478873782,0.0037592653214955606,0,0,0,0
1789484703.4768279,13.067850560855872,13.067850560855872,13.067850560855872,0,30.824394252435994,0.0037996790968630755,0,0,0,0
1789484703.5018277,13.112577804923063,13.112577804923063,13.112577804923063,0,31.151647731925483,0.0038402316237107835,0,0,0,0
1789484703.5268278,13.157417975974088,13.157417975974088,13.157417975974088,0,31.480023929316502,0.0038809232752758673,0,0,0,0
1789484703.5518281,13.201786068344122,13.201786068344122,13.201786068344122,0,31.809518376507466,0.003921753497881068,0,0,0,0
1789484703.5768282,13.246266238021857,13.246266238021857,13.246266238021857,0,32.140120288940153,0.0039627209551278009,0,0,0,0
1789484703.6018276,13.290130150365835,13.290130150365835,13.290130150365835,0,32.471817016447396,0.0040038240794353502,0,0,0,0
1789484703.626828,13.333355727481848,13.333355727481848,13.333355727481848,0,32.804615030638907,0.0040450636727512668,0,0,0,0
1789484703.6518278,13.37667047963143,13.37667047963143,13.37667047963143,0,33.138488445214456,0.0040864365273025225,0,0,0,0
1789484703.6768279,13.419628143501289,13.419628143501289,13.419628143501289,0,33.47344345317898,0.0041279434105125816,0,0,0,0
1789484703.7018282,13.462746219182021,13.462746219182021,13.462746219182021,0,33.809477616612767,0.0041695840202798286,0,0,0,0
1789484703.7268279,13.505365568852431,13.505365568852431,13.505365568852431,0,34.146573867615921,0.0042113562415878871,0,0,0,0
1789484703.7518277,13.546197835206993,13.546197835206993,13.546197835206993,0,34.484716472691879,0.0042532581247766866,0,0,0,0
