throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.15,8.0,-4.072239931872467,3.173440329557653,2
0.15,8.5,-7.757293269469147,0.0,1
0.15,9.0,-8.773456981952894,0.0,1
0.15,9.5,-9.152848780991976,0.0,1
0.15,10.0,-7.265022606077234,0.0,1
0.15,10.5,-5.674186866371808,0.0,1
0.15,11.0,-6.381600488724121,0.0,1
0.15,11.5,-2.145825759519247,0.0,1
0.2,0.0,1.685869281868879,1.197489511580182,2
0.2,0.5,5.888291201343203,0.0,1
0.2,1.0,4.486308071656753,0.1970764051886178,2
0.2,1.5,2.038997494008901,2.038997494008901,2
0.2,2.0,4.8886480338794485,0.2953332692104478,3
0.2,2.5,4.55088657776203,0.16184276700356484,3
0.2,3.0,4.372360832650386,0.24607174396178857,3
0.2,3.5,2.4285064172224686,2.3598686292010247,4
0.2,4.0,4.864326161321704,1.270346350071765,3
0.2,4.5,0.0008324616769027227,1.2411104693277821,94
0.2,5.0,-4.273794748431928,2.1477793072384936,9
0.2,5.5,-6.160416400802979,1.8319214958581895,2
0.2,6.0,-5.841280552420157,3.1705138201484027,3
0.2,6.5,-7.176821523866699,1.1883659512478042,2
0.2,7.0,-7.616563873401675,0.6142453184126673,3
0.2,7.5,-7.394388417446908,1.4168497199905834,3
0.2,8.0,-4.363564612580906,3.7112817382727195,2
0.2,8.5,-8.263299171037453,0.0,1
0.2,9.0,-8.286185127304833,0.0,1
0.2,9.5,-7.37582465326912,0.0,1
0.2,10.0,-7.442283798920808,0.0,1
0.2,10.5,-8.602252958284456,0.0,1
0.2,11.0,-4.739943198698473,0.0,1
0.2,11.5,-0.21744254893180628,0.21744254893180628,2
0.3,0.0,2.325376545229459,1.9894479801303155,2
0.3,0.5,5.194983056437092,0.0,1
0.3,1.0,5.329726792947079,0.0,1
0.3,1.5,4.811063147031161,0.10369753297098372,2
0.3,2.0,2.591501721644833,1.8202469737769114,3
0.3,2.5,4.794959442188336,0.6243584554552669,3
0.3,3.0,4.775448378603718,0.13925373133222685,2
0.3,3.5,4.85425820866177,1.851076338892793,5
0.3,4.0,4.408947506577274,0.5606965018116535,5
0.3,4.5,3.5947190863104272,0.500150508089215,5
0.3,5.0,3.9880724649489916,0.5596032239588894,5
0.3,5.5,4.044695824681105,0.49636171863507816,4
0.3,6.0,4.755396197540305,2.1190436366162806,4
0.3,6.5,5.658744069449402,1.0214673550130469,7
0.3,7.0,0.001041534606224408,0.9524345410846402,100
0.3,7.5,-4.207261419686886,1.9558702313034488,6
0.3,8.0,-4.439093432151923,3.737784179192916,3
0.3,8.5,-11.583632391062707,0.0,1
0.3,9.0,-10.547727524250204,0.0,1
0.3,9.5,-7.823173189599013,0.0,1
0.3,10.0,-7.981709099864155,0.0,1
0.3,10.5,-8.836540706255741,0.0,1
0.3,11.0,-4.616150835766146,0.0,1
0.3,11.5,-0.1616597546777793,0.0,1
0.4,0.0,1.7006828919470312,1.0509328869116354,2
0.4,0.5,5.0125596929897736,0.0,1
0.4,1.0,5.030153449759043,0.0,1
0.4,1.5,5.8336445180721865,0.0,1
0.4,2.0,3.3906399756169767,2.0966546940191235,4
0.4,2.5,4.8307273153968815,0.36955188033082553,2
0.4,3.0,4.636207998576136,0.7742175677165549,4
0.4,3.5,3.7348479924086146,1.5712742806593827,4
0.4,4.0,4.327022277216654,0.8928541573161956,5
0.4,4.5,4.025958237758992,0.5038137469330257,5
0.4,5.0,4.042337875123961,0.3419762410822233,6
0.4,5.5,3.400756753592253,0.20395916715383797,6
0.4,6.0,3.2682345300055653,1.2422810126407833,6
0.4,6.5,3.530787595242023,0.07122728065095775,7
0.4,7.0,3.4471538781685753,0.11157383189170177,9
0.4,7.5,3.573453645997515,0.36403087949831886,8
0.4,8.0,4.246058714770613,1.8180627590866432,6
0.4,8.5,5.044187040442116,2.154195754610058,6
0.4,9.0,3.641133972353389,1.2578155841849934,15
0.4,9.5,0.016234460520650286,0.5251520106527455,95
0.4,10.0,-4.7890727123745345,0.8954815079394643,3
0.4,10.5,-9.749643197299166,0.0,1
0.4,11.0,-6.406800068348088,0.0,1
0.4,11.5,-0.6399683237647413,0.0,1
0.5,0.0,0.1262395861394872,2.3483812631932968,3
0.5,0.5,5.068487144249744,0.0,1
0.5,1.0,5.787687055395076,0.0,1
0.5,1.5,3.819458779907422,0.0,1
0.5,2.0,3.64268859800488,1.876582701406991,4
0.5,2.5,4.731600597737156,0.058183865517358324,2
0.5,3.0,4.55584662902991,0.23711327488924236,4
0.5,3.5,4.406488158816568,2.0504345783197446,3
0.5,4.0,3.9363008270700175,0.7300507988769325,6
0.5,4.5,4.312337022936568,0.1878638745920646,4
0.5,5.0,3.433662736873463,0.3358263698924394,5
0.5,5.5,3.7044187122310825,0.25417468618581823,4
0.5,6.0,3.6236963283580668,1.3450359078205216,8
