scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
340,1788993886.9792116,-2.4554685479791036,-3.468918938654528,1.2888479180443912,-2.453049420934489,-3.3303593620360066,1.2888479180443912,-2.428049420934489,-3.4053593620360068,1.2888479180443912,0.13858069291341363,0.06922158845197326,0.0,0.0,0.9968476356862279,0.0022273523038778276,0.9887415560222428,0.88127717972831,120
360,1788993887.978029,-2.0576893425620026,-2.0446410571518556,1.3127366908013718,-2.059598038855477,-1.9219164685906678,1.3127366908013718,-2.034598038855477,-1.9719164685906676,1.3127366908013718,0.12273943033537983,0.07630251691956882,0.0,0.0,0.995496622408897,0.0022516887955513765,0.9882912182631325,0.9334221165145197,120
380,1788993889.0016298,-1.6933069839780304,-0.5636613183462296,1.3447500178782725,-1.699008576337211,-0.45675591912931485,1.3447500178782725,-1.674008576337211,-0.48175591912931487,1.3447500178782725,0.10705733294435359,0.08414822017341428,0.0,0.0,0.9928676053292562,7.300947502075772e-05,0.9853283563267891,0.9586662721285483,120
400,1788993890.0015666,-1.4004270387791053,0.873922396677099,1.4058507864859093,-1.4092332342082226,0.9651433473234893,1.4058507864859093,-1.3842332342082226,0.8901433473234892,1.4058507864859093,0.09164502667775797,0.02292070126223383,0.0,0.0,0.9891918937813532,0.002512524177233244,0.9824611638863725,0.9745167370229493,120
420,1788993891.0289814,-1.2884461256777995,2.328916171612579,1.6392629313703788,-1.2977762673749702,2.4079103289419015,1.6392629313703788,-1.2977762673749702,2.4079103289419015,1.6642629313703787,0.07954324884148918,0.07954324884148918,0.0,0.02499999999999991,0.9914922555602519,0.0009493485015679148,0.9718082323813612,0.9431943298682267,120
440,1788993892.0262809,-1.6839812109319885,3.496238169320564,2.2726005762160075,-1.6928312802678318,3.577110249090061,2.2726005762160075,-1.7178312802678317,3.4771102490900607,2.2976005762160074,0.08135488315702419,0.03888064462410439,0.0,0.02499999999999991,0.9754939351013838,0.010511558048485803,0.7810519558046178,0.6941291462716436,120
460,1788993893.0281699,-2.7091704765206788,3.6892951809045034,-2.575900703140464,-2.751129762289195,3.776275322813532,-2.575900703140464,-2.751129762289195,3.651275322813532,-2.5259007031404637,0.09657187348663565,0.05662235663994935,0.0,0.050000000000000266,0.9776880518873727,0.0007098846098266831,0.631181144982465,0.6416261430998993,120
480,1788993894.027933,-3.2275347280884357,2.5339240056120786,-1.6723193410342783,-3.2755729526021753,2.6262583881313932,-1.6723193410342783,-3.175572952602175,1.951258388131393,-1.6723193410342783,0.10408318408684258,0.5849779892490258,0.0,0.0,0.8792196330800084,0.00021847457128665315,0.9455197827645502,0.8171518424495539,120
500,1788993895.0279114,-3.3423101802345254,1.1771303862341493,-1.7049530666834374,-3.3894200907369,1.2844208523481324,-1.7049530666834374,-3.3644200907369,1.1594208523481324,-1.7049530666834374,0.11717759080343605,0.028328002627841655,0.0,0.0,0.9740320088192834,0.0004503377591102975,0.9468085861296115,0.8771535823570742,120
520,1788993896.0770252,-3.8094785915466876,-0.05304363620010344,-2.2853889703373693,-3.8471801344432963,0.07262858887399097,-2.2853889703373693,-3.8471801344432963,-0.027371411126009035,-2.3103889703373692,0.13120561913217998,0.04561216369609966,0.0,0.02499999999999991,0.9392207622322796,0.012452646646840981,0.6663717406954127,0.7474168015044146,120
540,1788993897.1027355,-4.932299866387009,-0.435581196141547,2.861563036944871,-4.978253455277027,-0.314139534661804,2.861563036944871,-4.978253455277027,-0.314139534661804,2.811563036944871,0.12984532904511167,0.12984532904511167,0.0,0.04999999999999982,0.9194040477256783,0.006722140916902042,0.6172254906979184,0.6725518347271705,120
560,1788993898.1028085,-5.78074888693165,0.4811659879483958,1.9310833965728487,-5.8288572157974725,0.5967628833415195,1.9310833965728487,-5.8288572157974725,0.6967628833415195,1.9060833965728488,0.12520804099893473,0.22089914578697592,0.0,0.02499999999999991,0.9278310917136172,0.008599127013466101,0.9522500840053449,0.8332679058915474,120
