bag_time,time,finite_count,min_finite,max_finite,angle_min,angle_max
1788882778.4513798,1788882778.4030228,1041,0.5645654797554016,9.844232559204102,-2.3561899662017822,2.3561899662017822
1788882778.502391,1788882778.452582,1042,0.5665150880813599,9.95926570892334,-2.3561899662017822,2.3561899662017822
1788882778.5524457,1788882778.5025625,1042,0.5685489177703857,9.89699935913086,-2.3561899662017822,2.3561899662017822
1788882778.6005602,1788882778.5525815,1041,0.5706648826599121,9.835838317871094,-2.3561899662017822,2.3561899662017822
1788882778.6527772,1788882778.602825,1042,0.5728678107261658,9.95186996459961,-2.3561899662017822,2.3561899662017822
1788882778.7002857,1788882778.652973,1042,0.5751534104347229,9.890963554382324,-2.3561899662017822,2.3561899662017822
1788882778.7495914,1788882778.7024877,1041,0.5775197744369507,9.831090927124023,-2.3561899662017822,2.3561899662017822
1788882778.8006465,1788882778.7527866,1042,0.5799716711044312,9.948039054870605,-2.3561899662017822,2.3561899662017822
1788882778.850784,1788882778.8028517,1042,0.5825033187866211,9.888107299804688,-2.3561899662017822,2.3561899662017822
1788882778.902009,1788882778.8529859,1042,0.5851178765296936,9.829305648803711,-2.3561899662017822,2.3561899662017822
1788882778.9534469,1788882778.9033031,1042,0.5878149271011353,9.947301864624023,-2.3561899662017822,2.3561899662017822
1788882779.0037067,1788882778.9536374,1042,0.5905932784080505,9.888504981994629,-2.3561899662017822,2.3561899662017822
1788882779.0525908,1788882779.0038476,1042,0.5934517979621887,9.830812454223633,-2.3561899662017822,2.3561899662017822
1788882779.1027937,1788882779.0527945,1042,0.5963920950889587,9.949840545654297,-2.3561899662017822,2.3561899662017822
1788882779.1524189,1788882779.10294,1042,0.5994113087654114,9.89211368560791,-2.3561899662017822,2.3561899662017822
1788882779.2024753,1788882779.152656,1042,0.6025118231773376,9.835585594177246,-2.3561899662017822,2.3561899662017822
1788882779.2512655,1788882779.2026403,1042,0.6056674718856812,9.951568603515625,-2.3561899662017822,2.3561899662017822
1788882779.3016422,1788882779.2524765,1042,0.608868420124054,9.887015342712402,-2.3561899662017822,2.3561899662017822
1788882779.3514042,1788882779.302869,1043,0.6121488213539124,9.986251831054688,-2.3561899662017822,2.3561899662017822
1788882779.4025893,1788882779.3526847,1042,0.6155083179473877,9.936315536499023,-2.3561899662017822,2.3561899662017822
1788882779.4523056,1788882779.402742,1042,0.6189414262771606,9.873046875,-2.3561899662017822,2.3561899662017822
