regime,speed_mps,steering_rad,v_error_mps,r_error_radps
cornering,3.9373,-0.0785,-0.010813389,-0.0117307355
cornering,3.9368,-0.0785,-0.0100977085,-0.0120142774
cornering,3.9365,-0.0785,-0.00948829979,-0.0122444023
cornering,3.9364,-0.0785,-0.00898516347,-0.0125211106
cornering,3.9362,-0.0785,-0.00847889071,-0.0127745269
cornering,3.9362,-0.0785,-0.0081788906,-0.012974526
cornering,3.9362,-0.0785,-0.00777889071,-0.0130745269
cornering,3.9362,-0.0785,-0.00747889071,-0.0132745269
cornering,3.9362,-0.0785,-0.00707889071,-0.0133745269
cornering,3.9362,-0.0785,-0.00687889071,-0.013574527
cornering,3.9363,-0.0785,-0.00668202712,-0.0136978188
cornering,3.9363,-0.0785,-0.00648202712,-0.0137978188
cornering,3.9363,-0.0785,-0.00628202712,-0.0137978189
cornering,3.9364,-0.0785,-0.00608516348,-0.0139211107
cornering,3.9364,-0.0785,-0.00598516349,-0.0140211107
cornering,3.9364,-0.0785,-0.00588516349,-0.0140211107
cornering,3.9365,-0.0785,-0.00568829975,-0.014144402
cornering,3.9365,-0.0785,-0.00558829981,-0.0141444025
cornering,3.9365,-0.0785,-0.00548829981,-0.0142444025
cornering,3.9365,-0.0785,-0.00548829981,-0.0142444025
cornering,3.9365,-0.0785,-0.00538829981,-0.0142444025
cornering,3.9365,-0.0785,-0.00528829981,-0.0143444025
cornering,3.9366,-0.0785,-0.0052914361,-0.0143676943
cornering,3.9366,-0.0785,-0.0051914361,-0.0143676943
cornering,3.9366,-0.0785,-0.0051914361,-0.0143676943
cornering,3.9366,-0.0785,-0.00509143604,-0.0144676938
cornering,3.9366,-0.0785,-0.0050914361,-0.0144676943
cornering,3.9366,-0.0785,-0.0050914361,-0.0144676943
cornering,3.9366,-0.0785,-0.00499143604,-0.0144676938
cornering,3.9366,-0.0785,-0.00499143611,-0.0144676944
cornering,3.9366,-0.0785,-0.0049914361,-0.0144676943
cornering,3.9366,-0.0785,-0.0049914361,-0.0144676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0144676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
cornering,3.9366,-0.0785,-0.0048914361,-0.0145676943
