stamp_s,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad
1789473785.617477,84.463,84.5514,0.2919,-0.6122,-0.2544,-0.04840960062141629
1789473785.6424787,85.5168,85.5986,0.4859,-0.5823,-0.2407,-0.054509272134907194
1789473785.6674783,86.5738,86.6491,0.2976,-0.5862,-0.238,-0.06061378900753711
1789473785.6924782,87.6373,87.7093,0.4882,-0.5461,-0.2241,-0.06617004101329571
1789473785.717477,88.7042,88.7729,0.3016,-0.5477,-0.2212,-0.071736779867841
1789473785.742477,89.7808,89.843,0.4932,-0.437,-0.1839,-0.07644470654378588
1789473785.7664769,90.8149,90.8739,0.3136,-0.2935,-0.1344,-0.07996071227812518
1789473785.7914789,91.8981,91.9538,0.4985,-0.3001,-0.1236,-0.08291759264580367
1789473785.817478,93.0304,93.0828,0.3043,-0.3232,-0.1281,-0.08645283386768687
1789473785.8424768,94.1234,94.1758,0.4932,-0.3159,-0.1249,-0.08941148930803752
1789473785.867477,95.223,95.2721,0.3075,-0.3727,-0.1413,-0.09297015099181927
1789473785.892479,96.3291,96.3749,0.4942,-0.3801,-0.146,-0.09654513536617237
1789473785.9174783,97.4385,97.481,0.3107,-0.2998,-0.1227,-0.09980115429034364
1789473785.942478,98.5544,98.5937,0.4971,-0.2514,-0.1034,-0.1024825645611536
1789473785.9674768,99.6736,99.7128,0.3133,-0.188,-0.0797,-0.10457335770032339
1789473785.9914768,100.7535,100.7928,0.5074,-0.1101,-0.0519,-0.1057703097775542
1789473786.0164769,101.8923,101.9283,0.6192,-0.15,-0.0565,-0.10725359907979318
1789473786.0424786,103.077,103.1097,0.3825,-0.2152,-0.0772,-0.10905574725480596
1789473786.067478,104.2256,104.2583,0.54,-0.1797,-0.0694,-0.11085564403718992
1789473786.091478,105.3284,105.3612,0.3489,-0.2862,-0.0986,-0.1132411630870673
1789473786.1154783,106.4411,106.4705,0.5284,-0.2555,-0.0949,-0.1153646218390676
1789473786.1414769,107.6486,107.6781,0.3291,-0.2286,-0.087,-0.1177549089466412
1789473786.1674783,108.866,108.8922,0.4962,-0.2535,-0.0917,-0.12016148540433624
1789473786.1914785,109.9917,110.0146,0.3229,-0.1189,-0.0542,-0.12167248905634187
1789473786.217477,111.2189,111.2418,0.4919,-0.1483,-0.0546,-0.12288888992572655
1789473786.241477,112.3545,112.3774,0.321,-0.2108,-0.0718,-0.12468721733768494
1789473786.2674787,113.5915,113.6144,0.4896,-0.2736,-0.0935,-0.1268247112406251
