bag_time,time,value
1788892290.2485683,1788892290.2485683,"{""packet_sequence"":864,""bridge_arrival_monotonic_ns"":14992386883305,""request_monotonic_ns"":14992339213230,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.2986183,1788892290.2986183,"{""packet_sequence"":865,""bridge_arrival_monotonic_ns"":14992436906644,""request_monotonic_ns"":14992388726117,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.348647,1788892290.348647,"{""packet_sequence"":866,""bridge_arrival_monotonic_ns"":14992486968406,""request_monotonic_ns"":14992438890742,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.397715,1788892290.397715,"{""packet_sequence"":867,""bridge_arrival_monotonic_ns"":14992536011588,""request_monotonic_ns"":14992488880989,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.4468603,1788892290.4468603,"{""packet_sequence"":868,""bridge_arrival_monotonic_ns"":14992585152836,""request_monotonic_ns"":14992538093500,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.4967651,1788892290.4967651,"{""packet_sequence"":869,""bridge_arrival_monotonic_ns"":14992635154995,""request_monotonic_ns"":14992587647575,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.5486605,1788892290.5486605,"{""packet_sequence"":870,""bridge_arrival_monotonic_ns"":14992687016436,""request_monotonic_ns"":14992637490294,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.5976925,1788892290.5976925,"{""packet_sequence"":871,""bridge_arrival_monotonic_ns"":14992736036105,""request_monotonic_ns"":14992688804695,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.6472738,1788892290.6472738,"{""packet_sequence"":872,""bridge_arrival_monotonic_ns"":14992785567126,""request_monotonic_ns"":14992738035481,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.699158,1788892290.699158,"{""packet_sequence"":873,""bridge_arrival_monotonic_ns"":14992837420964,""request_monotonic_ns"":14992787888479,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.7486637,1788892290.7486637,"{""packet_sequence"":874,""bridge_arrival_monotonic_ns"":14992886971091,""request_monotonic_ns"":14992839830613,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.7974792,1788892290.7974792,"{""packet_sequence"":875,""bridge_arrival_monotonic_ns"":14992935835357,""request_monotonic_ns"":14992888794386,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.8476467,1788892290.8476467,"{""packet_sequence"":876,""bridge_arrival_monotonic_ns"":14992985948304,""request_monotonic_ns"":14992937557441,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.8978446,1788892290.8978446,"{""packet_sequence"":877,""bridge_arrival_monotonic_ns"":14993036120043,""request_monotonic_ns"":14992987874723,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.9476395,1788892290.9476395,"{""packet_sequence"":878,""bridge_arrival_monotonic_ns"":14993086013848,""request_monotonic_ns"":14993038305009,""simulation_time_s"":null,""simulation_frame"":null}"
1788892290.9998565,1788892290.9998565,"{""packet_sequence"":879,""bridge_arrival_monotonic_ns"":14993138215761,""request_monotonic_ns"":14993088548102,""simulation_time_s"":null,""simulation_frame"":null}"
