simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
0.931000054,0.95600003,932.0,957.0,25.0,0.024999976000000035,-0.5663,0.7412,-3.5619813832976495,0.0296,-0.4325,6.8212,0.0,-0.5671,0.7422,-3.5689550806351744,0.0192,-0.4851,-6.8183,0.0,0.0
0.95600003,0.981000066,957.0,982.0,25.0,0.025000036000000003,-0.5671,0.7422,-3.5689550806351744,0.0192,-0.4851,-6.8183,0.0,-0.5681,0.7468,-3.560760817378601,0.0034,-0.5414,0.0263,0.0,0.0
0.981000066,1.006,982.0,1007.0,25.0,0.024999934,-0.5681,0.7468,-3.560760817378601,0.0034,-0.5414,0.0263,0.0,-0.5697,0.7518,-3.560578838134797,-0.012,-0.5971,0.0252,0.0,0.0
1.006,1.031,1007.0,1032.0,25.0,0.02499999999999991,-0.5697,0.7518,-3.560578838134797,-0.012,-0.5971,0.0252,0.0,-0.5712,0.7568,-3.5602695068059256,-0.0282,-0.6532,0.0252,0.0,0.0
1.031,1.056,1032.0,1057.0,25.0,0.025000000000000133,-0.5712,0.7568,-3.5602695068059256,-0.0282,-0.6532,0.0252,0.0,-0.5731,0.7599,-3.550141136553743,-0.0481,-0.7124,6.762,0.0,0.0
1.056,1.08,1057.0,1081.0,24.0,0.02400000000000002,-0.5731,0.7599,-3.550141136553743,-0.0481,-0.7124,6.762,0.0,-0.5802,0.6581,-3.3838235693484937,-0.1161,-0.8073,6.8117,0.0,0.0
1.08,1.105,1081.0,1106.0,25.0,0.02499999999999991,-0.5802,0.6581,-3.3838235693484937,-0.1161,-0.8073,6.8117,0.0,-0.5685,0.5523,-3.210392278445641,-0.1983,-0.9016,6.8114,0.0,0.0
1.105,1.131,1106.0,1132.0,26.0,0.026000000000000023,-0.5685,0.5523,-3.210392278445641,-0.1983,-0.9016,6.8114,0.0,-0.5358,0.4465,-3.030179639284164,-0.2957,-0.9921,6.8113,0.0,0.0
1.131,1.156,1132.0,1157.0,25.0,0.02499999999999991,-0.5358,0.4465,-3.030179639284164,-0.2957,-0.9921,6.8113,0.0,-0.4858,0.3521,-2.856704665691651,-0.3994,-1.0693,6.8111,0.0,0.0
1.156,1.18100011,1157.0,1182.0,25.0,0.02500011000000013,-0.4858,0.3521,-2.856704665691651,-0.3994,-1.0693,6.8111,0.0,-0.419,0.2682,-2.6830018216116183,-0.5113,-1.1344,6.811,0.0,0.0
1.18100011,1.20600009,1182.0,1207.0,25.0,0.024999980000000033,-0.419,0.2682,-2.6830018216116183,-0.5113,-1.1344,6.811,0.0,-0.3376,0.1975,-2.5090888031995755,-0.6291,-1.1852,6.8111,0.0,0.0
1.20600009,1.23,1207.0,1231.0,24.0,0.023999909999999902,-0.3376,0.1975,-2.5090888031995755,-0.6291,-1.1852,6.8111,0.0,-0.2481,0.1443,-2.3416637813892662,-0.7451,-1.2187,6.8118,0.0,0.0
1.23,1.256,1231.0,1257.0,26.0,0.026000000000000023,-0.2481,0.1443,-2.3416637813892662,-0.7451,-1.2187,6.8118,0.0,-0.1418,0.105,-2.159761094503587,-0.8702,-1.2356,6.8138,0.0,0.0
1.256,1.28000009,1257.0,1281.0,24.0,0.02400008999999992,-0.1418,0.105,-2.159761094503587,-0.8702,-1.2356,6.8138,0.0,-0.0384,0.0869,-1.9911432927395718,-0.9814,-1.232,6.8152,0.0,0.0
1.28000009,1.30500007,1281.0,1306.0,25.0,0.024999980000000033,-0.0384,0.0869,-1.9911432927395718,-0.9814,-1.232,6.8152,0.0,0.0717,0.087,-1.8151006407136552,-1.09,-1.2106,6.8166,0.0,0.0
1.30500007,1.33,1306.0,1331.0,25.0,0.024999930000000115,0.0717,0.087,-1.8151006407136552,-1.09,-1.2106,6.8166,0.0,0.1521,0.1109,-1.6393434642291225,-1.1609,-1.0124,6.6739,0.0,0.0
1.33,1.35600007,1331.0,1357.0,26.0,0.02600006999999982,0.1521,0.1109,-1.6393434642291225,-1.1609,-1.0124,6.6739,0.0,0.2077,0.1508,-1.4581829507145767,-1.1596,-0.6718,6.6918,0.0,0.0
1.35600007,1.381,1357.0,1382.0,25.0,0.024999930000000115,0.2077,0.1508,-1.4581829507145767,-1.1596,-0.6718,6.6918,0.0,0.2612,0.1934,-1.2834708171280798,-1.1275,-0.3509,6.8041,0.0,0.0
1.381,1.406,1382.0,1407.0,25.0,0.02499999999999991,0.2612,0.1934,-1.2834708171280798,-1.1275,-0.3509,6.8041,0.0,0.3128,0.2429,-1.1087840708353318,-1.0513,-0.0429,6.8697,0.0,0.0
1.406,1.43100011,1407.0,1432.0,25.0,0.02500011000000013,0.3128,0.2429,-1.1087840708353318,-1.0513,-0.0429,6.8697,0.0,0.3599,0.3004,-0.9351032717036896,-0.9251,0.2466,6.8929,0.0,0.0
1.43100011,1.455,1432.0,1456.0,24.0,0.023999890000000024,0.3599,0.3004,-0.9351032717036896,-0.9251,0.2466,6.8929,0.0,0.3992,0.3635,-0.769131070345412,-0.7575,0.493,6.9091,0.0,0.0
1.455,1.48,1456.0,1481.0,25.0,0.02499999999999991,0.3992,0.3635,-0.769131070345412,-0.7575,0.493,6.9091,0.0,0.4297,0.4354,-0.5978301890778353,-0.5305,0.7231,6.9098,0.0,0.0
1.48,1.50500011,1481.0,1506.0,25.0,0.02500010999999991,0.4297,0.4354,-0.5978301890778353,-0.5305,0.7231,6.9098,0.0,0.4478,0.5114,-0.427951675076252,-0.2522,0.9194,6.9103,0.0,0.0
1.50500011,1.531,1506.0,1532.0,26.0,0.025999890000000025,0.4478,0.5114,-0.427951675076252,-0.2522,0.9194,6.9103,0.0,0.4528,0.5925,-0.2525651543052483,0.0847,1.0768,6.7168,0.0,0.0
1.531,1.55500007,1532.0,1556.0,24.0,0.02400007000000004,0.4528,0.5925,-0.2525651543052483,0.0847,1.0768,6.7168,0.0,0.4525,0.605,-0.24765709332684294,0.1006,1.1192,-6.9409,0.0,0.0
1.55500007,1.58100009,1556.0,1582.0,26.0,0.026000020000000124,0.4525,0.605,-0.24765709332684294,0.1006,1.1192,-6.9409,0.0,0.4527,0.6105,-0.24765751697327198,0.1061,1.1516,-6.9408,0.0,0.0
1.58100009,1.605,1582.0,1606.0,24.0,0.023999909999999902,0.4527,0.6105,-0.24765751697327198,0.1061,1.1516,-6.9408,0.0,0.4539,0.6158,-0.24738075828265593,0.1003,1.1744,-6.9132,0.0,0.0
1.605,1.631,1606.0,1632.0,26.0,0.026000000000000023,0.4539,0.6158,-0.24738075828265593,0.1003,1.1744,-6.9132,0.0,0.4593,0.6386,-0.24838709065794662,0.0817,0.8839,-6.6599,0.0,0.0
1.631,1.65500009,1632.0,1656.0,24.0,0.02400008999999992,0.4593,0.6386,-0.24838709065794662,0.0817,0.8839,-6.6599,0.0,0.4578,0.5839,-0.27802830076558394,-0.0819,1.0634,-1.1709,0.0,0.0
1.65500009,1.68100011,1656.0,1682.0,26.0,0.026000020000000124,0.4578,0.5839,-0.27802830076558394,-0.0819,1.0634,-1.1709,0.0,0.4905,0.708,-0.21392397467578883,-0.0578,0.2173,6.9372,0.0,0.0
1.68100011,1.70600009,1682.0,1707.0,25.0,0.024999980000000033,0.4905,0.708,-0.21392397467578883,-0.0578,0.2173,6.9372,0.0,0.511,0.7868,-0.10141291038186351,-0.0246,0.0571,6.9412,0.0,0.0
1.70600009,1.73100007,1707.0,1732.0,25.0,0.02499997999999981,0.511,0.7868,-0.10141291038186351,-0.0246,0.0571,6.9412,0.0,0.5269,0.7892,-0.12838212728561293,0.0178,0.0029,-2.9048,0.0,0.0
1.73100007,1.75500011,1732.0,1756.0,24.0,0.02400004,0.5269,0.7892,-0.12838212728561293,0.0178,0.0029,-2.9048,0.0,0.5297,0.7914,-0.13646300291198266,0.0501,0.0067,-6.994,0.0,0.0
1.75500011,1.78000009,1756.0,1781.0,25.0,0.024999980000000033,0.5297,0.7914,-0.13646300291198266,0.0501,0.0067,-6.994,0.0,0.531,0.7903,-0.12947298146186847,0.072,-0.0007,6.9975,0.0,0.0
1.78000009,1.80600011,1781.0,1807.0,26.0,0.026000020000000124,0.531,0.7903,-0.12947298146186847,0.072,-0.0007,6.9975,0.0,0.5348,0.7907,-0.12948417859082495,0.0896,-0.0033,6.9963,0.0,0.0
1.80600011,1.83100009,1807.0,1832.0,25.0,0.024999980000000033,0.5348,0.7907,-0.12948417859082495,0.0896,-0.0033,6.9963,0.0,0.5218,0.7966,-0.13529993567729326,0.1166,0.0013,-6.8832,0.0,0.0
1.83100009,1.85500014,1832.0,1856.0,24.0,0.02400004999999994,0.5218,0.7966,-0.13529993567729326,0.1166,0.0013,-6.8832,0.0,0.5585,0.7886,-0.13451387560490824,0.3663,-0.007,-0.021,0.0,0.0
1.85500014,1.881,1856.0,1882.0,26.0,0.025999859999999986,0.5585,0.7886,-0.13451387560490824,0.3663,-0.007,-0.021,0.0,0.5911,0.787,-0.13478926821826853,0.4004,-0.0121,-6.9253,0.0,0.0
1.881,1.90500009,1882.0,1906.0,24.0,0.02400008999999992,0.5911,0.787,-0.13478926821826853,0.4004,-0.0121,-6.9253,0.0,0.6225,0.7827,-0.1337443317329705,0.3642,-0.0223,-6.2342,0.0,0.0
1.90500009,1.93000007,1906.0,1931.0,25.0,0.024999980000000033,0.6225,0.7827,-0.1337443317329705,0.3642,-0.0223,-6.2342,0.0,0.693,0.7719,-0.1266324930850411,0.2885,-0.0389,4.2832,0.0,0.0
1.93000007,1.955,1931.0,1956.0,25.0,0.024999930000000115,0.693,0.7719,-0.1266324930850411,0.2885,-0.0389,4.2832,0.0,0.793,0.7596,-0.1279288837874919,-0.0846,-0.0455,0.0112,0.0,0.0
